代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,今年 累計 漲跌價,今年 累計 漲跌幅,3個月 累計 漲跌價,3個月 累計 漲跌幅,半年 累計 漲跌價,半年 累計 漲跌幅,1年 累計 漲跌價,1年 累計 漲跌幅,2年 累計 漲跌價,2年 累計 漲跌幅
6461,益得,21.5,1.95,9.97,3011,01/05,3.7,20.8,3.6,20.1,3.95,22.5,-4.75,-18.1,-8.6,-28.6
6485,點序,89.9,3.8,4.41,8479,01/05,11.6,14.8,26.1,40.9,38.4,74.6,46.45,107.0,-16.1,-15.2
6515,穎崴,3060.0,165.0,5.7,1259,01/05,220.0,7.75,825.0,36.9,1815.0,146.0,1960.0,178.0,2271.0,288.0
6531,愛普*,479.0,20.5,4.47,8542,01/05,31.0,6.92,117.0,32.3,197.0,69.9,175.5,57.8,-19.0,-3.82
6640,均華,718.0,65.0,9.95,1152,01/05,87.0,13.8,22.0,3.16,27.0,3.91,141.0,24.4,564.5,368.0
6698,旭暉應材,35.1,1.2,3.54,2680,01/05,4.25,13.8,0.75,2.18,6.95,24.7,-2.9,-7.63,4.95,16.4
6770,力積電,43.45,1.35,3.21,389178,01/05,3.9,9.86,16.25,59.7,26.15,151.0,27.85,179.0,12.6,40.8
6788,華景電,382.5,7.5,2.0,931,01/05,0.5,0.13,130.0,51.5,129.5,51.2,167.5,77.9,255.5,201.0
6830,汎銓,180.0,1.0,0.56,1267,01/05,6.0,3.45,15.5,9.42,61.0,51.3,23.0,14.6,45.5,33.8
6861,睿生光電,66.3,6.0,9.95,644,01/05,7.0,11.8,-1.8,-2.64,19.65,42.1,5.9,9.77,-17.2,-20.6
6894,衛司特,229.0,2.5,1.1,589,01/05,10.0,4.57,24.0,11.7,62.5,37.5,48.0,26.5,68.5,42.7
6909,創控,43.2,3.9,9.92,683,01/05,3.6,9.09,-0.15,-0.35,-0.4,-0.92,,,,
6937,天虹,255.5,5.0,2.0,1381,01/05,14.5,6.02,-1.0,-0.39,43.5,20.5,-106.0,-29.3,50.5,24.6
7749,意騰-KY,475.0,35.0,7.95,637,01/05,48.0,11.2,-10.5,-2.16,-79.0,-14.3,,,,
8028,昇陽半導體,205.0,18.5,9.92,45771,01/05,27.0,15.2,24.5,13.6,75.5,58.3,63.5,44.9,154.2,304.0
8038,長園科,49.5,0.5,1.02,1194,01/05,1.65,3.45,0.75,1.54,11.35,29.8,22.8,85.4,13.0,35.6
8091,翔名,119.0,3.5,3.03,430,01/05,7.5,6.73,9.5,8.68,13.5,12.8,-3.0,-2.46,26.2,28.2
8105,凌巨,12.45,1.1,9.69,5406,01/05,1.05,9.21,-0.8,-6.04,-0.6,-4.6,-2.1,-14.4,-1.15,-8.46
8110,華東,68.5,6.2,9.95,85979,01/05,11.3,19.8,47.25,222.0,55.4,423.0,54.8,400.0,54.15,377.0
8162,微矽電子-創,39.4,1.85,4.93,278,01/05,3.35,9.29,-2.45,-5.85,1.45,3.82,-0.9,-2.23,,
8240,華宏,38.7,1.35,3.61,1304,01/05,1.9,5.16,2.5,6.91,8.9,29.9,-4.35,-10.1,3.55,10.1
8299,群聯,1470.0,25.0,1.73,8461,01/05,20.0,1.38,641.0,77.3,996.5,210.0,950.0,183.0,970.5,194.0
8431,匯鑽科,76.7,2.6,3.51,13875,01/05,9.2,13.6,31.7,70.4,36.35,90.1,15.5,25.3,21.7,39.5
8438,昶昕,49.4,3.35,7.27,9184,01/05,7.5,17.9,19.15,63.3,19.9,67.5,18.75,61.2,23.25,88.9
9958,世紀鋼,149.0,3.5,2.41,2200,01/05,9.5,6.81,-19.5,-11.6,-67.5,-31.2,-12.5,-7.74,-34.5,-18.8
