代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
00632R,元大台灣50反1,市,,,14.52,-0.19,-1.29,56345,822,14.71,14.61,14.63,14.52,0.75,,1.0007,,,,,
00634R,富邦上証反1,市,,,3.27,0.01,+0.31,327,1.07,3.26,3.26,3.27,3.26,0.31,,0.997,,,,,
00635U,期元大S&P黃金,市,,,56.2,2.15,+3.98,16415,915,54.05,55.1,56.2,55.1,2.04,,0.9972,,,,,
00638R,元大滬深300反1,市,,,7.02,0.04,+0.57,65,0.46,6.98,7.01,7.04,7,0.57,,0.9972,,,,,
00641R,富邦日本反1,市,,,4.42,0.05,+1.14,2780,12.2,4.37,4.41,4.42,4.39,0.69,,1.0023,,,,,
00642U,期元大S&P石油,市,,,16.46,0.61,+3.85,13443,221,15.85,16.42,16.49,16.35,0.88,,0.9988,,,,,
00643,群益深証中小,市,,,17.94,-0.06,-0.33,3177,57.1,18,18.02,18.1,17.9,1.11,,0.989,,,,,
00645,富邦日本,市,,,49.5,-0.34,-0.68,460,22.8,49.84,49.53,49.58,49.4,0.36,,1.0012,,,,,
00648R,元大S&P500反1,市,,,4.26,-0.03,-0.7,1216,5.19,4.29,4.27,4.28,4.26,0.47,,0.9977,,,,,
00651R,復華香港反1,市,,,4.93,-0.13,-2.57,1368,6.79,5.06,5.04,5.04,4.91,2.57,,1.002,,,,,
00656R,國泰中國A50反1,市,,,6.19,0.02,+0.32,36,0.22,6.17,6.18,6.22,6.17,0.81,,0.9936,,,,,
00663L,國泰臺灣加權正2,市,,,60.6,1.65,+2.8,6227,373,58.95,59.65,60.6,59.6,1.7,,0.9934,,,,,
00666R,富邦恒生國企反1,市,,,8.32,-0.25,-2.92,321,2.69,8.57,8.49,8.49,8.32,1.98,,0.994,,,,,
00669R,國泰美國道瓊反1,市,,,5.61,0.02,+0.36,1204,6.75,5.59,5.6,5.61,5.6,0.18,,0.9982,,,,,
