代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
0061,元大寶滬深,市,,,23.7,-0.05,-0.21,179,4.24,23.75,23.75,23.75,23.67,0.34,,0.992,,,,,
006206,元大上證50,市,,,38.39,0.01,+0.03,90,3.44,38.38,38.38,38.52,38.16,0.94,,0.9935,,,,,
00632R,元大台灣50反1,市,,,14.13,-0.23,-1.6,87739,1244,14.36,14.33,14.33,14.09,1.67,,1,,,,,
00633L,富邦上証正2,市,,,47.89,-0.44,-0.91,2728,131,48.33,48.34,48.4,47.66,1.53,,1.0006,,,,,
00637L,元大滬深300正2,市,,,19.65,-0.22,-1.11,29535,582,19.87,19.9,19.9,19.61,1.46,,1.0005,,,,,
00639,富邦深100,市,,,15.39,-0.16,-1.03,750,11.6,15.55,15.52,15.54,15.38,1.03,,0.9948,,,,,
00645,富邦日本,市,,,54.55,0.5,+0.93,642,35,54.05,54.3,54.7,54.3,0.74,,1.0096,,,,,
00647L,元大S&P500正2,市,,,118.8,-0.35,-0.29,41,4.86,119.15,119.05,119.05,118.8,0.21,,1.001,,,,,
00648R,元大S&P500反1,市,,,4.29,-0.01,-0.23,886,3.81,4.3,4.3,4.31,4.29,0.47,,0.9954,,,,,
00651R,復華香港反1,市,,,4.98,-0.05,-0.99,520,2.6,5.03,5.03,5.03,4.98,0.99,,0.9901,,,,,
00652,富邦印度,市,,,37.28,-0.09,-0.24,348,13,37.37,37.6,37.6,37.23,0.99,,1.0011,,,,,
00655L,國泰中國A50正2,市,,,33.11,-0.35,-1.05,2138,71.1,33.46,33.46,33.51,32.99,1.55,,0.9979,,,,,
00657,國泰日經225,市,,,69,1.0,+1.47,332,22.9,68,68.9,69.1,68.85,0.37,,1.0134,,,,,
00663L,國泰臺灣加權正2,市,,,63.4,2.15,+3.51,8897,560,61.25,62,63.85,61.95,3.1,,1.0002,,,,,
00666R,富邦恒生國企反1,市,,,8.5,-0.03,-0.35,38,0.32,8.53,8.52,8.52,8.48,0.47,,0.9872,,,,,
00668,國泰美國道瓊,市,,,57.65,-0.1,-0.17,392,22.6,57.75,57.95,57.95,57.65,0.52,,1.0012,,,,,
00673R,期元大S&P原油反1,市,,,25.09,-0.1,-0.4,5560,139,25.19,25.12,25.15,25,0.6,,1.0084,,,,,
00674R,期元大S&P黃金反1,市,,,4.92,-0.05,-1.01,5589,27.5,4.97,4.95,4.95,4.91,0.8,,1,,,,,
00676R,富邦臺灣加權反1,市,,,7.77,-0.13,-1.65,5429,42.3,7.9,7.87,7.87,7.74,1.65,,1.0013,,,,,
00681R,元大美債20反1,市,,,20.52,-0.23,-1.11,30,0.62,20.75,20.54,20.54,20.52,0.1,,0.9992,,,,,
00684R,期元大美元指反1,市,,,15.8,0.05,+0.32,131,2.07,15.75,15.78,15.8,15.76,0.25,,0.9943,,,,,
00689R,國泰20年美債反1,市,,,21.34,-0.23,-1.07,115,2.46,21.57,21.36,21.36,21.34,0.09,,0.9967,,,,,
00693U,期街口S&P黃豆,市,,,21.4,0.21,+0.99,2416,51.7,21.19,21.38,21.45,21.33,0.57,,1.0005,,,,,
00694B,富邦美債1-3,櫃,,,41.59,-0.13,-0.31,591,24.6,41.72,41.66,41.72,41.59,0.31,,0.9994,,,,,
00695B,富邦美債7-10,櫃,,,35.6,-0.01,-0.03,847,30.2,35.61,35.67,35.73,35.6,0.37,,0.9987,,,,,
00708L,期元大S&P黃金正2,市,,,117.25,1.3,+1.12,6455,757,115.95,117.1,117.7,116.55,0.99,,0.9984,,,,,
00710B,復華彭博非投等債,市,,,19.03,-0.08,-0.42,182,3.48,19.11,19.05,19.08,19.03,0.26,,0.999,,,,,
00717,富邦美國特別股,市,,,15.2,0.0,0,513,7.79,15.2,15.2,15.22,15.16,0.39,,0.9941,,,,,
00719B,元大美債1-3,櫃,,,31.05,-0.07,-0.22,3092,96.1,31.12,31.12,31.13,31.04,0.29,,1.0001,,,,,
00724B,群益投資級金融債,櫃,,,34.58,0.03,+0.09,4141,143,34.55,34.61,34.66,34.57,0.26,,0.9978,,,,,
00735,國泰臺韓科技,市,,,64.95,0.75,+1.17,1001,64.6,64.2,63.95,65.15,63.6,2.41,,1.0026,,,,,
00736,國泰新興市場,市,,,30.13,0.51,+1.72,129,3.87,29.62,30.05,30.15,29.84,1.05,,1.0017,,,,,
00738U,期元大道瓊白銀,市,,,66.95,1.1,+1.67,17684,1183,65.85,66.4,67.4,66.2,1.82,,0.9804,,,,,
00763U,期街口道瓊銅,市,,,32.46,0.09,+0.28,1775,57.5,32.37,32.37,32.47,32.3,0.53,,0.9954,,,,,
00778B,凱基金融債20+,櫃,,,35.5,0.09,+0.25,123,4.37,35.41,35.53,35.53,35.5,0.08,,0.9986,,,,,
00782B,國泰A級公用債,櫃,,,31.23,0.05,+0.16,155,4.84,31.18,31.2,31.24,31.2,0.13,,0.9983,,,,,
00791B,復華信用債1-5,櫃,,,56.7,-0.25,-0.44,158,9,56.95,56.8,56.9,56.7,0.35,,0.998,,,,,
00793B,群益AAA-A醫療債,櫃,,,31.51,0.06,+0.19,132,4.17,31.45,31.55,31.58,31.51,0.22,,0.9984,,,,,
00795B,中信美國公債20年,櫃,,,27.77,0.17,+0.62,10911,303,27.6,27.82,27.84,27.77,0.25,,0.9966,,,,,
00799B,國泰A級醫療債,櫃,,,30.74,0.09,+0.29,284,8.73,30.65,30.76,30.8,30.74,0.2,,1.0002,,,,,
00859B,群益0-1年美債,櫃,,,41.04,-0.19,-0.46,2745,113,41.23,41.23,41.23,41.04,0.46,,0.9977,,,,,
00861,元大全球未來通訊,市,,,63.8,0.5,+0.79,165,10.5,63.3,63.8,63.9,63.6,0.47,,1.0017,,,,,
00877,復華中國5G,櫃,,,26.73,-0.46,-1.69,2971,80,27.19,27.09,27.25,26.72,1.95,,1.0038,,,,,
00887,永豐中國科技50大,櫃,,,12.72,-0.14,-1.09,6262,79.9,12.86,12.87,12.88,12.7,1.4,,1.0024,,,,,
00890B,凱基ESGBBB債15+,櫃,,,32.95,-0.04,-0.12,558,18.4,32.99,33.07,33.07,32.95,0.36,,0.9958,,,,,
00894,中信小資高價30,市,,,32.27,0.64,+2.02,1567,50.3,31.63,31.86,32.3,31.76,1.71,,0.9975,,,,,
00904,新光臺灣半導體30,市,,,28.51,0.46,+1.64,4663,133,28.05,28.1,28.57,28.1,1.68,,0.9962,,,,,
00908,富邦入息REITs+,市,,,14.5,0.13,+0.9,289,4.2,14.37,14.48,14.52,14.46,0.42,,0.9952,,,,,
00912,中信臺灣智慧50,市,,,24.47,0.5,+2.09,973,23.7,23.97,24,24.53,24,2.21,,0.9963,,,,,
00916,國泰全球品牌50,市,,,26.72,-0.03,-0.11,384,10.3,26.75,26.75,26.77,26.72,0.19,,1.0011,,,,,
00926,凱基全球菁英55,市,,,23.63,-0.09,-0.38,1234,29.2,23.72,23.68,23.69,23.62,0.3,,1.0013,,,,,
00928,中信上櫃ESG30,櫃,,,21.99,0.13,+0.59,235,5.16,21.86,21.87,22.01,21.87,0.64,,0.9977,,,,,
00933B,國泰10Y+金融債,櫃,,,16.46,0.0,0,15911,262,16.46,16.5,16.51,16.46,0.3,,0.997,,,,,
00937B,群益ESG投等債20+,櫃,,,15.2,0.01,+0.07,72553,1104,15.19,15.23,15.24,15.2,0.26,,0.9963,,,,,
00943,兆豐電子高息等權,市,,,14.8,-0.02,-0.13,159,2.35,14.82,14.79,14.82,14.7,0.81,,0.996,,,,,
00945B,凱基美國非投等債,市,,,14.56,-0.04,-0.27,10241,149,14.6,14.6,14.61,14.55,0.41,,0.9993,,,,,
00947,台新臺灣IC設計,市,,,23.26,0.41,+1.79,8087,187,22.85,22.78,23.28,22.76,2.28,,0.9983,,,,,
00948B,中信優息投資級債,櫃,,,9.64,0.01,+0.1,18322,177,9.63,9.66,9.67,9.64,0.31,,0.9964,,,,,
00949,復華日本龍頭,市,,,20.88,0.42,+2.05,4109,85.7,20.46,20.56,20.9,20.56,1.66,,1.0116,,,,,
00950B,凱基A級公司債,櫃,,,14.34,0.02,+0.14,10158,146,14.32,14.36,14.37,14.33,0.28,,0.9979,,,,,
00951,台新日本半導體,市,,,15.24,0.42,+2.83,14911,226,14.82,15.04,15.25,14.96,1.96,,1.0263,,,,,
00953B,群益優選非投等債,市,,,9.7,-0.01,-0.1,38977,378,9.71,9.71,9.71,9.69,0.21,,1.0014,,,,,
00954,中信日本半導體,市,,,16.31,0.45,+2.84,9151,149,15.86,15.97,16.36,15.96,2.52,,1.0277,,,,,
00956,中信日經高股息,市,,,13.39,0.28,+2.14,1367,18.3,13.11,13.21,13.41,13.21,1.53,,1.0152,,,,,
00957B,兆豐US優選投等債,櫃,,,13.85,0.02,+0.14,1854,25.7,13.83,13.86,13.87,13.82,0.36,,1.0022,,,,,
00959B,大華投等美債15Y+,櫃,,,9.58,0.01,+0.1,2764,26.5,9.57,9.61,9.61,9.58,0.31,,0.9979,,,,,
00963,中信全球高股息,市,,,12.39,0.0,0,735,9.11,12.39,12.48,12.48,12.38,0.81,,1.0024,,,,,
00964,中信亞太高股息,市,,,13.28,0.13,+0.99,2606,34.5,13.15,13.22,13.3,13.22,0.61,,1.0008,,,,,
00969B,元大零息超長美債,櫃,,,8.56,0.12,+1.42,1445,12.4,8.44,8.56,8.59,8.56,0.36,,0.9931,,,,,
009800,中信NASDAQ,市,,,11.06,-0.03,-0.27,2766,30.6,11.09,11.08,11.08,11.05,0.27,,1.0055,,,,,
009802,富邦旗艦50,市,,,12.92,0.26,+2.05,4606,59.1,12.66,12.65,12.93,12.65,2.21,,0.9938,,,,,
009805,新光美國電力基建,市,,,14.18,0.0,0,21871,310,14.18,14.23,14.23,14.17,0.42,,1.0064,,,,,
009809,富邦淨零ESG50,市,,,12.32,0.18,+1.48,1399,17.2,12.14,12.18,12.35,12.18,1.4,,0.996,,,,,
00980B,台新特選IG債10+,櫃,,,9.68,0.0,0,336,3.25,9.68,9.7,9.7,9.68,0.21,,0.999,,,,,
00980T,平衡凱基美國TOP,櫃,,,10.68,-0.03,-0.28,904,9.67,10.71,10.7,10.71,10.68,0.28,,0.9991,,,,,
009812,野村日本東證,市,,,12.46,0.23,+1.88,4246,52.7,12.23,12.31,12.46,12.31,1.23,,1.0097,,,,,
00981B,第一金優選非投債,櫃,,,9.34,-0.04,-0.43,27158,254,9.38,9.37,9.38,9.33,0.53,,1.0038,,,,,
00981D,主動中信非投等債,櫃,,,10.54,-0.01,-0.09,14520,153,10.55,10.55,10.55,10.53,0.19,,1.0031,,,,,
00983D,主動富邦複合收益,市,,,10.28,-0.02,-0.19,1458,15,10.3,10.32,10.32,10.28,0.39,,0.9978,,,,,
00984B,大華優利美A債15,櫃,,,16.83,0.04,+0.24,2894,48.7,16.79,16.85,16.86,16.82,0.24,,1.0006,,,,,
00985B,群益ESG投等債0-5,市,,,10.32,-0.01,-0.1,10028,103,10.33,10.33,10.34,10.3,0.39,,1.0012,,,,,
00986B,FT金融債10+,櫃,,,10.19,0.0,0,14,0.14,10.19,10.19,10.24,10.19,0.49,,0.9951,,,,,
00991A,主動復華未來50,市,,,12.06,0.28,+2.38,73662,882,11.78,11.8,12.07,11.79,2.38,,0.9975,,,,,
00992A,主動群益科技創新,市,,,11.91,0.18,+1.53,29845,354,11.73,11.8,11.93,11.78,1.28,,0.9942,,,,,
00995A,主動中信台灣卓越,市,,,10.94,0.14,+1.3,11170,122,10.8,10.8,10.97,10.78,1.76,,0.9945,,,,,
1101,台泥,市,,,25.8,0.3,+1.18,23086,598,25.5,25.6,26.1,25.55,2.16,,0.89,,,,,
