代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
0050,元大台灣50,市,,,72,-0.9,-1.23,107576,7743,72.9,72.05,72.25,71.75,0.69,,1.0022,,,,,
0052,富邦科技,市,,,42.86,-0.57,-1.31,41424,1776,43.43,42.88,43.02,42.76,0.6,,1.0045,,,,,
0053,元大電子,市,,,158.8,-2.6,-1.61,17,2.71,161.4,159.85,160.05,158.25,1.12,,1.0027,,,,,
0061,元大寶滬深,市,,,23.4,0.02,+0.09,210,4.93,23.38,23.4,23.6,23.38,0.94,,0.9886,,,,,
006206,元大上證50,市,,,37.84,0.0,0,130,4.91,37.84,37.9,38.05,37.57,1.27,,0.9882,,,,,
00631L,元大台灣50正2,市,,,433.9,-15.15,-3.37,5926,2584,449.05,437.9,441.45,432,2.1,,1.0018,,,,,
00632R,元大台灣50反1,市,,,15,0.27,+1.83,68934,1029,14.73,14.88,15,14.84,1.09,,1.002,,,,,
00633L,富邦上証正2,市,,,47.45,0.36,+0.76,3039,144,47.09,47.35,47.83,47.02,1.72,,0.9894,,,,,
00634R,富邦上証反1,市,,,3.28,-0.01,-0.3,406,1.33,3.29,3.26,3.29,3.26,0.91,,1.0031,,,,,
00635U,期元大S&P黃金,市,,,51.75,-2.3,-4.26,23675,1233,54.05,53.25,53.25,50.9,4.35,,0.9912,,,,,
00636,國泰中國A50,市,,,26.68,0.1,+0.38,812,21.6,26.58,26.65,26.76,26.57,0.71,,0.9911,,,,,
00637L,元大滬深300正2,市,,,19.54,0.19,+0.98,30793,602,19.35,19.52,19.7,19.36,1.76,,0.9889,,,,,
00641R,富邦日本反1,市,,,4.28,0.02,+0.47,2698,11.5,4.26,4.25,4.29,4.24,1.17,,1.0023,,,,,
00648R,元大S&P500反1,市,,,4.36,0.03,+0.69,1218,5.3,4.33,4.34,4.37,4.34,0.69,,1,,,,,
00653L,富邦印度正2,市,,,55.65,-0.65,-1.15,252,14.1,56.3,56.3,56.5,55.6,1.6,,1.0004,,,,,
00656R,國泰中國A50反1,市,,,6.23,-0.02,-0.32,162,1.01,6.25,6.22,6.25,6.21,0.64,,1.0048,,,,,
00664R,國泰臺灣加權反1,市,,,2.42,0.04,+1.68,18271,44.1,2.38,2.4,2.43,2.4,1.26,,1,,,,,
00665L,富邦恒生國企正2,市,,,10.78,-0.16,-1.46,32994,355,10.94,10.79,10.86,10.67,1.74,,0.9773,,,,,
00670L,富邦NASDAQ正2,市,,,154.6,-5.65,-3.53,4002,622,160.25,156.3,157,153.8,2.0,,0.9986,,,,,
00673R,期元大S&P原油反1,市,,,25.39,0.02,+0.08,6728,170,25.37,25.23,25.46,25.09,1.46,,1.0071,,,,,
00675L,富邦臺灣加權正2,市,,,172,-6.25,-3.51,4052,702,178.25,173.85,175.15,171.25,2.19,,0.9981,,,,,
00685L,群益臺灣加權正2,市,,,154.6,-5.25,-3.28,1129,175,159.85,156,157.25,153.85,2.13,,0.999,,,,,
00686R,群益臺灣加權反1,市,,,1.48,0.02,+1.37,2452,3.61,1.46,1.47,1.48,1.46,1.37,,1.0068,,,,,
00697B,元大美債7-10,櫃,,,36.13,0.14,+0.39,632,22.8,35.99,35.99,36.13,35.99,0.39,,1.0002,,,,,
00700,富邦恒生國企,市,,,18.36,-0.03,-0.16,601,11,18.39,18.39,18.41,18.23,0.98,,0.9823,,,,,
00703,台新MSCI中國,市,,,21.51,-0.23,-1.06,68,1.47,21.74,21.71,21.71,21.41,1.38,,0.9777,,,,,
00706L,期元大S&P日圓正2,市,,,20.3,-0.12,-0.59,1365,27.7,20.42,20.32,20.32,20.26,0.29,,1.002,,,,,
00707R,期元大S&P日圓反1,市,,,31.38,0.13,+0.42,3,0.09,31.25,31.28,31.38,31.28,0.32,,0.9924,,,,,
00708L,期元大S&P黃金正2,市,,,109.1,-9.85,-8.28,17807,1974,118.95,115.7,115.7,105.8,8.32,,0.9794,,,,,
00712,復華富時不動產,市,,,9.45,0.07,+0.75,15168,143,9.38,9.42,9.47,9.42,0.53,,0.9979,,,,,
00714,群益道瓊美國地產,市,,,20.5,0.36,+1.79,157,3.22,20.14,20.44,20.5,20.44,0.3,,0.999,,,,,
00724B,群益投資級金融債,櫃,,,34.47,0.09,+0.26,3674,127,34.38,34.41,34.47,34.41,0.17,,1.0016,,,,,
00731,復華富時高息低波,市,,,71.8,0.05,+0.07,602,43.1,71.75,71.55,71.9,71.55,0.49,,0.9939,,,,,
00740B,富邦全球投等債,櫃,,,39.42,0.08,+0.2,2583,102,39.34,39.34,39.42,39.33,0.23,,1.0019,,,,,
00752,中信中國50,市,,,25.95,-0.25,-0.95,2575,66.7,26.2,26.2,26.2,25.76,1.68,,0.9867,,,,,
00755B,群益投資級公用債,櫃,,,33.46,0.08,+0.24,197,6.59,33.38,33.4,33.47,33.4,0.21,,1.0015,,,,,
00756B,群益投等新興公債,櫃,,,32.11,0.12,+0.38,200,6.41,31.99,32,32.11,32,0.34,,0.9996,,,,,
00757,統一FANG+,市,,,110.75,-2.1,-1.86,4161,461,112.85,111.1,111.35,110.3,0.93,,0.9966,,,,,
00762,元大全球AI,市,,,82.1,-2.2,-2.61,480,39.5,84.3,82.9,82.9,81.85,1.25,,1.0016,,,,,
00764B,群益25年美債,櫃,,,28.29,0.09,+0.32,4736,134,28.2,28.24,28.29,28.21,0.28,,1.0006,,,,,
00780B,國泰A級金融債,櫃,,,38.16,0.09,+0.24,119,4.55,38.07,38.1,38.19,38.1,0.24,,0.9998,,,,,
00783,富邦中証500,市,,,27.78,-0.37,-1.31,409,11.5,28.15,28.48,28.48,27.78,2.49,,0.9834,,,,,
00793B,群益AAA-A醫療債,櫃,,,31.31,0.02,+0.06,100,3.13,31.29,31.28,31.31,31.28,0.1,,1.0003,,,,,
00830,國泰費城半導體,市,,,54.3,-1.7,-3.04,32908,1791,56,54.7,54.75,54,1.34,,1.0142,,,,,
00850,元大臺灣ESG永續,市,,,60.2,-1.0,-1.63,909,54.8,61.2,60.7,60.7,60.1,0.98,,0.9967,,,,,
00857B,永豐20年美公債,櫃,,,23.55,0.06,+0.26,2395,56.4,23.49,23.5,23.57,23.48,0.38,,1.0021,,,,,
00861,元大全球未來通訊,市,,,61,-1.25,-2.01,88,5.39,62.25,61.75,61.75,60.9,1.37,,1,,,,,
