代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
0050,元大台灣50,市,,,81.1,1.7,+2.14,167423,13566,79.4,80.35,81.8,80.25,1.95,,0.998,,,,,
0052,富邦科技,市,,,48.38,1.1,+2.33,83894,4054,47.28,48.85,48.85,47.9,2.01,,1.0002,,,,,
0056,元大高股息,市,,,40.05,0.33,+0.83,86682,3472,39.72,39.81,40.3,39.81,1.23,,0.9948,,,,,
0061,元大寶滬深,市,,,23.87,0.12,+0.51,521,12.4,23.75,23.75,23.94,23.68,1.09,,0.9954,,,,,
006201,元大富櫃50,櫃,,,31.2,0.09,+0.29,124,3.84,31.11,31.15,31.2,30.76,1.41,,0.9981,,,,,
006206,元大上證50,市,,,37.98,0.17,+0.45,619,23.5,37.81,37.81,38.18,37.68,1.32,,0.9953,,,,,
006208,富邦台50,市,,,187.75,3.75,+2.04,6395,1199,184,185.75,189.4,185.75,1.98,,0.9949,,,,,
00631L,元大台灣50正2,市,,,533.9,19.6,+3.81,5874,3121,514.3,528.55,542,521,4.08,,1.0014,,,,,
00634R,富邦上証反1,市,,,3.26,-0.02,-0.61,88,0.29,3.28,3.28,3.28,3.23,1.52,,0.9939,,,,,
00635U,期元大S&P黃金,市,,,54.95,0.05,+0.09,6884,378,54.9,54.7,55,54.6,0.73,,1.0005,,,,,
00638R,元大滬深300反1,市,,,6.97,-0.09,-1.27,90,0.63,7.06,7.05,7.05,6.97,1.13,,0.9887,,,,,
00639,富邦深100,市,,,15.68,0.12,+0.77,1006,15.8,15.56,15.56,15.73,15.52,1.35,,0.9937,,,,,
00640L,富邦日本正2,市,,,98.5,1.95,+2.02,1055,103,96.55,96.6,98.6,96.35,2.33,,1.0051,,,,,
00641R,富邦日本反1,市,,,4.02,-0.03,-0.74,2154,8.71,4.05,4.07,4.07,4.01,1.48,,0.995,,,,,
00643,群益深証中小,市,,,18.32,0.14,+0.77,3158,57.8,18.18,18.15,18.37,18.11,1.43,,0.993,,,,,
00647L,元大S&P500正2,市,,,115.85,0.75,+0.65,97,11.3,115.1,116.15,116.45,115.85,0.52,,0.9968,,,,,
00650L,復華香港正2,市,,,18.7,0.32,+1.74,6128,114,18.38,18.65,18.77,18.51,1.41,,1.0016,,,,,
00652,富邦印度,市,,,36.44,0.02,+0.05,398,14.5,36.42,36.42,36.45,36.3,0.41,,1.0028,,,,,
00653L,富邦印度正2,市,,,54.9,0.55,+1.01,240,13.1,54.35,54.35,55.1,54.35,1.38,,1.0099,,,,,
00654R,富邦印度反1,市,,,6.37,-0.06,-0.93,98,0.62,6.43,6.41,6.41,6.35,0.93,,0.9907,,,,,
00656R,國泰中國A50反1,市,,,6.19,-0.05,-0.8,152,0.94,6.24,6.24,6.24,6.16,1.28,,0.992,,,,,
00662,富邦NASDAQ,市,,,100.6,0.25,+0.25,2811,283,100.35,101.1,101.1,100.55,0.55,,1.0021,,,,,
00665L,富邦恒生國企正2,市,,,10.87,0.11,+1.02,19258,210,10.76,10.89,10.96,10.82,1.3,,1.0056,,,,,
00666R,富邦恒生國企反1,市,,,8.68,-0.09,-1.03,32,0.28,8.77,8.72,8.72,8.66,0.68,,0.9864,,,,,
00668,國泰美國道瓊,市,,,56.15,0.1,+0.18,172,9.68,56.05,56.2,56.3,56.05,0.45,,0.9991,,,,,
00670L,富邦NASDAQ正2,市,,,154.7,1.95,+1.28,1735,269,152.75,154.9,155.6,154.25,0.88,,1,,,,,
00673R,期元大S&P原油反1,市,,,24.32,0.21,+0.87,7367,179,24.11,24.28,24.35,24.16,0.79,,1.0004,,,,,
00674R,期元大S&P黃金反1,市,,,4.77,-0.03,-0.62,1741,8.33,4.8,4.82,4.82,4.77,1.04,,0.9958,,,,,
00675L,富邦臺灣加權正2,市,,,211.15,7.65,+3.76,2925,615,203.5,208.3,214.5,206.3,4.03,,0.9997,,,,,
00676R,富邦臺灣加權反1,市,,,7.39,-0.16,-2.12,8945,66.4,7.55,7.49,7.49,7.36,1.72,,1,,,,,
00681R,元大美債20反1,市,,,20.27,-0.04,-0.2,96,1.95,20.31,20.26,20.28,20.26,0.1,,0.9989,,,,,
00684R,期元大美元指反1,市,,,15.57,0.0,0,102,1.59,15.57,15.56,15.58,15.56,0.13,,0.9936,,,,,
00687B,國泰20年美債,櫃,,,28.95,-0.05,-0.17,37042,1073,29,29.07,29.07,28.93,0.48,,0.999,,,,,
00689R,國泰20年美債反1,市,,,21.06,-0.04,-0.19,52,1.1,21.1,21.04,21.06,21.04,0.09,,0.9962,,,,,
00690,兆豐藍籌30,市,,,55.85,1.15,+2.1,750,41.8,54.7,55.95,56.2,55.25,1.74,,1.0004,,,,,
00692,富邦公司治理,市,,,70.95,1.35,+1.94,2094,149,69.6,70.45,71.75,70.45,1.87,,0.9909,,,,,
00693U,期街口S&P黃豆,市,,,21.86,0.32,+1.49,2158,47.1,21.54,21.59,21.86,21.59,1.25,,1.0023,,,,,
00694B,富邦美債1-3,櫃,,,41.5,-0.18,-0.43,832,34.5,41.68,41.66,41.66,41.49,0.41,,0.9999,,,,,
00695B,富邦美債7-10,櫃,,,35.79,-0.18,-0.5,700,25.1,35.97,35.89,35.9,35.79,0.31,,0.9999,,,,,
00696B,富邦美債20年,櫃,,,30.02,-0.08,-0.27,2274,68.3,30.1,30.14,30.14,30,0.47,,0.9999,,,,,
00701,國泰股利精選30,市,,,30.15,-0.17,-0.56,1713,51.8,30.32,30.22,30.38,30.09,0.96,,0.9947,,,,,
00706L,期元大S&P日圓正2,市,,,20.47,-0.13,-0.63,1847,37.8,20.6,20.53,20.55,20.41,0.68,,1.0064,,,,,
00714,群益道瓊美國地產,市,,,21.17,-0.1,-0.47,173,3.67,21.27,21.27,21.27,21.17,0.47,,0.9944,,,,,
00717,富邦美國特別股,市,,,15.16,-0.03,-0.2,160,2.43,15.19,15.18,15.18,15.16,0.13,,0.9961,,,,,
00724B,群益投資級金融債,櫃,,,34.65,-0.13,-0.37,3580,124,34.78,34.74,34.76,34.63,0.37,,0.9976,,,,,
00726B,國泰新興投等債,櫃,,,33.66,-0.08,-0.24,162,5.46,33.74,33.74,33.74,33.64,0.3,,1.0005,,,,,
00733,富邦臺灣中小,市,,,54.55,0.0,0,2799,153,54.55,55.3,55.7,53.95,3.21,,0.9958,,,,,
00738U,期元大道瓊白銀,市,,,73.05,2.05,+2.89,13359,969,71,71.35,73.2,71.3,2.68,,0.986,,,,,
00740B,富邦全球投等債,櫃,,,39.37,-0.19,-0.48,1031,40.6,39.73,39.55,39.55,39.36,0.48,,0.9986,,,,,
00741B,富邦全球非投等債,櫃,,,37.33,-0.12,-0.32,236,8.82,37.65,37.55,37.55,37.29,0.69,,1.0003,,,,,
00746B,富邦A級公司債,櫃,,,36.28,-0.15,-0.41,323,11.7,36.43,36.43,36.43,36.24,0.52,,0.9988,,,,,
