代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
0050,元大台灣50,市,,,76.65,1.05,+1.39,63987,4901,75.6,76.45,77,76.3,0.93,,1,,,,,
0052,富邦科技,市,,,45.68,0.51,+1.13,26041,1190,45.17,45.68,45.9,45.55,0.77,,1.0002,,,,,
0056,元大高股息,市,,,39.13,0.32,+0.82,32448,1268,38.81,38.9,39.18,38.9,0.72,,0.998,,,,,
006203,元大MSCI台灣,市,,,139.35,2.0,+1.46,4,0.62,137.35,138.4,139.35,138.4,0.69,,1.0009,,,,,
006207,復華滬深,市,,,32.09,0.06,+0.19,169,5.42,32.03,31.98,32.24,31.98,0.81,,1.0019,,,,,
00631L,元大台灣50正2,市,,,479.7,16.1,+3.47,5898,2822,463.6,474.8,483.6,474.8,1.9,,1.0006,,,,,
00633L,富邦上証正2,市,,,48.29,0.87,+1.83,4964,240,47.42,47.47,48.96,47.45,3.18,,1.0071,,,,,
00635U,期元大S&P黃金,市,,,53.45,0.45,+0.85,3187,169,53,52.95,53.45,52.85,1.13,,1.0047,,,,,
00639,富邦深100,市,,,15.96,-0.02,-0.13,1146,18.5,15.98,16.01,16.2,15.96,1.5,,1.0038,,,,,
00640L,富邦日本正2,市,,,86.7,2.05,+2.42,386,33.5,84.65,86.6,87.25,86.45,0.95,,1.0097,,,,,
00641R,富邦日本反1,市,,,4.26,-0.05,-1.16,502,2.13,4.31,4.24,4.26,4.22,0.93,,0.9953,,,,,
00642U,期元大S&P石油,市,,,25.65,-0.92,-3.46,34822,896,26.57,25.78,25.85,25.6,0.94,,0.9779,,,,,
00643,群益深証中小,市,,,18.51,-0.1,-0.54,2928,54.5,18.61,18.6,18.76,18.51,1.34,,1.0087,,,,,
00645,富邦日本,市,,,50.8,0.55,+1.09,131,6.7,50.25,50.8,51.1,50.8,0.6,,1.0018,,,,,
00650L,復華香港正2,市,,,17.89,0.21,+1.19,3928,70.6,17.68,17.71,18.19,17.71,2.71,,1.0102,,,,,
00653L,富邦印度正2,市,,,46.11,1.7,+3.83,720,33.1,44.41,45.68,46.28,45.6,1.53,,0.9989,,,,,
00654R,富邦印度反1,市,,,7,-0.16,-2.23,345,2.41,7.16,7.04,7.04,6.98,0.84,,1,,,,,
00655L,國泰中國A50正2,市,,,33.58,0.63,+1.91,2805,94.5,32.95,32.96,34.01,32.96,3.19,,1.0069,,,,,
00663L,國泰臺灣加權正2,市,,,62.65,2.05,+3.38,10297,644,60.6,62.2,63.15,62.1,1.73,,1.0085,,,,,
00664R,國泰臺灣加權反1,市,,,2.27,-0.03,-1.3,16181,36.7,2.3,2.27,2.28,2.25,1.3,,1,,,,,
00665L,富邦恒生國企正2,市,,,10.38,0.17,+1.67,23520,246,10.21,10.25,10.58,10.25,3.23,,1.0078,,,,,
00669R,國泰美國道瓊反1,市,,,5.88,-0.05,-0.84,1557,9.17,5.93,5.91,5.91,5.88,0.51,,0.9932,,,,,
00671R,富邦NASDAQ反1,市,,,2.94,-0.01,-0.34,4380,12.9,2.95,2.94,2.95,2.93,0.68,,0.9966,,,,,
00674R,期元大S&P黃金反1,市,,,4.94,-0.03,-0.6,1490,7.42,4.97,5,5,4.94,1.21,,0.994,,,,,
00675L,富邦臺灣加權正2,市,,,190.1,6.1,+3.32,2597,492,184,188.6,191.65,188.5,1.71,,1.0024,,,,,
00681R,元大美債20反1,市,,,20.87,-0.07,-0.33,2,0.04,20.94,20.87,20.87,20.87,0.0,,0.999,,,,,
00683L,期元大美元指正2,市,,,21.64,-0.17,-0.78,322,6.96,21.81,21.63,21.66,21.54,0.55,,1.0046,,,,,
00684R,期元大美元指反1,市,,,15.23,0.06,+0.4,493,7.5,15.17,15.21,15.25,15.15,0.66,,0.9922,,,,,
00685L,群益臺灣加權正2,市,,,171.05,5.45,+3.29,944,161,165.6,169.7,172.5,169.6,1.75,,1.0026,,,,,
00686R,群益臺灣加權反1,市,,,1.39,-0.01,-0.71,5627,7.77,1.4,1.38,1.39,1.37,1.43,,1.0072,,,,,
00687B,國泰20年美債,櫃,,,28.4,-0.1,-0.35,22158,630,28.78,28.51,28.51,28.39,0.42,,0.9977,,,,,
00689R,國泰20年美債反1,市,,,21.82,-0.07,-0.32,300,6.55,21.89,21.8,21.82,21.8,0.09,,0.9984,,,,,
00697B,元大美債7-10,櫃,,,36.62,-0.11,-0.3,240,8.8,36.73,36.83,36.83,36.58,0.68,,0.9987,,,,,
00701,國泰股利精選30,市,,,28.99,0.11,+0.38,374,10.9,28.88,28.95,29.11,28.94,0.59,,0.9938,,,,,
00712,復華富時不動產,市,,,8.99,-0.01,-0.11,85342,765,9,8.94,8.99,8.92,0.78,,1.0101,,,,,
00714,群益道瓊美國地產,市,,,20.96,-0.21,-0.99,41,0.86,21.17,21.15,21.15,20.96,0.9,,0.9929,,,,,
00715L,期街口布蘭特正2,市,,,52.5,-2.5,-4.55,24638,1299,55,52.9,53.1,52.2,1.64,,0.9701,,,,,
00731,復華富時高息低波,市,,,71.7,0.25,+0.35,355,25.4,71.45,71.95,71.95,71.55,0.56,,0.9917,,,,,
00735,國泰臺韓科技,市,,,69.3,2.05,+3.05,2881,199,67.25,68.55,69.45,68.55,1.34,,1.0058,,,,,
00753L,中信中國50正2,市,,,11.47,0.12,+1.06,15603,180,11.35,11.42,11.67,11.33,3.0,,1.015,,,,,
00761B,國泰A級公司債,櫃,,,34.52,-0.15,-0.43,384,13.3,34.67,34.5,34.56,34.5,0.17,,0.9993,,,,,
00762,元大全球AI,市,,,83.25,0.15,+0.18,166,13.8,83.1,83.15,83.3,83.05,0.3,,0.9959,,,,,
00770,國泰北美科技,市,,,51.7,0.15,+0.29,252,13,51.55,51.65,51.85,51.6,0.48,,0.996,,,,,
00788B,元大10年IG電能債,櫃,,,30.11,0.03,+0.1,74,2.24,30.08,30.11,30.19,30.09,0.33,,0.995,,,,,
00792B,群益A級公司債,櫃,,,31.5,-0.14,-0.44,219,6.9,32.06,31.6,31.6,31.47,0.41,,0.9983,,,,,
00830,國泰費城半導體,市,,,55,0.2,+0.36,4581,252,54.8,55.2,55.2,54.9,0.55,,0.9962,,,,,
00836B,永豐10年A公司債,櫃,,,28.94,-0.14,-0.48,46,1.34,29.08,29.02,29.02,28.94,0.28,,0.9959,,,,,
00853B,統一美債10年Aa-A,櫃,,,27.57,-0.11,-0.4,1796,49.5,28.03,27.68,27.7,27.57,0.47,,0.9989,,,,,
00858,永豐美國500大,櫃,,,32.15,-0.06,-0.19,1250,40.2,32.21,32.16,32.19,32.08,0.34,,0.9988,,,,,
00859B,群益0-1年美債,櫃,,,41.19,-0.22,-0.53,3231,133,42.02,41.33,41.33,41.17,0.39,,1.0006,,,,,
00864B,中信美國公債0-1,櫃,,,46.56,-0.23,-0.49,1442,67.2,46.79,46.79,46.79,46.55,0.51,,0.9992,,,,,
00878,國泰永續高股息,市,,,22.62,0.19,+0.85,43317,980,22.43,22.58,22.71,22.57,0.62,,0.9947,,,,,
00895,富邦未來車,市,,,40.26,0.23,+0.57,466,18.8,40.03,40.05,40.39,40.05,0.85,,1.0002,,,,,
00896,中信綠能及電動車,市,,,21.38,0.23,+1.09,3178,68,21.85,21.42,21.54,21.29,1.18,,1.0014,,,,,
00903,富邦元宇宙,市,,,16.06,0.0,0,228,3.67,16.06,16.11,16.11,16.05,0.37,,0.9957,,,,,
00908,富邦入息REITs+,市,,,13.96,0.16,+1.16,376,5.25,13.8,13.94,13.98,13.94,0.29,,0.9936,,,,,
00912,中信臺灣智慧50,市,,,24.75,0.38,+1.56,169,4.19,24.37,24.63,24.85,24.63,0.9,,0.9948,,,,,
00916,國泰全球品牌50,市,,,25.65,-0.06,-0.23,178,4.56,25.71,25.71,25.73,25.61,0.47,,0.9969,,,,,
