代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
0050,元大台灣50,市,,,72.25,0.45,+0.63,70983,5116,71.8,72.1,72.3,71.8,0.7,,1,,,,,
0052,富邦科技,市,,,42.81,0.39,+0.92,27163,1160,42.42,42.67,42.88,42.42,1.08,,1.0009,,,,,
006205,富邦上証,市,,,40.88,-0.12,-0.29,268,11,41,41,41.15,40.88,0.66,,0.9956,,,,,
006206,元大上證50,市,,,37.45,-0.15,-0.4,69,2.59,37.6,37.68,38.11,37.45,1.76,,0.9973,,,,,
00634R,富邦上証反1,市,,,3.28,0.02,+0.61,51,0.17,3.26,3.26,3.28,3.26,0.61,,0.9909,,,,,
00636,國泰中國A50,市,,,26.53,-0.22,-0.82,1349,36,26.75,26.79,26.84,26.5,1.27,,1.0004,,,,,
00639,富邦深100,市,,,15.48,-0.04,-0.26,547,8.49,15.52,15.56,15.63,15.45,1.16,,0.9929,,,,,
00642U,期元大S&P石油,市,,,15.74,-0.22,-1.38,3203,50.4,15.96,15.73,15.77,15.69,0.5,,,,,,,
00650L,復華香港正2,市,,,18.95,0.26,+1.39,5396,103,18.69,19.09,19.24,18.91,1.77,,0.9984,,,,,
00654R,富邦印度反1,市,,,6.48,-0.02,-0.31,20,0.13,6.5,6.46,6.48,6.46,0.31,,,,,,,
00655L,國泰中國A50正2,市,,,32.75,-0.45,-1.36,1850,61.2,33.2,33.69,33.71,32.75,2.89,,1.0068,,,,,
00662,富邦NASDAQ,市,,,103.65,0.3,+0.29,2251,233,103.35,103.55,103.75,103.5,0.24,,,,,,,
00666R,富邦恒生國企反1,市,,,8.62,-0.08,-0.92,45,0.39,8.7,8.59,8.64,8.59,0.57,,0.9885,,,,,
00668,國泰美國道瓊,市,,,56.9,0.1,+0.18,29,1.63,56.8,56.9,56.95,56.9,0.09,,,,,,,
00670L,富邦NASDAQ正2,市,,,163.85,1.6,+0.99,1064,174,162.25,163.15,163.9,163.15,0.46,,,,,,,
00674R,期元大S&P黃金反1,市,,,5.13,-0.19,-3.57,3350,17.2,5.32,5.14,5.16,5.13,0.56,,,,,,,
00676R,富邦臺灣加權反1,市,,,8.18,-0.06,-0.73,4259,34.9,8.24,8.21,8.24,8.17,0.85,,1.0012,,,,,
00679B,元大美債20年,櫃,,,27.33,0.03,+0.11,50771,1389,27.3,27.34,27.41,27.33,0.29,,,,,,,
00685L,群益臺灣加權正2,市,,,157.15,2.35,+1.52,764,120,154.8,156.75,157.5,154.9,1.68,,0.9977,,,,,
00690,兆豐藍籌30,市,,,50.15,0.85,+1.72,313,15.7,49.3,50.15,50.25,49.77,0.97,,0.9984,,,,,
00693U,期街口S&P黃豆,市,,,20.32,0.01,+0.05,1209,24.6,20.31,20.34,20.38,20.31,0.34,,,,,,,
00695B,富邦美債7-10,櫃,,,35.42,-0.09,-0.25,303,10.7,35.51,35.43,35.48,35.42,0.17,,,,,,,
00697B,元大美債7-10,櫃,,,35.99,-0.01,-0.03,674,24.3,36,36,36.03,35.99,0.11,,,,,,,
00700,富邦恒生國企,市,,,18.69,0.1,+0.54,552,10.3,18.59,18.71,18.8,18.64,0.86,,0.9952,,,,,
00701,國泰股利精選30,市,,,29.03,-0.14,-0.48,987,28.7,29.17,29.17,29.22,28.97,0.86,,0.9932,,,,,
00703,台新MSCI中國,市,,,22.2,0.1,+0.45,26,0.59,22.1,22.25,22.38,22.17,0.95,,,,,,,
00708L,期元大S&P黃金正2,市,,,117.15,7.25,+6.6,6712,785,109.9,117.1,117.6,116.4,1.09,,,,,,,
00714,群益道瓊美國地產,市,,,20.29,-0.26,-1.27,113,2.29,20.55,20.26,20.39,20.25,0.68,,,,,,,
00715L,期街口布蘭特正2,市,,,21.72,-0.56,-2.51,13880,302,22.28,21.73,21.82,21.63,0.85,,,,,,,
00717,富邦美國特別股,市,,,15.44,0.02,+0.13,440,6.8,15.42,15.45,15.45,15.44,0.06,,,,,,,
00730,富邦臺灣優質高息,市,,,23.38,0.03,+0.13,189,4.43,23.35,23.35,23.6,23.34,1.11,,0.9962,,,,,
00740B,富邦全球投等債,櫃,,,39.56,0.08,+0.2,1586,62.8,39.48,39.56,39.66,39.56,0.25,,,,,,,
00752,中信中國50,市,,,26.99,0.14,+0.52,1080,29.2,26.85,27.2,27.2,26.97,0.86,,,,,,,
00753L,中信中國50正2,市,,,13.02,0.16,+1.24,19853,260,12.86,13.15,13.22,12.99,1.79,,,,,,,
00763U,期街口道瓊銅,市,,,32.15,0.24,+0.75,2257,72.4,31.91,32.06,32.18,31.95,0.72,,,,,,,
00764B,群益25年美債,櫃,,,28.42,0.03,+0.11,6933,197,28.39,28.42,28.48,28.41,0.25,,,,,,,
00780B,國泰A級金融債,櫃,,,38.13,-0.05,-0.13,166,6.33,38.18,38.16,38.16,38.13,0.08,,,,,,,
00781B,國泰A級科技債,櫃,,,29.71,0.16,+0.54,172,5.1,29.55,29.62,29.71,29.62,0.3,,,,,,,
00795B,中信美國公債20年,櫃,,,27.56,0.04,+0.15,4297,119,27.52,27.53,27.63,27.53,0.36,,,,,,,
00799B,國泰A級醫療債,櫃,,,30.71,0.08,+0.26,340,10.5,30.63,30.67,30.77,30.67,0.33,,,,,,,
00830,國泰費城半導體,市,,,56.35,-0.5,-0.88,21188,1192,56.85,56.35,56.35,56.15,0.35,,,,,,,
00859B,群益0-1年美債,櫃,,,41.16,-0.12,-0.29,2723,112,41.28,41.27,41.27,41.15,0.29,,,,,,,
00861,元大全球未來通訊,市,,,59.5,-0.45,-0.75,151,8.99,59.95,59.95,59.95,59.5,0.75,,,,,,,
00865B,國泰US短期公債,市,,,47.45,-0.09,-0.19,3472,165,47.54,47.54,47.54,47.45,0.19,,,,,,,
00894,中信小資高價30,市,,,30.49,0.29,+0.96,2100,63.9,30.2,30.4,30.5,30.25,0.83,,0.9971,,,,,
00895,富邦未來車,市,,,41.59,0.34,+0.82,534,22.2,41.25,41.4,41.69,41.35,0.82,,,,,,,
00903,富邦元宇宙,市,,,17.78,0.17,+0.97,273,4.85,17.61,17.79,17.81,17.78,0.17,,,,,,,
00908,富邦入息REITs+,市,,,14.21,-0.01,-0.07,20,0.28,14.22,14.23,14.23,14.2,0.21,,,,,,,
00910,第一金太空衛星,市,,,56.95,1.55,+2.8,4878,278,55.4,56.3,57.6,56.3,2.35,,,,,,,
00911,兆豐洲際半導體,市,,,37.42,-0.14,-0.37,1069,40,37.56,37.46,37.49,37,1.3,,,,,,,
00912,中信臺灣智慧50,市,,,22.78,0.26,+1.15,1038,23.6,22.52,22.65,22.81,22.61,0.89,,0.9948,,,,,
00916,國泰全球品牌50,市,,,26.83,0.23,+0.86,175,4.69,26.6,26.7,26.94,26.7,0.9,,,,,,,
00920,富邦ESG綠色電力,市,,,19.86,0.04,+0.2,1111,22.1,19.82,19.82,19.96,19.82,0.71,,,,,,,
00922,國泰台灣領袖50,市,,,28.39,0.27,+0.96,6653,189,28.12,28.31,28.43,28.22,0.75,,0.9961,,,,,
00926,凱基全球菁英55,市,,,23.63,0.08,+0.34,1154,27.3,23.55,23.57,23.65,23.57,0.34,,,,,,,
00927,群益半導體收益,市,,,24.72,0.34,+1.39,19407,479,24.38,24.61,24.78,24.38,1.64,,0.9948,,,,,
00929,復華台灣科技優息,市,,,19.79,0.12,+0.61,54351,1077,19.67,19.86,19.97,19.67,1.53,,0.9945,,,,,
00931B,統一美債20年,櫃,,,13.71,0.03,+0.22,3728,51.2,13.68,13.7,13.74,13.7,0.29,,,,,,,
00933B,國泰10Y+金融債,櫃,,,16.49,0.0,0,14671,242,16.49,16.49,16.52,16.48,0.24,,,,,,,
00934,中信成長高股息,市,,,22.39,0.02,+0.09,2532,56.9,22.37,22.48,22.6,22.33,1.21,,0.9969,,,,,
00937B,群益ESG投等債20+,櫃,,,15.24,0.04,+0.26,81441,1243,15.2,15.22,15.28,15.22,0.39,,,,,,,
00938,凱基優選30,市,,,18.49,0.05,+0.27,1230,22.7,18.44,18.53,18.53,18.46,0.38,,0.9962,,,,,
00940,元大台灣價值高息,市,,,9.74,-0.01,-0.1,58547,571,9.75,9.78,9.81,9.71,1.03,,0.9939,,,,,
00942B,台新美A公司債20+,櫃,,,14.71,0.06,+0.41,1552,22.9,14.65,14.69,14.74,14.69,0.34,,,,,,,
00943,兆豐電子高息等權,市,,,15.18,0.03,+0.2,447,6.81,15.15,15.29,15.31,15.1,1.39,,0.9954,,,,,
00947,台新臺灣IC設計,市,,,22.81,0.33,+1.47,14210,324,22.48,22.86,23.1,22.48,2.76,,,,,,,
00948B,中信優息投資級債,櫃,,,9.69,0.03,+0.31,8878,86.1,9.66,9.69,9.71,9.69,0.21,,,,,,,
00950B,凱基A級公司債,櫃,,,14.45,0.0,0,4731,68.4,14.45,14.45,14.48,14.44,0.28,,,,,,,
00953B,群益優選非投等債,市,,,9.8,0.0,0,33532,329,9.8,9.8,9.81,9.79,0.2,,,,,,,
