代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
0061,元大寶滬深,市,,,23.75,0.01,+0.04,309,7.35,23.74,23.74,23.84,23.72,0.51,,0.9916,,,,,
006206,元大上證50,市,,,38.38,-0.03,-0.08,57,2.2,38.41,38.48,38.52,38.28,0.62,,0.9912,,,,,
00632R,元大台灣50反1,市,,,14.36,-0.26,-1.78,80809,1166,14.62,14.51,14.51,14.36,1.03,,1,,,,,
00633L,富邦上証正2,市,,,48.33,0.09,+0.19,4080,198,48.24,48.5,48.75,48.26,1.02,,1.0004,,,,,
00637L,元大滬深300正2,市,,,19.87,0.01,+0.05,30946,617,19.86,19.93,20.05,19.82,1.16,,1,,,,,
00639,富邦深100,市,,,15.55,0.05,+0.32,1245,19.4,15.5,15.55,15.6,15.53,0.45,,0.9936,,,,,
00645,富邦日本,市,,,54.05,0.95,+1.79,504,27.2,53.1,53.95,54.2,53.75,0.85,,1.0015,,,,,
00647L,元大S&P500正2,市,,,119.15,0.5,+0.42,37,4.38,118.65,118.85,119.2,118.85,0.29,,0.9981,,,,,
00648R,元大S&P500反1,市,,,4.3,-0.02,-0.46,563,2.42,4.32,4.3,4.31,4.3,0.23,,1,,,,,
00651R,復華香港反1,市,,,5.03,-0.04,-0.79,522,2.62,5.07,5.02,5.03,4.99,0.79,,0.998,,,,,
00652,富邦印度,市,,,37.37,0.02,+0.05,689,25.7,37.35,37.35,37.38,37.15,0.62,,0.9992,,,,,
00655L,國泰中國A50正2,市,,,33.46,-0.02,-0.06,1363,45.7,33.48,33.56,33.79,33.42,1.11,,1,,,,,
00657,國泰日經225,市,,,68,1.25,+1.87,349,23.8,66.75,67.6,68.25,67.6,0.97,,1.0015,,,,,
00663L,國泰臺灣加權正2,市,,,61.25,2.0,+3.38,10088,614,59.25,60.35,61.25,60.2,1.77,,0.9922,,,,,
00666R,富邦恒生國企反1,市,,,8.53,-0.1,-1.16,68,0.58,8.63,8.58,8.58,8.48,1.16,,0.9884,,,,,
00668,國泰美國道瓊,市,,,57.75,-0.2,-0.35,350,20.2,57.95,57.8,57.8,57.6,0.35,,1.0012,,,,,
00673R,期元大S&P原油反1,市,,,25.19,-0.42,-1.64,10218,257,25.61,25.19,25.27,25.11,0.62,,1.0096,,,,,
00674R,期元大S&P黃金反1,市,,,4.97,0.0,0,2979,14.7,4.97,4.96,4.97,4.93,0.8,,1.0061,,,,,
00676R,富邦臺灣加權反1,市,,,7.9,-0.14,-1.74,5627,44.6,8.04,7.97,7.97,7.9,0.87,,1.0038,,,,,
00681R,元大美債20反1,市,,,20.75,-0.05,-0.24,4,0.09,20.8,20.71,20.75,20.71,0.19,,1.0006,,,,,
00684R,期元大美元指反1,市,,,15.75,0.09,+0.57,12,0.19,15.66,15.76,15.77,15.75,0.13,,0.9943,,,,,
00689R,國泰20年美債反1,市,,,21.57,-0.13,-0.6,105,2.27,21.7,21.59,21.59,21.57,0.09,,0.9981,,,,,
00693U,期街口S&P黃豆,市,,,21.19,0.01,+0.05,1229,26,21.18,21.17,21.22,21.14,0.38,,1,,,,,
00694B,富邦美債1-3,櫃,,,41.72,-0.06,-0.14,294,12.2,41.78,41.67,41.75,41.67,0.19,,0.9991,,,,,
00695B,富邦美債7-10,櫃,,,35.61,0.0,0,190,6.77,35.61,35.57,35.63,35.57,0.17,,0.9985,,,,,
00708L,期元大S&P黃金正2,市,,,115.95,-0.4,-0.34,5983,696,116.35,116.1,117.5,115.8,1.46,,0.9915,,,,,
00710B,復華彭博非投等債,市,,,19.11,-0.02,-0.1,248,4.74,19.13,19.11,19.13,19.11,0.1,,0.9995,,,,,
00717,富邦美國特別股,市,,,15.2,-0.01,-0.07,75,1.15,15.21,15.21,15.22,15.19,0.2,,0.9922,,,,,
00719B,元大美債1-3,櫃,,,31.12,-0.02,-0.06,1442,44.9,31.14,31.14,31.14,31.07,0.22,,0.9997,,,,,
00724B,群益投資級金融債,櫃,,,34.55,0.0,0,4036,140,34.55,34.51,34.59,34.5,0.26,,1.0001,,,,,
00735,國泰臺韓科技,市,,,64.2,1.05,+1.66,811,51.8,63.15,63.8,64.2,63.55,1.03,,1.0041,,,,,
00736,國泰新興市場,市,,,29.62,0.26,+0.89,131,3.87,29.36,29.7,29.7,29.4,1.02,,0.991,,,,,
00738U,期元大道瓊白銀,市,,,65.85,-1.0,-1.5,20488,1361,66.85,66.25,67.5,65.8,2.54,,0.9812,,,,,
00763U,期街口道瓊銅,市,,,32.37,-0.05,-0.15,1462,47.5,32.42,32.54,32.64,32.36,0.86,,0.9951,,,,,
00778B,凱基金融債20+,櫃,,,35.41,0.04,+0.11,100,3.54,35.37,35.41,35.41,35.41,0.0,,1.0003,,,,,
00782B,國泰A級公用債,櫃,,,31.18,0.07,+0.23,104,3.25,31.11,31.12,31.18,31.12,0.19,,1.001,,,,,
00791B,復華信用債1-5,櫃,,,56.95,-0.15,-0.26,100,5.7,57.1,56.95,56.95,56.95,0.0,,0.9996,,,,,
00793B,群益AAA-A醫療債,櫃,,,31.45,0.04,+0.13,53,1.67,31.41,31.41,31.45,31.41,0.13,,1.0006,,,,,
00795B,中信美國公債20年,櫃,,,27.6,0.06,+0.22,5974,165,27.54,27.55,27.63,27.52,0.4,,0.9969,,,,,
00799B,國泰A級醫療債,櫃,,,30.65,0.05,+0.16,468,14.3,30.6,30.6,30.65,30.6,0.16,,0.9983,,,,,
00859B,群益0-1年美債,櫃,,,41.23,-0.09,-0.22,2818,116,41.32,41.24,41.26,41.19,0.17,,1.0001,,,,,
00861,元大全球未來通訊,市,,,63.3,0.55,+0.88,406,25.7,62.75,63.75,63.75,63.25,0.8,,0.9931,,,,,
00877,復華中國5G,櫃,,,27.19,0.13,+0.48,2417,65.9,27.06,27.14,27.42,27.09,1.22,,0.9971,,,,,
00887,永豐中國科技50大,櫃,,,12.86,0.09,+0.7,4074,52.4,12.77,12.82,12.91,12.8,0.86,,0.9969,,,,,
00890B,凱基ESGBBB債15+,櫃,,,32.99,0.02,+0.06,308,10.2,32.97,32.97,32.99,32.96,0.09,,1,,,,,
00894,中信小資高價30,市,,,31.63,0.5,+1.61,1826,57.6,31.13,31.35,31.65,31.35,0.96,,0.9959,,,,,
00904,新光臺灣半導體30,市,,,28.05,0.38,+1.37,3558,99.8,27.67,27.94,28.2,27.92,1.01,,0.9961,,,,,
00908,富邦入息REITs+,市,,,14.37,0.02,+0.14,194,2.79,14.35,14.36,14.37,14.36,0.07,,0.9931,,,,,
00912,中信臺灣智慧50,市,,,23.97,0.47,+2,888,21.2,23.5,23.51,23.98,23.51,2.0,,0.9934,,,,,
00916,國泰全球品牌50,市,,,26.75,0.02,+0.07,191,5.1,26.73,26.73,26.79,26.73,0.22,,0.9985,,,,,
00926,凱基全球菁英55,市,,,23.72,0.08,+0.34,618,14.7,23.64,23.67,23.75,23.67,0.34,,0.9979,,,,,
00928,中信上櫃ESG30,櫃,,,21.86,0.04,+0.18,323,7.07,21.82,21.86,22.08,21.74,1.56,,0.9995,,,,,
00933B,國泰10Y+金融債,櫃,,,16.46,0.01,+0.06,6734,111,16.45,16.45,16.48,16.43,0.3,,0.9986,,,,,
00937B,群益ESG投等債20+,櫃,,,15.19,0.0,0,55617,844,15.19,15.18,15.2,15.16,0.26,,0.9991,,,,,
