代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
0056,元大高股息,市,,,38.5,0.76,+2.01,54632,2104,37.74,38.5,38.75,38.12,1.67,,0.9992,,,,,
0061,元大寶滬深,市,,,23.63,0.53,+2.29,515,12.1,23.1,23.18,23.63,23.16,2.03,,0.9945,,,,,
006203,元大MSCI台灣,市,,,139.2,2.85,+2.09,7,1.04,136.35,141.05,141.05,139.2,1.36,,0.9995,,,,,
006207,復華滬深,市,,,31.59,0.65,+2.1,439,13.8,30.94,31.52,31.61,31.34,0.87,,0.9931,,,,,
00632R,元大台灣50反1,市,,,14.15,-0.35,-2.41,164231,2307,14.5,13.99,14.27,13.86,2.83,,1.0007,,,,,
00634R,富邦上証反1,市,,,3.3,-0.07,-2.08,430,1.42,3.37,3.35,3.35,3.29,1.78,,0.994,,,,,
00636,國泰中國A50,市,,,26.48,0.64,+2.48,2345,61.8,25.84,26.36,26.5,26.14,1.39,,0.9992,,,,,
00641R,富邦日本反1,市,,,4.2,-0.08,-1.87,3404,14.2,4.28,4.11,4.22,4.1,2.8,,0.9953,,,,,
00645,富邦日本,市,,,52.05,1.3,+2.56,610,31.8,50.75,52.7,52.7,51.7,1.97,,1.0066,,,,,
00648R,元大S&P500反1,市,,,4.37,-0.06,-1.35,4358,18.7,4.43,4.2,4.38,4.2,4.06,,0.9954,,,,,
00651R,復華香港反1,市,,,5.37,-0.12,-2.19,1137,6.07,5.49,5.34,5.41,5.31,1.82,,0.989,,,,,
00654R,富邦印度反1,市,,,6.67,-0.09,-1.33,168,1.12,6.76,6.69,6.69,6.65,0.59,,0.9955,,,,,
00655L,國泰中國A50正2,市,,,31.8,1.35,+4.43,2560,80.6,30.45,31.21,31.9,31.05,2.79,,1.0035,,,,,
00656R,國泰中國A50反1,市,,,6.32,-0.15,-2.32,463,2.94,6.47,6.32,6.38,6.3,1.24,,0.9937,,,,,
00666R,富邦恒生國企反1,市,,,9.28,-0.18,-1.9,258,2.37,9.46,9.23,9.28,9.16,1.27,,0.981,,,,,
00668,國泰美國道瓊,市,,,56.15,0.2,+0.36,58,3.26,55.95,56.2,56.4,56.1,0.54,,0.9963,,,,,
00669R,國泰美國道瓊反1,市,,,5.69,-0.04,-0.7,1473,8.34,5.73,5.67,5.69,5.64,0.87,,0.9982,,,,,
00671R,富邦NASDAQ反1,市,,,2.9,-0.06,-2.03,8959,25.8,2.96,2.86,2.9,2.86,1.35,,1,,,,,
00673R,期元大S&P原油反1,市,,,21.02,-0.13,-0.61,16475,347,21.15,21.21,21.21,20.98,1.09,,1.0204,,,,,
00675L,富邦臺灣加權正2,市,,,189.55,8.7,+4.81,5523,1059,180.85,193.4,196.3,186.6,5.36,,1.0011,,,,,
00676R,富邦臺灣加權反1,市,,,7.77,-0.22,-2.75,12094,93.4,7.99,7.69,7.83,7.62,2.63,,1,,,,,
00683L,期元大美元指正2,市,,,21.09,-0.08,-0.38,188,3.96,21.17,20.97,21.12,20.94,0.85,,0.9939,,,,,
00685L,群益臺灣加權正2,市,,,170.6,7.9,+4.86,2195,378,162.7,174.1,176.8,167.95,5.44,,1.0014,,,,,
00686R,群益臺灣加權反1,市,,,1.4,-0.04,-2.78,16658,23,1.44,1.4,1.41,1.37,2.78,,1.0072,,,,,
00693U,期街口S&P黃豆,市,,,22.05,0.08,+0.36,1207,26.6,21.97,22,22.06,21.97,0.41,,0.9964,,,,,
00695B,富邦美債7-10,櫃,,,36.05,-0.22,-0.61,271,9.76,36.27,36.12,36.12,36.02,0.28,,0.999,,,,,
00713,元大台灣高息低波,市,,,52.55,0.7,+1.35,10082,529,51.85,52.5,52.8,52.25,1.06,,0.996,,,,,
00717,富邦美國特別股,市,,,15.15,0.04,+0.26,90,1.37,15.11,15.14,15.21,15.14,0.46,,0.9876,,,,,
00730,富邦臺灣優質高息,市,,,23.08,0.82,+3.68,403,9.25,22.26,22.6,23.08,22.6,2.16,,0.9944,,,,,
00731,復華富時高息低波,市,,,71.65,0.75,+1.06,728,52.2,70.9,72.15,72.3,71.2,1.55,,0.9938,,,,,
00733,富邦臺灣中小,市,,,54.7,1.75,+3.31,1350,74.3,52.95,55.6,56.25,53.5,5.19,,0.9965,,,,,
00735,國泰臺韓科技,市,,,68.8,4.15,+6.42,7951,548,64.65,69.2,70.2,67.45,4.25,,1.0128,,,,,
00738U,期元大道瓊白銀,市,,,69,0.3,+0.44,9836,679,68.7,68.85,69.7,68.7,1.46,,1.0092,,,,,
00752,中信中國50,市,,,23.94,0.33,+1.4,2257,54.3,23.61,24.01,24.18,23.94,1.02,,1.0046,,,,,
00778B,凱基金融債20+,櫃,,,35.54,-0.07,-0.2,109,3.87,35.61,35.47,35.54,35.47,0.2,,0.9978,,,,,
00792B,群益A級公司債,櫃,,,32.68,-0.16,-0.49,143,4.68,32.84,32.73,32.74,32.68,0.18,,0.995,,,,,
00830,國泰費城半導體,市,,,55.65,1.75,+3.25,7074,395,53.9,55.85,56.3,55.55,1.39,,0.9991,,,,,
00852L,國泰美國道瓊正2,市,,,30.84,0.34,+1.11,821,25.3,30.5,31.02,31.02,30.75,0.89,,1.0006,,,,,
00857B,永豐20年美公債,櫃,,,24.16,-0.23,-0.94,2091,50.6,24.39,24.25,24.25,24.15,0.41,,0.9934,,,,,
00876,元大全球5G,市,,,63.7,1.6,+2.58,187,11.9,62.1,63.7,64.2,63.35,1.37,,0.9983,,,,,
00877,復華中國5G,櫃,,,28.12,1.03,+3.8,5286,148,27.09,27.49,28.45,27.48,3.58,,1.0064,,,,,
00885,富邦越南,市,,,18.81,0.77,+4.27,9516,179,18.04,18.59,18.96,18.5,2.55,,1.007,,,,,
00887,永豐中國科技50大,櫃,,,12.99,0.44,+3.51,6589,85.2,12.55,12.71,13.05,12.71,2.71,,1.0031,,,,,
00888,永豐台灣ESG,櫃,,,23.4,0.7,+3.08,1150,27,22.7,23.32,23.74,23.25,2.16,,0.9979,,,,,
00892,富邦台灣半導體,市,,,27.12,1.09,+4.19,1054,28.6,26.03,27.11,27.41,26.8,2.34,,0.9952,,,,,
00893,國泰智能電動車,市,,,33.6,0.95,+2.91,2380,80.1,32.65,33.54,33.93,33.5,1.32,,0.995,,,,,
00896,中信綠能及電動車,市,,,21.54,0.69,+3.31,5822,125,20.85,21.48,21.81,21.25,2.69,,1.0009,,,,,
00897,富邦基因免疫生技,市,,,10.11,0.2,+2.02,1166,11.8,9.91,10.08,10.16,10.08,0.81,,0.9961,,,,,
00898,國泰基因免疫革命,市,,,8.3,0.2,+2.47,900,7.46,8.1,8.26,8.31,8.26,0.62,,0.9952,,,,,
00899,FT潔淨能源,市,,,23.04,0.51,+2.26,314,7.24,22.53,23.45,23.45,22.94,2.26,,0.991,,,,,
00900,富邦特選高股息30,市,,,14.34,0.34,+2.43,11174,160,14,14.29,14.38,14.18,1.43,,0.9951,,,,,
00901,永豐智能車供應鏈,市,,,29.81,1.08,+3.76,466,13.9,28.73,29.35,30.24,29.35,3.1,,0.9953,,,,,
00902,中信電池及儲能,市,,,14.07,0.61,+4.53,2744,38.5,13.46,13.95,14.1,13.94,1.19,,1,,,,,
00903,富邦元宇宙,市,,,16.16,0.36,+2.28,358,5.78,15.8,16,16.21,16,1.33,,0.9963,,,,,
00905,FT臺灣Smart,市,,,19.64,0.51,+2.67,1807,35.6,19.13,19.57,19.97,19.49,2.51,,0.9944,,,,,
00907,永豐優息存股,市,,,15.27,0.08,+0.53,1518,23.3,15.19,15.28,15.54,15.19,2.3,,0.9941,,,,,
00912,中信臺灣智慧50,市,,,24.61,0.76,+3.19,577,14.3,23.85,24.4,24.95,24.4,2.31,,1.0029,,,,,
00915,凱基優選高股息30,市,,,23.6,0.38,+1.64,8725,206,23.22,23.44,23.8,23.42,1.64,,0.9949,,,,,
00917,中信特選金融,市,,,21.08,0.14,+0.67,698,14.7,20.94,21.1,21.1,21.04,0.29,,0.9957,,,,,
00918,大華優利高填息30,市,,,23.1,0.39,+1.72,39939,922,22.71,23.08,23.28,22.89,1.72,,1.0009,,,,,
00919,群益台灣精選高息,市,,,23.71,0.26,+1.11,246233,5851,23.45,23.95,24.06,23.52,2.3,,1.0004,,,,,
00921,兆豐龍頭等權重,市,,,18.88,0.39,+2.11,302,5.69,18.49,18.91,19.01,18.71,1.62,,0.9932,,,,,
00922,國泰台灣領袖50,市,,,30.47,0.75,+2.52,42782,1306,29.72,30.63,30.95,30.24,2.39,,1.0083,,,,,
00927,群益半導體收益,市,,,24.53,0.83,+3.5,8039,198,23.7,24.51,24.83,24.32,2.15,,0.998,,,,,
00929,復華台灣科技優息,市,,,19.34,0.66,+3.53,37495,725,18.68,19.29,19.46,19.1,1.93,,0.9933,,,,,
00930,永豐ESG低碳高息,市,,,17.68,0.33,+1.9,1613,28.4,17.35,17.64,17.81,17.51,1.73,,0.9938,,,,,
00933B,國泰10Y+金融債,櫃,,,16.45,-0.03,-0.18,5927,97.6,16.48,16.48,16.48,16.45,0.18,,0.9995,,,,,
00934,中信成長高股息,市,,,21.6,0.54,+2.56,2357,50.9,21.06,21.42,21.86,21.4,2.18,,0.9949,,,,,
00936,台新永續高息中小,市,,,17.24,0.29,+1.71,2637,45.6,16.95,17.29,17.38,17.13,1.47,,0.9931,,,,,
00939,統一台灣高息動能,市,,,15.81,0.42,+2.73,7678,121,15.39,15.85,15.95,15.62,2.14,,0.9956,,,,,
00940,元大台灣價值高息,市,,,9.65,0.21,+2.22,48001,463,9.44,9.65,9.72,9.55,1.8,,0.9959,,,,,
00942B,台新美A公司債20+,櫃,,,14.66,-0.02,-0.14,1617,23.7,14.68,14.68,14.68,14.65,0.2,,0.9919,,,,,
