代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
0050,元大台灣50,市,,,75.2,1.6,+2.17,173870,13134,73.6,75.9,76.25,74.3,2.65,,1.0041,,,,,
0052,富邦科技,市,,,44.56,1.18,+2.72,76531,3425,43.38,45.1,45.22,43.93,2.97,,1.0027,,,,,
0061,元大寶滬深,市,,,23.6,0.3,+1.29,325,7.65,23.3,23.3,23.63,23.3,1.42,,0.9825,,,,,
006203,元大MSCI台灣,市,,,135.05,3.55,+2.7,7,0.98,131.5,137.35,137.35,135.05,1.75,,0.9964,,,,,
006207,復華滬深,市,,,31.76,0.57,+1.83,302,9.56,31.19,31.19,31.76,31.19,1.83,,0.9885,,,,,
00633L,富邦上証正2,市,,,46.07,1.04,+2.31,5869,269,45.03,45.8,46.17,45.62,1.22,,0.9918,,,,,
00634R,富邦上証反1,市,,,3.29,-0.05,-1.5,261,0.86,3.34,3.33,3.33,3.29,1.2,,0.997,,,,,
00637L,元大滬深300正2,市,,,18.99,0.4,+2.15,21598,409,18.59,18.83,19.05,18.82,1.24,,0.9911,,,,,
00638R,元大滬深300反1,市,,,7.12,-0.12,-1.66,153,1.09,7.24,7.13,7.17,7.12,0.69,,0.9986,,,,,
00642U,期元大S&P石油,市,,,23.35,-4.6,-16.5,107240,2458,27.95,22.36,23.96,22.1,6.65,,0.9996,,,,,
00645,富邦日本,市,,,51.1,1.47,+2.96,315,16.2,49.63,51.05,51.65,50.75,1.81,,0.9975,,,,,
00646,元大S&P500,市,,,67.8,1.35,+2.03,1818,123,66.45,67.55,67.95,67.55,0.6,,0.9982,,,,,
00648R,元大S&P500反1,市,,,4.43,-0.1,-2.21,1939,8.56,4.53,4.42,4.43,4.41,0.44,,1.0045,,,,,
00651R,復華香港反1,市,,,5.3,-0.11,-2.03,1023,5.44,5.41,5.33,5.4,5.28,2.22,,1.0038,,,,,
00652,富邦印度,市,,,34.64,0.49,+1.43,279,9.69,34.15,34.75,35.04,34.51,1.55,,0.9997,,,,,
00662,富邦NASDAQ,市,,,101.6,2.7,+2.73,2498,254,98.9,101.25,101.9,101.25,0.66,,0.9985,,,,,
00663L,國泰臺灣加權正2,市,,,58.75,2.35,+4.17,21258,1262,56.4,59.8,60.5,57.5,5.32,,0.9743,,,,,
00664R,國泰臺灣加權反1,市,,,2.34,-0.06,-2.5,43125,101,2.4,2.32,2.37,2.3,2.92,,1.013,,,,,
00665L,富邦恒生國企正2,市,,,9.93,0.37,+3.87,25297,251,9.56,9.82,9.97,9.76,2.2,,0.991,,,,,
00669R,國泰美國道瓊反1,市,,,5.8,-0.14,-2.36,2565,14.8,5.94,5.78,5.81,5.77,0.67,,1.0017,,,,,
00670L,富邦NASDAQ正2,市,,,152.9,8.7,+6.03,1774,271,144.2,152.85,153.7,152,1.18,,0.9873,,,,,
00675L,富邦臺灣加權正2,市,,,178.45,7.45,+4.36,5778,1041,171,181.9,183.8,174.5,5.44,,1.0015,,,,,
00676R,富邦臺灣加權反1,市,,,7.97,-0.18,-2.21,9922,78.6,8.15,7.9,8.05,7.83,2.7,,1,,,,,
00679B,元大美債20年,櫃,,,27.85,0.3,+1.09,58908,1641,27.55,27.77,27.9,27.77,0.47,,0.9961,,,,,
00681R,元大美債20反1,市,,,20.37,-0.28,-1.36,74,1.51,20.65,20.38,20.42,20.37,0.24,,0.9973,,,,,
00683L,期元大美元指正2,市,,,21.1,-0.28,-1.31,624,13.1,21.38,21.03,21.1,21.01,0.42,,1.0019,,,,,
00684R,期元大美元指反1,市,,,15.4,0.13,+0.85,2,0.03,15.27,15.37,15.4,15.37,0.2,,0.9916,,,,,
00686R,群益臺灣加權反1,市,,,1.44,-0.03,-2.04,12371,17.6,1.47,1.42,1.45,1.4,3.4,,1.007,,,,,
00687B,國泰20年美債,櫃,,,29.27,0.36,+1.25,58606,1715,28.91,29.27,29.29,29.22,0.24,,0.9977,,,,,
00689R,國泰20年美債反1,市,,,21.26,-0.32,-1.48,154,3.27,21.58,21.23,21.26,21.23,0.14,,0.9961,,,,,
00690,兆豐藍籌30,市,,,50.75,1.23,+2.48,376,19.2,49.52,51,51.5,50.3,2.42,,0.9971,,,,,
00693U,期街口S&P黃豆,市,,,22.43,-0.7,-3.03,3694,82.8,23.13,22.58,22.58,22.3,1.21,,0.9987,,,,,
00694B,富邦美債1-3,櫃,,,42.11,-0.05,-0.12,1391,58.6,42.16,42.08,42.15,42.07,0.19,,1.0011,,,,,
00695B,富邦美債7-10,櫃,,,36.19,0.13,+0.36,374,13.5,36.06,36.19,36.25,36.14,0.31,,1.0004,,,,,
00697B,元大美債7-10,櫃,,,36.73,0.15,+0.41,448,16.5,36.58,36.69,36.77,36.68,0.25,,0.9964,,,,,
00712,復華富時不動產,市,,,9.12,0.04,+0.44,31095,283,9.08,9.08,9.12,9.07,0.55,,1.01,,,,,
00714,群益道瓊美國地產,市,,,21.11,0.21,+1,184,3.88,20.9,21.13,21.13,21.09,0.19,,0.992,,,,,
00719B,元大美債1-3,櫃,,,31.33,-0.03,-0.1,5224,164,31.36,31.35,31.38,31.28,0.32,,0.9964,,,,,
00720B,元大投資級公司債,櫃,,,33.93,0.48,+1.43,19487,661,33.45,33.75,33.95,33.75,0.6,,0.9942,,,,,
00725B,國泰投資級公司債,櫃,,,35.99,0.48,+1.35,15479,557,35.51,35.82,36,35.82,0.51,,0.9976,,,,,
00730,富邦臺灣優質高息,市,,,22.6,0.18,+0.8,264,6.02,22.42,22.82,22.91,22.43,2.14,,0.9978,,,,,
00733,富邦臺灣中小,市,,,52.75,1.3,+2.53,1556,82.4,51.45,53.2,53.7,51.55,4.18,,0.9994,,,,,
00735,國泰臺韓科技,市,,,66.4,3.65,+5.82,4490,299,62.75,65.95,67.5,65.25,3.59,,0.9971,,,,,
00736,國泰新興市場,市,,,28.52,0.6,+2.15,112,3.19,27.92,28.31,28.61,28.31,1.07,,0.992,,,,,
00741B,富邦全球非投等債,櫃,,,37.73,0.14,+0.37,168,6.35,37.59,37.26,37.75,37.26,1.3,,0.9999,,,,,
00753L,中信中國50正2,市,,,11.16,0.68,+6.49,27687,305,10.48,10.9,11.16,10.83,3.15,,0.9911,,,,,
00756B,群益投等新興公債,櫃,,,31.92,0.31,+0.98,234,7.48,31.61,31.84,31.98,31.8,0.57,,1.0035,,,,,
00757,統一FANG+,市,,,112.25,3.7,+3.41,2440,274,108.55,112.25,112.5,111.85,0.6,,0.9973,,,,,
00762,元大全球AI,市,,,82.75,3.3,+4.15,334,27.6,79.45,82.75,83.1,82.4,0.88,,0.9933,,,,,
00763U,期街口道瓊銅,市,,,32.12,0.77,+2.46,1055,33.8,31.35,31.86,32.2,31.86,1.08,,0.9944,,,,,
00770,國泰北美科技,市,,,52,1.8,+3.59,632,32.9,50.2,52,52.2,51.9,0.6,,0.9931,,,,,
00782B,國泰A級公用債,櫃,,,31.43,0.33,+1.06,113,3.55,31.1,31.43,31.44,31.43,0.03,,1,,,,,
00788B,元大10年IG電能債,櫃,,,30.72,0.35,+1.15,102,3.13,30.37,30.64,30.75,30.64,0.36,,0.9912,,,,,
00791B,復華信用債1-5,櫃,,,57.5,0.15,+0.26,120,6.89,57.35,57.4,57.5,57.4,0.17,,1.0043,,,,,
00856B,永豐1-3年美公債,櫃,,,38.18,-0.02,-0.05,33,1.26,38.2,38.37,38.37,38.13,0.63,,0.9979,,,,,
00857B,永豐20年美公債,櫃,,,24.35,0.27,+1.12,4215,103,24.08,24.29,24.39,24.29,0.42,,0.9988,,,,,
00858,永豐美國500大,櫃,,,32.44,0.59,+1.85,1118,36.3,31.85,32.15,32.5,32.15,1.1,,0.9994,,,,,
00859B,群益0-1年美債,櫃,,,41.65,-0.13,-0.31,2677,111,41.78,41.8,41.8,41.59,0.5,,0.9993,,,,,
00864B,中信美國公債0-1,櫃,,,46.39,-0.12,-0.26,1512,70.1,46.51,46.51,46.51,46.3,0.45,,0.9981,,,,,
00865B,國泰US短期公債,市,,,47.95,-0.07,-0.15,2663,128,48.02,48.11,48.11,47.86,0.52,,0.9984,,,,,
00885,富邦越南,市,,,17.4,0.34,+1.99,7982,140,17.06,17.51,17.64,17.37,1.58,,1.0105,,,,,
00890B,凱基ESGBBB債15+,櫃,,,33.18,0.45,+1.37,329,10.9,32.73,33.22,33.23,33.18,0.15,,0.9982,,,,,
00891,中信關鍵半導體,市,,,23.37,0.71,+3.13,35508,832,22.66,23.41,23.67,23.09,2.56,,0.9957,,,,,
00892,富邦台灣半導體,市,,,26.71,0.81,+3.13,1399,37.4,25.9,26.75,27.06,26.38,2.63,,0.9981,,,,,
00897,富邦基因免疫生技,市,,,10.05,0.38,+3.93,907,9.12,9.67,9.88,10.09,9.88,2.17,,0.9931,,,,,
00898,國泰基因免疫革命,市,,,8.34,0.32,+3.99,1621,13.5,8.02,8.28,8.37,8.28,1.12,,0.9905,,,,,
00908,富邦入息REITs+,市,,,13.91,0.02,+0.14,603,8.38,13.89,13.89,13.92,13.88,0.29,,0.9943,,,,,
00909,國泰數位支付服務,市,,,39.23,2.07,+5.57,4085,159,37.16,38.9,39.27,38.77,1.35,,0.9967,,,,,
00910,第一金太空衛星,市,,,55.45,2.2,+4.13,1668,92.4,53.25,55.65,55.65,55,1.22,,0.9849,,,,,
00916,國泰全球品牌50,市,,,26.01,0.51,+2,227,5.9,25.5,25.9,26.04,25.9,0.55,,0.995,,,,,
00917,中信特選金融,市,,,20.64,0.32,+1.57,1048,21.6,20.32,20.39,20.75,20.39,1.77,,0.9966,,,,,
00923,群益台ESG低碳50,市,,,28.25,0.74,+2.69,4926,140,27.51,28.46,28.62,27.95,2.44,,0.9996,,,,,
00924,復華S&P500成長,市,,,28.44,0.69,+2.49,5664,161,27.75,28.47,28.51,28.35,0.58,,0.9989,,,,,
00928,中信上櫃ESG30,櫃,,,21.91,0.91,+4.33,669,14.7,21,21.63,22.13,21.63,2.38,,0.9977,,,,,
00931B,統一美債20年,櫃,,,14.09,0.14,+1,7896,111,13.95,14.05,14.11,14.05,0.43,,0.9972,,,,,
00933B,國泰10Y+金融債,櫃,,,16.47,0.17,+1.04,20013,329,16.3,16.45,16.48,16.44,0.25,,0.9962,,,,,
00942B,台新美A公司債20+,櫃,,,14.75,0.23,+1.58,6022,88.8,14.52,14.7,14.76,14.7,0.41,,0.9966,,,,,
00945B,凱基美國非投等債,市,,,14.51,0.06,+0.42,10300,149,14.45,14.5,14.53,14.49,0.28,,0.9973,,,,,
00950B,凱基A級公司債,櫃,,,14.47,0.16,+1.12,128715,1864,14.31,14.43,14.47,14.41,0.42,,0.9966,,,,,
00951,台新日本半導體,市,,,13.79,0.77,+5.91,4836,66.9,13.02,13.74,13.94,13.6,2.61,,0.9949,,,,,
00953B,群益優選非投等債,市,,,9.7,0.02,+0.21,26307,255,9.68,9.71,9.72,9.7,0.21,,0.9978,,,,,
00955,中信日本商社,櫃,,,15.31,0.59,+4.01,11835,182,14.72,15.29,15.47,15.17,2.04,,0.9929,,,,,
00956,中信日經高股息,市,,,12.3,0.33,+2.76,688,8.47,11.97,12.39,12.44,12.22,1.84,,0.9984,,,,,
00957B,兆豐US優選投等債,櫃,,,13.87,0.19,+1.39,1743,24.2,13.68,13.72,13.88,13.72,1.17,,0.995,,,,,
00958B,永豐ESG銀行債15+,櫃,,,9.55,0.1,+1.06,2596,24.8,9.45,9.49,9.55,9.49,0.63,,0.999,,,,,
00963,中信全球高股息,市,,,12.23,0.17,+1.41,1248,15.3,12.06,12.13,12.26,12.13,1.08,,0.9919,,,,,
00966B,統一ESG投等債15+,櫃,,,14.32,0.17,+1.2,2500,35.8,14.15,14.18,14.33,14.18,1.06,,0.9972,,,,,
00969B,元大零息超長美債,櫃,,,8.81,0.17,+1.97,2681,23.6,8.64,8.73,8.84,8.73,1.27,,0.9917,,,,,
00970B,新光BBB投等債20+,櫃,,,9.59,0.12,+1.27,2751,26.4,9.47,9.58,9.6,9.56,0.42,,0.9938,,,,,
00971,野村美國研發龍頭,市,,,15.42,0.38,+2.53,688,10.6,15.04,15.63,15.63,15.3,2.19,,0.9955,,,,,
009800,中信NASDAQ,市,,,11.02,0.29,+2.7,2866,31.6,10.73,11,11.05,10.99,0.56,,0.9964,,,,,
009801,中信美國創新科技,市,,,10.68,0.3,+2.89,1462,15.6,10.38,10.61,10.71,10.61,0.96,,0.9944,,,,,
009806,台新標普500,櫃,,,11.84,0.23,+1.98,120,1.43,11.61,11.9,11.9,11.84,0.52,,0.9891,,,,,
00980A,主動野村臺灣優選,市,,,16.52,0.49,+3.06,13287,220,16.03,16.54,16.72,16.37,2.18,,0.9982,,,,,
00980D,主動聯博投等入息,櫃,,,20.78,0.14,+0.68,2709,56.2,20.64,20.73,20.78,20.73,0.24,,0.9981,,,,,
00980T,平衡凱基美國TOP,櫃,,,10.57,0.21,+2.03,2193,23.2,10.36,10.61,10.61,10.56,0.48,,0.9934,,,,,
009810,保德信全球藍籌,市,,,18.49,0.37,+2.04,122,2.25,18.12,18.42,18.53,18.41,0.66,,0.9925,,,,,
009811,統一美國50,市,,,11.4,0.25,+2.24,1941,22.1,11.15,11.36,11.44,11.36,0.72,,0.9974,,,,,
009812,野村日本東證,市,,,11.47,0.32,+2.87,1699,19.6,11.15,11.55,11.61,11.41,1.79,,0.9939,,,,,
009813,貝萊德標普卓越50,市,,,10.18,0.15,+1.5,22025,225,10.03,10.13,10.24,10.13,1.1,,0.9864,,,,,
009814,富邦標普500,櫃,,,10.04,0.18,+1.83,2082,20.9,9.86,10,10.06,10,0.61,,0.999,,,,,
