代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
0056,元大高股息,市,,,39.9,-0.39,-0.97,74035,2952,40.29,39.53,40.01,39.53,1.19,,0.998,,,,,
0061,元大寶滬深,市,,,23.93,0.12,+0.5,1187,28.3,23.81,23.79,23.93,23.64,1.22,,0.9992,,,,,
006203,元大MSCI台灣,市,,,146.1,-0.2,-0.14,14,2.11,146.3,145.6,146.5,145.2,0.89,,1.0065,,,,,
006207,復華滬深,市,,,32.01,0.14,+0.44,164,5.21,31.87,31.7,32.01,31.5,1.6,,0.9953,,,,,
00632R,元大台灣50反1,市,,,13.54,0.13,+0.97,81858,1109,13.41,13.68,13.68,13.46,1.64,,0.9993,,,,,
00634R,富邦上証反1,市,,,3.28,-0.01,-0.3,611,2.01,3.29,3.33,3.33,3.27,1.82,,0.9939,,,,,
00636,國泰中國A50,市,,,26.55,0.2,+0.76,2341,61.8,26.35,26.15,26.58,26.1,1.82,,0.9981,,,,,
00641R,富邦日本反1,市,,,4.01,0.01,+0.25,899,3.6,4,4.02,4.02,3.99,0.75,,1.0025,,,,,
00645,富邦日本,市,,,54.35,-0.05,-0.09,315,17.1,54.4,54.1,54.55,54.1,0.83,,0.9972,,,,,
00648R,元大S&P500反1,市,,,4.39,0.07,+1.62,3721,16.3,4.32,4.38,4.39,4.37,0.46,,0.9932,,,,,
00651R,復華香港反1,市,,,5.2,0.09,+1.76,619,3.22,5.11,5.15,5.26,5.15,2.15,,0.9848,,,,,
00654R,富邦印度反1,市,,,6.58,0.19,+2.97,129,0.85,6.39,6.43,6.58,6.43,2.35,,0.9955,,,,,
00655L,國泰中國A50正2,市,,,32.09,0.49,+1.55,4433,139,31.6,31.23,32.13,31,3.58,,1.0069,,,,,
00656R,國泰中國A50反1,市,,,6.28,0.01,+0.16,627,3.96,6.27,6.33,6.34,6.28,0.96,,1.0032,,,,,
00666R,富邦恒生國企反1,市,,,9.01,0.16,+1.81,141,1.27,8.85,8.92,9.12,8.92,2.26,,0.9783,,,,,
00668,國泰美國道瓊,市,,,55.85,-0.4,-0.71,81,4.54,56.25,55.6,55.85,55.6,0.44,,0.9939,,,,,
00669R,國泰美國道瓊反1,市,,,5.68,0.12,+2.16,2208,12.5,5.56,5.68,5.68,5.64,0.72,,0.9982,,,,,
00671R,富邦NASDAQ反1,市,,,2.93,0.07,+2.45,6856,20,2.86,2.92,2.93,2.91,0.7,,0.9899,,,,,
00673R,期元大S&P原油反1,市,,,22.58,-1.88,-7.69,40682,924,24.46,22.25,23.17,22.25,3.76,,1.032,,,,,
00675L,富邦臺灣加權正2,市,,,208.4,-4.4,-2.07,3877,809,212.8,204.05,211.25,204.05,3.38,,1.0009,,,,,
00676R,富邦臺灣加權反1,市,,,7.44,0.07,+0.95,6531,48.7,7.37,7.52,7.53,7.4,1.76,,1,,,,,
00683L,期元大美元指正2,市,,,20.59,0.14,+0.68,122,2.51,20.45,20.58,20.59,20.54,0.24,,0.9856,,,,,
00685L,群益臺灣加權正2,市,,,187.4,-4.05,-2.12,1425,267,191.45,183.95,190,183.6,3.34,,1.0007,,,,,
