代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
0061,元大寶滬深,市,,,23.74,0.24,+1.02,501,11.9,23.5,23.52,23.74,23.52,0.94,,0.9941,,,,,
006206,元大上證50,市,,,38.41,0.57,+1.51,115,4.38,37.84,37.98,38.42,37.98,1.16,,0.994,,,,,
00632R,元大台灣50反1,市,,,14.62,-0.44,-2.92,68569,1002,15.06,14.57,14.68,14.57,0.73,,0.9993,,,,,
00633L,富邦上証正2,市,,,48.24,0.94,+1.99,5298,255,47.3,47.98,48.3,47.6,1.48,,0.9996,,,,,
00637L,元大滬深300正2,市,,,19.86,0.39,+2,30824,610,19.47,19.7,19.89,19.59,1.54,,1.0015,,,,,
00639,富邦深100,市,,,15.5,0.18,+1.17,726,11.2,15.32,15.38,15.55,15.36,1.24,,0.9904,,,,,
00645,富邦日本,市,,,53.1,1.5,+2.91,1029,54.6,51.6,53.3,53.35,52.9,0.87,,1.0034,,,,,
00647L,元大S&P500正2,市,,,118.65,5.45,+4.81,98,11.6,113.2,118.7,118.85,118.45,0.35,,1.0019,,,,,
00648R,元大S&P500反1,市,,,4.32,-0.12,-2.7,931,4.02,4.44,4.32,4.32,4.31,0.23,,1,,,,,
00651R,復華香港反1,市,,,5.07,-0.09,-1.74,867,4.39,5.16,5.1,5.1,5.05,0.97,,1,,,,,
00652,富邦印度,市,,,37.35,0.39,+1.06,474,17.7,36.96,37.11,37.45,37.11,0.92,,1.0019,,,,,
00655L,國泰中國A50正2,市,,,33.48,0.62,+1.89,1740,58,32.86,33.29,33.48,33.01,1.43,,0.9997,,,,,
00657,國泰日經225,市,,,66.75,3.2,+5.04,418,28,63.55,67.25,67.35,66.6,1.18,,1.0045,,,,,
00663L,國泰臺灣加權正2,市,,,59.25,3.2,+5.71,12936,766,56.05,59.35,59.5,58.85,1.16,,1.0007,,,,,
00666R,富邦恒生國企反1,市,,,8.63,-0.12,-1.37,250,2.15,8.75,8.63,8.65,8.55,1.14,,0.9931,,,,,
00668,國泰美國道瓊,市,,,57.95,1.7,+3.02,181,10.5,56.25,57.85,57.95,57.8,0.27,,1.0054,,,,,
00673R,期元大S&P原油反1,市,,,25.61,0.29,+1.15,5175,132,25.32,25.54,25.65,25.5,0.59,,0.9984,,,,,
00674R,期元大S&P黃金反1,市,,,4.97,-0.19,-3.68,10440,51.9,5.16,4.96,5.02,4.93,1.74,,1.002,,,,,
00676R,富邦臺灣加權反1,市,,,8.04,-0.24,-2.9,4648,37.3,8.28,8.02,8.06,8.01,0.6,,1.0012,,,,,
00681R,元大美債20反1,市,,,20.8,0.02,+0.1,490,10.2,20.78,20.81,20.82,20.8,0.1,,0.997,,,,,
00684R,期元大美元指反1,市,,,15.66,0.03,+0.19,5,0.08,15.63,15.66,15.66,15.66,0.0,,0.9937,,,,,
00689R,國泰20年美債反1,市,,,21.7,0.05,+0.23,102,2.21,21.65,21.7,21.7,21.7,0.0,,0.9959,,,,,
00693U,期街口S&P黃豆,市,,,21.18,0.07,+0.33,2075,43.9,21.11,21.17,21.24,21.11,0.62,,0.9981,,,,,
00694B,富邦美債1-3,櫃,,,41.78,-0.08,-0.19,229,9.57,41.86,41.8,41.8,41.76,0.1,,1.0007,,,,,
00695B,富邦美債7-10,櫃,,,35.61,-0.14,-0.39,1154,41.1,35.75,35.59,35.63,35.59,0.11,,1.0014,,,,,
00708L,期元大S&P黃金正2,市,,,116.35,8.05,+7.43,9842,1138,108.3,116.3,117,113.7,3.05,,1.0009,,,,,
00710B,復華彭博非投等債,市,,,19.13,0.01,+0.05,139,2.66,19.12,19.12,19.14,19.11,0.16,,1.001,,,,,
00717,富邦美國特別股,市,,,15.21,0.08,+0.53,364,5.53,15.13,15.13,15.25,15.13,0.79,,0.9941,,,,,
00719B,元大美債1-3,櫃,,,31.14,-0.06,-0.19,1539,47.9,31.2,31.2,31.2,31.14,0.19,,1.001,,,,,
00724B,群益投資級金融債,櫃,,,34.55,-0.07,-0.2,4942,171,34.62,34.57,34.58,34.52,0.17,,1.0002,,,,,
00735,國泰臺韓科技,市,,,63.15,2.6,+4.29,1010,63.8,60.55,63.7,63.8,62.9,1.49,,0.9991,,,,,
00736,國泰新興市場,市,,,29.36,0.21,+0.72,132,3.87,29.15,29.34,29.36,29.21,0.51,,0.9909,,,,,
00738U,期元大道瓊白銀,市,,,66.85,6.65,+11,33874,2229,60.2,64.9,66.95,64.8,3.57,,1.0018,,,,,
00763U,期街口道瓊銅,市,,,32.42,0.79,+2.5,1947,63,31.63,32.44,32.5,32.22,0.89,,0.9991,,,,,
00778B,凱基金融債20+,櫃,,,35.37,-0.13,-0.37,100,3.54,35.5,35.37,35.37,35.37,0.0,,0.9992,,,,,
00782B,國泰A級公用債,櫃,,,31.11,-0.06,-0.19,120,3.74,31.17,31.13,31.13,31.08,0.16,,1.0041,,,,,
00791B,復華信用債1-5,櫃,,,57.1,0.0,0,104,5.92,57.1,57,57.1,57,0.18,,1.0026,,,,,
00793B,群益AAA-A醫療債,櫃,,,31.41,-0.15,-0.48,150,4.71,31.56,31.41,31.41,31.41,0.0,,0.9988,,,,,
00795B,中信美國公債20年,櫃,,,27.54,-0.11,-0.4,7872,217,27.65,27.55,27.57,27.51,0.22,,1.0014,,,,,
00799B,國泰A級醫療債,櫃,,,30.6,-0.08,-0.26,626,19.1,30.68,30.6,30.61,30.57,0.13,,1.0046,,,,,
00859B,群益0-1年美債,櫃,,,41.32,-0.04,-0.1,3079,127,41.36,41.38,41.38,41.25,0.31,,1.0021,,,,,
00861,元大全球未來通訊,市,,,62.75,1.9,+3.12,162,10.1,60.85,61.95,62.85,61.95,1.48,,0.9986,,,,,
00877,復華中國5G,櫃,,,27.06,0.94,+3.6,4840,130,26.12,26.35,27.16,26.35,3.1,,0.9949,,,,,
00887,永豐中國科技50大,櫃,,,12.77,0.3,+2.41,8176,103,12.47,12.6,12.77,12.5,2.17,,0.9953,,,,,
00890B,凱基ESGBBB債15+,櫃,,,32.97,-0.09,-0.27,313,10.3,33.06,32.98,32.98,32.95,0.09,,0.9994,,,,,
00894,中信小資高價30,市,,,31.13,0.94,+3.11,1860,58,30.19,30.94,31.32,30.94,1.26,,1.0016,,,,,
00904,新光臺灣半導體30,市,,,27.67,1.02,+3.83,4411,122,26.65,27.66,27.83,27.52,1.16,,1,,,,,
00908,富邦入息REITs+,市,,,14.35,0.05,+0.35,215,3.09,14.3,14.37,14.37,14.35,0.14,,0.9951,,,,,
00912,中信臺灣智慧50,市,,,23.5,0.64,+2.8,1004,23.6,22.86,23.15,23.63,23.15,2.1,,0.9996,,,,,
00916,國泰全球品牌50,市,,,26.73,0.39,+1.48,397,10.6,26.34,26.7,26.89,26.7,0.72,,1.0015,,,,,
00926,凱基全球菁英55,市,,,23.64,0.54,+2.34,601,14.2,23.1,23.42,23.67,23.42,1.08,,1.0021,,,,,
00928,中信上櫃ESG30,櫃,,,21.82,0.65,+3.07,324,7.09,21.17,21.88,21.99,21.82,0.8,,1.0005,,,,,
00933B,國泰10Y+金融債,櫃,,,16.45,-0.03,-0.18,6784,112,16.48,16.48,16.48,16.44,0.24,,1.0032,,,,,
00937B,群益ESG投等債20+,櫃,,,15.19,-0.01,-0.07,40795,619,15.2,15.19,15.2,15.16,0.26,,0.9994,,,,,
00943,兆豐電子高息等權,市,,,14.72,0.05,+0.34,109,1.61,14.67,14.92,14.93,14.72,1.43,,0.9959,,,,,
00945B,凱基美國非投等債,市,,,14.62,0.01,+0.07,3322,48.5,14.61,14.61,14.62,14.6,0.14,,1.0021,,,,,
00947,台新臺灣IC設計,市,,,22.96,0.91,+4.13,9373,215,22.05,22.85,23.1,22.6,2.27,,1.0009,,,,,
00948B,中信優息投資級債,櫃,,,9.64,-0.01,-0.1,13322,128,9.65,9.65,9.65,9.62,0.31,,1.0028,,,,,
00949,復華日本龍頭,市,,,19.99,0.54,+2.78,4459,89.4,19.45,20.15,20.19,19.93,1.34,,1.003,,,,,
00950B,凱基A級公司債,櫃,,,14.33,-0.01,-0.07,6247,89.5,14.34,14.33,14.34,14.3,0.28,,1.0007,,,,,
00951,台新日本半導體,市,,,14.93,1.3,+9.54,19227,285,13.63,14.61,15.02,14.6,3.08,,1.0332,,,,,
00953B,群益優選非投等債,市,,,9.71,0.0,0,23958,233,9.71,9.71,9.73,9.71,0.21,,1.0011,,,,,
00954,中信日本半導體,市,,,15.72,1.08,+7.38,7450,117,14.64,15.99,16,15.61,2.66,,1.0148,,,,,
00956,中信日經高股息,市,,,12.78,0.23,+1.83,1166,14.9,12.55,12.95,12.95,12.75,1.59,,1.0031,,,,,
00957B,兆豐US優選投等債,櫃,,,13.8,-0.03,-0.22,1666,23,13.83,13.83,13.83,13.77,0.43,,1.0007,,,,,
00959B,大華投等美債15Y+,櫃,,,9.58,-0.01,-0.1,1514,14.5,9.59,9.57,9.58,9.56,0.21,,0.999,,,,,
00963,中信全球高股息,市,,,12.31,0.11,+0.9,1099,13.5,12.2,12.3,12.33,12.29,0.33,,0.9992,,,,,
00964,中信亞太高股息,市,,,13.08,0.24,+1.87,3172,41.6,12.84,13.1,13.18,13.07,0.86,,1.0031,,,,,
00969B,元大零息超長美債,櫃,,,8.42,-0.04,-0.47,244,2.06,8.46,8.45,8.45,8.41,0.47,,1.0001,,,,,
009800,中信NASDAQ,市,,,11.07,0.3,+2.79,2775,30.7,10.77,11.08,11.09,11.05,0.37,,1.0054,,,,,
009802,富邦旗艦50,市,,,12.51,0.39,+3.22,4750,59.3,12.12,12.28,12.57,12.28,2.39,,0.996,,,,,
009805,新光美國電力基建,市,,,13.93,0.39,+2.88,14200,198,13.54,13.94,13.99,13.92,0.52,,0.9986,,,,,
009809,富邦淨零ESG50,市,,,11.94,0.25,+2.14,2564,30.7,11.69,11.96,12,11.94,0.51,,0.9983,,,,,
00980B,台新特選IG債10+,櫃,,,9.67,-0.03,-0.31,127,1.23,9.7,9.65,9.68,9.65,0.31,,1,,,,,
00980T,平衡凱基美國TOP,櫃,,,10.67,0.17,+1.62,1921,20.5,10.5,10.68,10.69,10.67,0.19,,1,,,,,
009812,野村日本東證,市,,,11.94,0.33,+2.84,3000,35.8,11.61,12,12,11.9,0.86,,1.0051,,,,,
