代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
0050,元大台灣50,市,,,71.9,-0.1,-0.14,110883,7921,72,71.4,72.25,70.8,2.01,,0.9954,,,,,
0052,富邦科技,市,,,42.71,-0.15,-0.35,35439,1504,42.86,42.36,42.99,42.09,2.1,,0.997,,,,,
0053,元大電子,市,,,158.7,-0.1,-0.06,15,2.34,158.8,157.6,158.7,156,1.7,,0.9992,,,,,
0061,元大寶滬深,市,,,23.5,0.1,+0.43,292,6.85,23.4,23.4,23.54,23.31,0.98,,0.9966,,,,,
006206,元大上證50,市,,,37.84,0.0,0,78,2.96,37.84,37.84,37.89,37.5,1.03,,0.9932,,,,,
00631L,元大台灣50正2,市,,,428.65,-5.25,-1.21,7204,3057,433.9,425.45,433.95,416.4,4.04,,0.9976,,,,,
00632R,元大台灣50反1,市,,,15.06,0.06,+0.4,103311,1564,15,15.15,15.27,14.98,1.93,,1.002,,,,,
00633L,富邦上証正2,市,,,47.3,-0.15,-0.32,2856,134,47.45,47.26,47.44,46.28,2.44,,1.004,,,,,
00634R,富邦上証反1,市,,,3.28,0.0,0,104,0.34,3.28,3.29,3.3,3.28,0.61,,0.9939,,,,,
00635U,期元大S&P黃金,市,,,51.5,-0.25,-0.48,20396,1036,51.75,50.25,51.5,49.9,3.09,,0.9961,,,,,
00636,國泰中國A50,市,,,26.67,-0.01,-0.04,827,22,26.68,26.65,26.68,26.38,1.12,,0.997,,,,,
00637L,元大滬深300正2,市,,,19.47,-0.07,-0.36,28803,557,19.54,19.49,19.54,19.06,2.46,,1.001,,,,,
00641R,富邦日本反1,市,,,4.25,-0.03,-0.7,2289,9.75,4.28,4.28,4.29,4.25,0.93,,1.0119,,,,,
00648R,元大S&P500反1,市,,,4.44,0.08,+1.83,2792,12.4,4.36,4.43,4.45,4.41,0.92,,1.0045,,,,,
00653L,富邦印度正2,市,,,55,-0.65,-1.17,169,9.34,55.65,55.5,55.5,55,0.9,,0.991,,,,,
00656R,國泰中國A50反1,市,,,6.23,0.0,0,302,1.89,6.23,6.25,6.3,6.23,1.12,,0.9952,,,,,
00664R,國泰臺灣加權反1,市,,,2.43,0.01,+0.41,23286,56.9,2.42,2.45,2.47,2.42,2.07,,1.0041,,,,,
00665L,富邦恒生國企正2,市,,,10.92,0.14,+1.3,16480,178,10.78,10.73,10.94,10.65,2.69,,1.0009,,,,,
00670L,富邦NASDAQ正2,市,,,148.25,-6.35,-4.11,3811,564,154.6,147.9,149.5,146.6,1.88,,0.9939,,,,,
00673R,期元大S&P原油反1,市,,,25.32,-0.07,-0.28,8732,223,25.39,25.67,25.75,25.3,1.77,,1.004,,,,,
00675L,富邦臺灣加權正2,市,,,170.3,-1.7,-0.99,3978,669,172,168.2,172.05,165.15,4.01,,0.9953,,,,,
00685L,群益臺灣加權正2,市,,,152.85,-1.75,-1.13,1493,225,154.6,151.35,154.6,148.3,4.08,,0.9948,,,,,
00686R,群益臺灣加權反1,市,,,1.48,0.0,0,11650,17.4,1.48,1.49,1.51,1.47,2.7,,1,,,,,
00697B,元大美債7-10,櫃,,,36.31,0.18,+0.5,355,12.9,36.13,36.24,36.39,36.24,0.42,,0.9992,,,,,
00700,富邦恒生國企,市,,,18.44,0.08,+0.44,448,8.25,18.36,18.39,18.52,18.25,1.47,,0.9946,,,,,
00703,台新MSCI中國,市,,,21.6,0.09,+0.42,297,6.44,21.51,21.5,21.71,21.45,1.21,,0.9913,,,,,
00706L,期元大S&P日圓正2,市,,,20.33,0.03,+0.15,1184,24.1,20.3,20.35,20.37,20.29,0.39,,1.003,,,,,
00707R,期元大S&P日圓反1,市,,,31.38,0.0,0,0,0,31.38,31.38,31.38,31.38,0.0,,0.9924,,,,,
00708L,期元大S&P黃金正2,市,,,108.3,-0.8,-0.73,9904,1038,109.1,102.85,108.3,101.05,6.65,,0.9918,,,,,
00712,復華富時不動產,市,,,9.41,-0.04,-0.42,12898,121,9.45,9.4,9.42,9.37,0.53,,1.0032,,,,,
