代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
0061,元大寶滬深,市,,,23.5,0.1,+0.43,292,6.85,23.4,23.4,23.54,23.31,0.98,,0.9966,,,,,
006206,元大上證50,市,,,37.84,0.0,0,78,2.96,37.84,37.84,37.89,37.5,1.03,,0.9932,,,,,
00632R,元大台灣50反1,市,,,15.06,0.06,+0.4,103311,1564,15,15.15,15.27,14.98,1.93,,1.002,,,,,
00633L,富邦上証正2,市,,,47.3,-0.15,-0.32,2856,134,47.45,47.26,47.44,46.28,2.44,,1.004,,,,,
00637L,元大滬深300正2,市,,,19.47,-0.07,-0.36,28803,557,19.54,19.49,19.54,19.06,2.46,,1.001,,,,,
00639,富邦深100,市,,,15.32,0.04,+0.26,912,13.9,15.28,15.29,15.37,15.1,1.77,,0.998,,,,,
00645,富邦日本,市,,,51.6,0.45,+0.88,393,20.2,51.15,51.1,51.6,51,1.17,,0.9969,,,,,
00647L,元大S&P500正2,市,,,113.2,-3.55,-3.04,139,15.7,116.75,113,113.8,112.5,1.11,,0.9923,,,,,
00648R,元大S&P500反1,市,,,4.44,0.08,+1.83,2792,12.4,4.36,4.43,4.45,4.41,0.92,,1.0045,,,,,
00651R,復華香港反1,市,,,5.16,0.0,0,358,1.86,5.16,5.16,5.21,5.15,1.16,,0.9981,,,,,
00652,富邦印度,市,,,36.96,-0.14,-0.38,331,12.3,37.1,36.99,37.15,36.92,0.62,,0.9984,,,,,
00655L,國泰中國A50正2,市,,,32.86,-0.07,-0.21,2366,76.9,32.93,32.68,32.9,32.1,2.43,,1.004,,,,,
00657,國泰日經225,市,,,63.55,0.15,+0.24,140,8.83,63.4,63,63.75,62.75,1.58,,0.9934,,,,,
00663L,國泰臺灣加權正2,市,,,56.05,-0.55,-0.97,11063,612,56.6,55.35,56.65,54.35,4.06,,0.9882,,,,,
00666R,富邦恒生國企反1,市,,,8.75,-0.07,-0.79,309,2.73,8.82,8.85,8.86,8.75,1.25,,0.9898,,,,,
00668,國泰美國道瓊,市,,,56.25,-0.8,-1.4,608,34.2,57.05,56.9,56.9,56.25,1.14,,0.9958,,,,,
00673R,期元大S&P原油反1,市,,,25.32,-0.07,-0.28,8732,223,25.39,25.67,25.75,25.3,1.77,,1.004,,,,,
00674R,期元大S&P黃金反1,市,,,5.16,0.01,+0.19,11473,59.9,5.15,5.28,5.33,5.16,3.3,,1.0039,,,,,
00676R,富邦臺灣加權反1,市,,,8.28,0.07,+0.85,9794,81.5,8.21,8.3,8.4,8.23,2.07,,1.0036,,,,,
00681R,元大美債20反1,市,,,20.78,-0.17,-0.81,51,1.06,20.95,20.79,20.79,20.78,0.05,,0.9972,,,,,
00684R,期元大美元指反1,市,,,15.63,0.06,+0.39,23,0.36,15.57,15.59,15.63,15.59,0.26,,0.9962,,,,,
00689R,國泰20年美債反1,市,,,21.65,-0.2,-0.92,11,0.24,21.85,21.64,21.65,21.64,0.05,,0.9961,,,,,
00693U,期街口S&P黃豆,市,,,21.11,0.08,+0.38,3995,84.3,21.03,21.16,21.17,21.01,0.76,,0.9995,,,,,
00694B,富邦美債1-3,櫃,,,41.86,0.02,+0.05,411,17.2,41.84,41.89,41.95,41.86,0.22,,0.999,,,,,
00695B,富邦美債7-10,櫃,,,35.75,0.18,+0.51,95,3.4,35.57,35.75,35.82,35.75,0.2,,0.9997,,,,,
00708L,期元大S&P黃金正2,市,,,108.3,-0.8,-0.73,9904,1038,109.1,102.85,108.3,101.05,6.65,,0.9918,,,,,
00710B,復華彭博非投等債,市,,,19.12,-0.02,-0.1,181,3.46,19.14,19.03,19.15,19.03,0.63,,0.999,,,,,
00717,富邦美國特別股,市,,,15.13,-0.12,-0.79,125,1.89,15.25,15.2,15.2,15.11,0.59,,0.9928,,,,,
00719B,元大美債1-3,櫃,,,31.2,0.03,+0.1,2144,66.9,31.17,31.28,31.28,31.2,0.26,,0.9985,,,,,
00724B,群益投資級金融債,櫃,,,34.62,0.15,+0.44,3827,133,34.47,34.55,34.69,34.55,0.41,,0.9983,,,,,
00735,國泰臺韓科技,市,,,60.55,-1.2,-1.94,1264,76.5,61.75,60.35,61.45,59.25,3.56,,0.9915,,,,,
00736,國泰新興市場,市,,,29.15,0.11,+0.38,106,3.09,29.04,29.04,29.2,29.04,0.55,,0.9993,,,,,
00738U,期元大道瓊白銀,市,,,60.2,-1.95,-3.14,53329,3094,62.15,56.95,60.2,56,6.76,,1.0018,,,,,
00763U,期街口道瓊銅,市,,,31.63,-0.22,-0.69,3098,97.1,31.85,31.22,31.95,30.88,3.36,,0.9965,,,,,
00778B,凱基金融債20+,櫃,,,35.5,0.22,+0.62,105,3.73,35.28,35.52,35.52,35.49,0.09,,0.9986,,,,,
00782B,國泰A級公用債,櫃,,,31.17,0.16,+0.52,111,3.47,31.01,31.18,31.18,31.16,0.06,,1.0003,,,,,
00791B,復華信用債1-5,櫃,,,57.1,-0.05,-0.09,100,5.71,57.15,57.1,57.1,57.1,0.0,,0.9997,,,,,
00793B,群益AAA-A醫療債,櫃,,,31.56,0.25,+0.8,79,2.48,31.31,31.52,31.58,31.52,0.19,,0.9996,,,,,
00795B,中信美國公債20年,櫃,,,27.65,0.21,+0.77,9947,275,27.44,27.67,27.73,27.65,0.29,,0.999,,,,,
00799B,國泰A級醫療債,櫃,,,30.68,0.12,+0.39,185,5.68,30.56,30.7,30.7,30.67,0.1,,1.0001,,,,,
00859B,群益0-1年美債,櫃,,,41.36,-0.02,-0.05,3019,125,41.38,41.41,41.42,41.35,0.17,,0.9995,,,,,
00861,元大全球未來通訊,市,,,60.85,-0.15,-0.25,196,11.9,61,60.4,61.2,60.05,1.89,,0.999,,,,,
00877,復華中國5G,櫃,,,26.12,0.12,+0.46,2697,70.2,26,26.06,26.4,25.6,3.08,,1.0008,,,,,
00887,永豐中國科技50大,櫃,,,12.47,0.07,+0.56,8006,99.1,12.4,12.4,12.52,12.24,2.26,,1.0024,,,,,
00890B,凱基ESGBBB債15+,櫃,,,33.06,0.12,+0.36,348,11.5,32.94,33.11,33.11,33.06,0.15,,0.9973,,,,,
00894,中信小資高價30,市,,,30.19,-0.18,-0.59,3025,90.8,30.37,30.05,30.37,29.47,2.96,,0.998,,,,,
00904,新光臺灣半導體30,市,,,26.65,-0.26,-0.97,3331,88.4,26.91,26.64,26.9,26.17,2.71,,0.9937,,,,,
00908,富邦入息REITs+,市,,,14.3,-0.08,-0.56,36,0.51,14.38,14.34,14.34,14.3,0.28,,0.9972,,,,,
00912,中信臺灣智慧50,市,,,22.86,-0.11,-0.48,690,15.6,22.97,22.85,22.92,22.49,1.87,,0.9969,,,,,
00916,國泰全球品牌50,市,,,26.34,-0.6,-2.23,357,9.41,26.94,26.48,26.48,26.2,1.04,,0.9887,,,,,
00926,凱基全球菁英55,市,,,23.1,-0.37,-1.58,1630,37.7,23.47,23.34,23.34,23.06,1.19,,0.9948,,,,,
00928,中信上櫃ESG30,櫃,,,21.17,-0.45,-2.08,1612,33.9,21.62,20.88,21.37,20.56,3.75,,1.0019,,,,,
00933B,國泰10Y+金融債,櫃,,,16.48,0.07,+0.43,14204,234,16.41,16.48,16.52,16.48,0.24,,0.9981,,,,,
00937B,群益ESG投等債20+,櫃,,,15.2,0.05,+0.33,69159,1053,15.15,15.22,15.24,15.2,0.26,,0.9961,,,,,
00943,兆豐電子高息等權,市,,,14.67,-0.17,-1.15,225,3.28,14.84,14.74,14.74,14.44,2.02,,0.9939,,,,,
00945B,凱基美國非投等債,市,,,14.61,0.0,0,5079,74.2,14.61,14.61,14.62,14.59,0.21,,0.9986,,,,,
00947,台新臺灣IC設計,市,,,22.05,-0.68,-2.99,13079,286,22.73,22.11,22.57,21.48,4.8,,1,,,,,
00948B,中信優息投資級債,櫃,,,9.65,0.03,+0.31,9700,93.7,9.62,9.65,9.68,9.65,0.31,,0.9989,,,,,
00949,復華日本龍頭,市,,,19.45,0.19,+0.99,1944,37.7,19.26,19.29,19.51,19.27,1.25,,0.9934,,,,,
00950B,凱基A級公司債,櫃,,,14.34,0.06,+0.42,4024,57.8,14.28,14.37,14.38,14.34,0.28,,0.9972,,,,,
00951,台新日本半導體,市,,,13.63,0.19,+1.41,4885,66.4,13.44,13.44,13.79,13.36,3.2,,0.9956,,,,,
00953B,群益優選非投等債,市,,,9.71,-0.01,-0.1,27847,270,9.72,9.72,9.73,9.7,0.31,,0.9995,,,,,
00954,中信日本半導體,市,,,14.64,0.21,+1.46,2196,32.1,14.43,14.47,14.77,14.4,2.56,,1,,,,,
00956,中信日經高股息,市,,,12.55,0.2,+1.62,467,5.82,12.35,12.35,12.55,12.35,1.62,,0.9976,,,,,
00957B,兆豐US優選投等債,櫃,,,13.83,0.05,+0.36,1419,19.6,13.78,13.83,13.86,13.82,0.29,,0.9978,,,,,
00959B,大華投等美債15Y+,櫃,,,9.59,0.02,+0.21,2546,24.4,9.57,9.61,9.62,9.59,0.31,,0.9969,,,,,
00963,中信全球高股息,市,,,12.2,-0.14,-1.13,1136,13.9,12.34,12.26,12.26,12.18,0.65,,0.9975,,,,,
00964,中信亞太高股息,市,,,12.84,-0.02,-0.16,2419,30.9,12.86,12.81,12.87,12.66,1.63,,0.9992,,,,,
00969B,元大零息超長美債,櫃,,,8.46,0.11,+1.32,2468,20.9,8.35,8.44,8.5,8.44,0.72,,0.9956,,,,,
009800,中信NASDAQ,市,,,10.77,-0.2,-1.82,5920,63.7,10.97,10.74,10.8,10.72,0.73,,0.9954,,,,,
009802,富邦旗艦50,市,,,12.12,-0.08,-0.66,4914,59.1,12.2,12.12,12.16,11.91,2.05,,0.9926,,,,,
