代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
0050,元大台灣50,市,,,72.6,0.6,+0.83,122971,8839,72,71.7,72.8,71.45,1.87,,1.0021,,,,,
0052,富邦科技,市,,,42.48,0.41,+0.97,73593,3094,42.07,41.81,42.7,41.64,2.52,,1.0035,,,,,
006205,富邦上証,市,,,41.05,-0.04,-0.1,446,18.3,41.09,41.08,41.2,40.8,0.97,,0.9949,,,,,
006206,元大上證50,市,,,37.98,-0.04,-0.11,269,10.2,38.02,38,38.22,37.82,1.05,,0.9937,,,,,
00634R,富邦上証反1,市,,,3.2,0.0,0,418,1.34,3.2,3.21,3.22,3.2,0.63,,0.9877,,,,,
00636,國泰中國A50,市,,,27.09,-0.16,-0.59,820,22.2,27.25,27.25,27.28,26.94,1.25,,0.9974,,,,,
00639,富邦深100,市,,,15.63,-0.08,-0.51,518,8.09,15.71,15.66,15.76,15.58,1.15,,0.9924,,,,,
00642U,期元大S&P石油,市,,,15.61,0.09,+0.58,2404,37.5,15.52,15.59,15.66,15.56,0.64,,1.0064,,,,,
00650L,復華香港正2,市,,,18.8,-0.36,-1.88,6884,129,19.16,18.89,18.93,18.68,1.3,,1.0021,,,,,
00654R,富邦印度反1,市,,,6.4,0.08,+1.27,30,0.19,6.32,6.34,6.4,6.34,0.95,,0.9953,,,,,
00655L,國泰中國A50正2,市,,,34.34,-0.39,-1.12,2872,98.6,34.73,34.48,34.85,34.04,2.33,,1.0047,,,,,
00662,富邦NASDAQ,市,,,102.3,-1.45,-1.4,5573,570,103.75,102.65,102.65,102.1,0.53,,0.9893,,,,,
00666R,富邦恒生國企反1,市,,,8.62,0.05,+0.58,24,0.21,8.57,8.67,8.67,8.62,0.58,,0.9874,,,,,
00668,國泰美國道瓊,市,,,56.45,-0.7,-1.22,129,7.28,57.15,57.4,57.4,56.3,1.92,,0.9928,,,,,
00670L,富邦NASDAQ正2,市,,,160.45,-4.75,-2.88,2120,340,165.2,160.4,160.6,159.75,0.51,,1.0046,,,,,
00674R,期元大S&P黃金反1,市,,,5.45,-0.09,-1.62,1345,7.34,5.54,5.45,5.47,5.44,0.54,,1,,,,,
00676R,富邦臺灣加權反1,市,,,8.26,-0.06,-0.72,2184,18.1,8.32,8.34,8.38,8.25,1.56,,0.9988,,,,,
00679B,元大美債20年,櫃,,,27.19,-0.33,-1.2,45032,1226,27.52,27.31,27.34,27.17,0.62,,0.9919,,,,,
00685L,群益臺灣加權正2,市,,,154.4,2.3,+1.51,1057,161,152.1,150.6,154.85,150.1,3.12,,1.0027,,,,,
00690,兆豐藍籌30,市,,,48.37,0.13,+0.27,1507,72.6,48.24,48.24,48.59,47.91,1.41,,0.9963,,,,,
00693U,期街口S&P黃豆,市,,,20.19,0.03,+0.15,534,10.8,20.16,20.11,20.22,20.11,0.55,,0.9995,,,,,
00695B,富邦美債7-10,櫃,,,35.62,-0.2,-0.56,270,9.61,35.82,35.68,35.72,35.61,0.31,,0.9969,,,,,
00697B,元大美債7-10,櫃,,,35.91,-0.22,-0.61,1134,40.7,36.13,36.06,36.06,35.89,0.47,,0.9956,,,,,
00700,富邦恒生國企,市,,,18.67,-0.19,-1.01,398,7.43,18.86,18.86,18.86,18.62,1.27,,0.9952,,,,,
00701,國泰股利精選30,市,,,29.96,0.29,+0.98,3552,106,29.67,29.67,30.09,29.67,1.42,,0.9953,,,,,
00703,台新MSCI中國,市,,,22.2,-0.23,-1.03,176,3.92,22.43,22.43,22.58,22.16,1.87,,0.9946,,,,,
00708L,期元大S&P黃金正2,市,,,104.45,3.2,+3.16,3222,336,101.25,104.85,104.85,103.8,1.04,,0.9971,,,,,
00714,群益道瓊美國地產,市,,,20.79,0.15,+0.73,375,7.8,20.64,20.7,20.83,20.65,0.87,,0.99,,,,,
00715L,期街口布蘭特正2,市,,,21.43,0.25,+1.18,12387,266,21.18,21.4,21.58,21.32,1.23,,1.0108,,,,,
00717,富邦美國特別股,市,,,15.43,-0.09,-0.58,91,1.41,15.52,15.52,15.52,15.43,0.58,,0.9897,,,,,
00730,富邦臺灣優質高息,市,,,23.83,-0.27,-1.12,889,21.3,24.1,24.1,24.16,23.78,1.58,,0.9937,,,,,
00740B,富邦全球投等債,櫃,,,39.33,-0.39,-0.98,2886,114,39.72,39.64,39.64,39.3,0.86,,0.9949,,,,,
00752,中信中國50,市,,,26.92,-0.27,-0.99,2606,70.2,27.19,27.11,27.11,26.88,0.85,,1.0034,,,,,
00753L,中信中國50正2,市,,,12.99,-0.23,-1.74,17053,222,13.22,13.03,13.12,12.94,1.36,,1.0031,,,,,
00763U,期街口道瓊銅,市,,,32.56,-0.03,-0.09,3847,125,32.59,32.58,32.63,32.38,0.77,,1.0056,,,,,
00764B,群益25年美債,櫃,,,28.24,-0.31,-1.09,5511,156,28.55,28.38,28.38,28.22,0.56,,0.9925,,,,,
00780B,國泰A級金融債,櫃,,,37.94,-0.26,-0.68,135,5.13,38.2,38.06,38.07,37.94,0.34,,0.9959,,,,,
00781B,國泰A級科技債,櫃,,,29.38,-0.2,-0.68,198,5.81,29.58,29.4,29.44,29.38,0.2,,0.9935,,,,,
00795B,中信美國公債20年,櫃,,,27.39,-0.32,-1.15,9327,256,27.71,27.51,27.51,27.37,0.51,,0.9923,,,,,
00799B,國泰A級醫療債,櫃,,,30.46,-0.26,-0.85,379,11.6,30.72,30.66,30.66,30.44,0.72,,0.9974,,,,,
00830,國泰費城半導體,市,,,64.9,0.4,+0.62,49452,3195,64.5,64.5,64.9,64.5,0.62,,1.0043,,,,,
00859B,群益0-1年美債,櫃,,,41.05,-0.05,-0.12,1702,69.9,41.1,41.14,41.14,41.03,0.27,,0.997,,,,,
00861,元大全球未來通訊,市,,,59.3,-0.55,-0.92,117,6.95,59.85,59.5,59.5,59.1,0.67,,0.9873,,,,,
00865B,國泰US短期公債,市,,,47.33,-0.08,-0.17,1675,79.3,47.41,47.4,47.45,47.32,0.27,,0.9978,,,,,
00894,中信小資高價30,市,,,29.8,0.0,0,2114,62.6,29.8,29.8,29.82,29.5,1.07,,1.0017,,,,,
00895,富邦未來車,市,,,40.55,-0.37,-0.9,649,26.3,40.92,40.92,40.92,40.4,1.27,,0.9883,,,,,
00903,富邦元宇宙,市,,,17.5,-0.22,-1.24,367,6.43,17.72,17.72,17.72,17.47,1.41,,0.9854,,,,,
00908,富邦入息REITs+,市,,,14.29,-0.02,-0.14,411,5.87,14.31,14.31,14.35,14.28,0.49,,0.9931,,,,,
00910,第一金太空衛星,市,,,54.85,0.1,+0.18,4621,254,54.75,55.25,55.3,54.7,1.1,,0.9853,,,,,
00911,兆豐洲際半導體,市,,,36.7,0.5,+1.38,598,22.1,37.2,37.7,37.7,36.54,3.2,,0.997,,,,,
00912,中信臺灣智慧50,市,,,22.45,-0.03,-0.13,6358,142,23.13,22.47,22.57,22.32,1.11,,0.9991,,,,,
00916,國泰全球品牌50,市,,,26.79,-0.39,-1.43,353,9.48,27.18,27.01,27.01,26.78,0.85,,0.9897,,,,,
00920,富邦ESG綠色電力,市,,,19.25,0.11,+0.57,1079,20.8,19.14,19.14,19.32,19.14,0.94,,0.9953,,,,,
00922,國泰台灣領袖50,市,,,28.01,0.13,+0.47,10425,290,27.88,27.7,28.11,27.64,1.69,,0.9975,,,,,
00926,凱基全球菁英55,市,,,23.46,-0.34,-1.43,888,20.9,23.8,23.61,23.61,23.44,0.71,,0.9882,,,,,
00927,群益半導體收益,市,,,24.39,0.3,+1.25,29848,723,25,24.09,24.44,24.04,1.66,,1.0016,,,,,
00929,復華台灣科技優息,市,,,19.64,0.22,+1.13,87183,1706,19.42,19.41,19.65,19.41,1.24,,0.9924,,,,,
00931B,統一美債20年,櫃,,,13.76,-0.16,-1.15,7976,110,13.92,13.8,13.8,13.75,0.36,,0.9928,,,,,
00933B,國泰10Y+金融債,櫃,,,16.45,-0.14,-0.84,22130,364,16.59,16.55,16.55,16.43,0.72,,0.9963,,,,,
00934,中信成長高股息,市,,,22.39,0.16,+0.72,5939,133,22.37,22.29,22.47,22.2,1.21,,0.9964,,,,,
00937B,群益ESG投等債20+,櫃,,,15.14,-0.15,-0.98,156863,2378,15.29,15.25,15.25,15.13,0.78,,0.9912,,,,,
00938,凱基優選30,市,,,18.54,0.17,+0.93,854,15.7,18.37,18.3,18.56,18.28,1.52,,0.9978,,,,,
00940,元大台灣價值高息,市,,,9.67,0.02,+0.21,104782,1015,9.65,9.62,9.71,9.62,0.93,,0.9938,,,,,
00942B,台新美A公司債20+,櫃,,,14.57,-0.16,-1.09,1507,22,14.73,14.69,14.69,14.57,0.81,,0.9918,,,,,
00943,兆豐電子高息等權,市,,,15.11,0.22,+1.48,1045,15.8,14.96,14.92,15.15,14.92,1.54,,0.9947,,,,,
00947,台新臺灣IC設計,市,,,23,1.08,+4.93,25959,594,21.92,22.45,23.1,22.43,3.06,,1.0074,,,,,
00948B,中信優息投資級債,櫃,,,9.59,-0.09,-0.93,10804,104,9.72,9.66,9.66,9.58,0.83,,0.9923,,,,,
00950B,凱基A級公司債,櫃,,,14.31,-0.12,-0.83,7724,111,14.43,14.38,14.38,14.3,0.55,,0.9938,,,,,
00953B,群益優選非投等債,市,,,9.75,-0.02,-0.2,41313,403,9.77,9.78,9.78,9.74,0.41,,0.9965,,,,,
00955,中信日本商社,櫃,,,14.4,-0.27,-1.84,29087,419,14.67,14.56,14.56,14.35,1.43,,0.9986,,,,,
00957B,兆豐US優選投等債,櫃,,,13.78,-0.11,-0.79,2643,36.4,13.96,13.85,13.85,13.76,0.65,,0.9964,,,,,
00962,台新AI優息動能,市,,,11.34,0.02,+0.18,356,4.04,11.32,11.32,11.4,11.26,1.24,,0.9965,,,,,
00963,中信全球高股息,市,,,11.76,-0.03,-0.25,1086,12.8,11.84,11.86,11.86,11.76,0.85,,0.9958,,,,,
00966B,統一ESG投等債15+,櫃,,,14.16,-0.13,-0.91,1237,17.5,14.29,14.2,14.21,14.16,0.35,,0.993,,,,,
00968B,元大優息投等債,櫃,,,9.41,-0.09,-0.95,6433,60.6,9.5,9.42,9.46,9.41,0.53,,0.9903,,,,,
00969B,元大零息超長美債,櫃,,,8.44,-0.12,-1.4,2005,16.9,8.56,8.5,8.5,8.42,0.93,,0.9876,,,,,
00972,野村日本動能高息,市,,,19.05,-0.1,-0.52,208,3.95,19.15,19.1,19.1,18.95,0.78,,0.9927,,,,,
009805,新光美國電力基建,市,,,13.47,0.3,+2.28,27127,363,13.17,13.37,13.5,13.23,2.05,,1.0166,,,,,
00980T,平衡凱基美國TOP,櫃,,,10.72,-0.13,-1.2,2009,21.6,10.85,10.85,10.85,10.71,1.29,,0.9889,,,,,
009811,統一美國50,市,,,11.64,-0.13,-1.1,5415,63.1,11.77,11.7,11.7,11.63,0.59,,0.9906,,,,,
009812,野村日本東證,市,,,11.39,-0.02,-0.18,2217,25.2,11.41,11.41,11.41,11.35,0.53,,0.9982,,,,,
009813,貝萊德標普卓越50,市,,,10.43,-0.14,-1.32,11583,121,10.57,10.48,10.48,10.42,0.57,,1.001,,,,,
00981A,主動統一台股增長,市,,,16.91,-0.14,-0.82,89473,1516,17.05,17.05,17.05,16.86,1.11,,0.9959,,,,,
00981D,主動中信非投等債,櫃,,,10.55,-0.02,-0.19,14442,152,10.65,10.58,10.58,10.54,0.38,,1.0025,,,,,
00982B,FT投資級債20+,櫃,,,10.09,-0.06,-0.59,193,1.95,10.15,10.14,10.14,10.07,0.69,,0.9921,,,,,
00983A,主動中信ARK創新,市,,,12.15,-0.29,-2.33,8858,108,12.44,12.35,12.39,12.14,2.01,,0.9838,,,,,
00983B,大華優利美公債20,櫃,,,16.06,-0.17,-1.05,3004,48.3,16.23,16.21,16.21,16.05,0.99,,0.9939,,,,,
00983D,主動富邦複合收益,市,,,10.31,-0.06,-0.58,3345,34.5,10.37,10.37,10.37,10.28,0.87,,0.9979,,,,,
00984B,大華優利美A債15,櫃,,,16.85,-0.13,-0.77,3694,62.4,16.98,16.98,16.98,16.85,0.77,,0.9942,,,,,
00985B,群益ESG投等債0-5,市,,,10.3,-0.03,-0.29,7435,76.7,10.33,10.33,10.33,10.3,0.29,,0.9965,,,,,
00986A,主動台新龍頭成長,市,,,11.75,-0.11,-0.93,787,9.26,11.86,11.86,11.86,11.73,1.1,,0.9866,,,,,
00990A,主動元大AI新經濟,市,,,10.69,-0.08,-0.74,46441,496,10.77,10.77,10.77,10.65,1.11,,0.988,,,,,
1101,台泥,市,,,26.2,1.2,+4.8,80519,2094,25,25,26.45,24.9,6.2,,0.9,,,,,
1301,台塑,市,,,43.7,0.7,+1.63,34319,1485,43,43,43.95,42.35,3.72,,0.95,,,,,
1303,南亞,市,,,79.4,5.6,+7.59,362661,28209,73.8,75.5,81.1,74.6,8.81,,1.91,,,,,
1304,台聚,市,,,11.85,0.25,+2.16,5985,70.6,11.6,11.5,11.95,11.35,5.17,,0.7,,,,,
1305,華夏,市,,,12.35,0.45,+3.78,6835,84.9,11.9,12,12.7,12,5.88,,0.92,,,,,
1308,亞聚,市,,,14,0.2,+1.45,1920,26.9,13.8,13.8,14.15,13.65,3.62,,0.8,,,,,
1309,台達化,市,,,12.05,0.15,+1.26,1135,13.7,11.9,11.95,12.25,11.85,3.36,,0.85,,,,,
1310,台苯,市,,,8.96,0.14,+1.59,2847,25.5,8.82,8.82,9.02,8.8,2.49,,0.7,,,,,
1312,國喬,市,,,13.55,0.05,+0.37,10057,137,13.5,13.5,13.9,13.2,5.19,,0.53,,,,,
1314,中石化,市,,,8.33,0.2,+2.46,30868,256,8.13,8.12,8.39,8.08,3.81,,0.42,,,,,
1316,上曜,市,,,14.45,0.2,+1.4,4271,61.8,14.25,14.25,14.6,14.2,2.81,,1.19,,,,,
1319,東陽,市,,,110,-2.0,-1.79,7759,857,112,112,114,108,5.36,16.8,2.43,,,,,
1410,南染,市,,,33.8,-0.1,-0.29,1014,34.3,33.9,33.85,34.05,33.75,0.88,60.4,2.01,,,,,
1442,名軒,市,,,30.05,0.2,+0.67,1062,32.2,29.85,29.75,30.7,29.65,3.52,7.93,1.41,,,,,
1452,宏益,市,,,11.7,-0.1,-0.85,130,1.52,11.8,11.8,11.8,11.65,1.27,,0.58,,,,,
1477,聚陽,市,,,320.5,-5.5,-1.69,1406,456,326,325,336,319.5,5.06,21.3,6.08,,,,,
1519,華城,市,,,963,-2.0,-0.21,8846,8583,965,963,995,942,5.49,70.7,34.72,,,,,
1522,堤維西,市,,,52,0.9,+1.76,6690,346,51.1,52.5,53.8,50.4,6.65,44.8,1.85,,,,,
1528,恩德,市,,,31.15,2.8,+9.88,18977,585,28.35,30.3,31.15,30.25,3.17,,2.77,,,,,
1563,巧新,市,,,48,-0.8,-1.64,634,30.6,48.8,48.8,48.85,47.95,1.84,22.3,1.21,,,,,
1597,直得,市,,,83,1.5,+1.84,1866,156,81.5,82.1,85.6,81,5.64,105,3.08,,,,,
1605,華新,市,,,42.05,-0.9,-2.1,167526,7127,42.95,43,43.6,42,3.73,111,1.2,,,,,
1608,華榮,市,,,38.55,-0.05,-0.13,8036,309,38.6,38.6,38.95,37.85,2.85,7.87,1.77,,,,,
1609,大亞,市,,,41,0.45,+1.11,8159,334,40.55,40.65,41.35,40.1,3.08,22,1.93,,,,,
1611,中電,市,,,14.1,0.4,+2.92,1797,25.2,13.7,13.7,14.15,13.6,4.01,82.9,1.07,,,,,
1616,億泰,市,,,29.2,0.45,+1.57,1095,31.7,28.75,28.85,29.25,28.55,2.43,7.77,2.46,,,,,
1708,東鹼,市,,,33.3,-0.15,-0.45,1138,38.1,33.45,33.7,33.75,33.25,1.49,11.1,1.2,,,,,
1711,永光,市,,,23.25,0.2,+0.87,13429,312,23.05,23.15,23.65,22.6,4.56,,1.56,,,,,
1712,興農,市,,,45.6,0.1,+0.22,679,31.1,45.5,45.4,46.2,45.4,1.76,17.3,2.32,,,,,
1717,長興,市,,,70.3,3.0,+4.46,82716,5819,67.3,67.8,72.2,67.8,6.54,46.6,3.14,,,,,
1718,中纖,市,,,7.34,0.21,+2.95,6360,46.4,7.13,7.12,7.42,7.06,5.05,,0.44,,,,,
1730,花仙子,市,,,52.7,0.0,0,29,1.52,52.7,52.7,52.8,52.6,0.38,11.9,1.71,,,,,
1776,展宇,市,,,15.7,0.3,+1.95,64,1,15.4,15.5,15.75,15.4,2.27,82.6,1.14,,,,,
1795,美時,市,,,319.5,-18.0,-5.33,8051,2629,337.5,340,341,318,6.81,17.6,3.79,,,,,
1802,台玻,市,,,45.95,4.15,+9.93,150633,6846,41.8,44.7,45.95,44.7,2.99,,2.98,,,,,
