代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
0050,元大台灣50,市,,,75.95,-0.65,-0.85,115112,8723,76.6,75.15,76.55,75,2.02,,1.0001,,,,,
0052,富邦科技,市,,,45.3,-0.35,-0.77,42397,1915,45.65,44.8,45.64,44.71,2.04,,1.0018,,,,,
0061,元大寶滬深,市,,,23.94,0.2,+0.84,267,6.39,23.74,23.74,24.03,23.74,1.22,,0.9958,,,,,
006203,元大MSCI台灣,市,,,138.1,-1.3,-0.93,4,0.51,139.4,137.9,138.1,137.9,0.14,,1.0018,,,,,
006207,復華滬深,市,,,32.18,0.38,+1.19,242,7.77,31.8,31.9,32.18,31.89,0.91,,0.9963,,,,,
00633L,富邦上証正2,市,,,47.24,0.96,+2.07,2011,94.7,46.28,46.45,47.5,46.44,2.29,,1.0088,,,,,
00634R,富邦上証反1,市,,,3.26,-0.03,-0.91,328,1.07,3.29,3.28,3.28,3.26,0.61,,0.9879,,,,,
00637L,元大滬深300正2,市,,,19.57,0.47,+2.46,34883,678,19.1,19.12,19.65,19.12,2.77,,1.0103,,,,,
00638R,元大滬深300反1,市,,,7.04,-0.08,-1.12,239,1.7,7.12,7.1,7.1,7.04,0.84,,0.9902,,,,,
00642U,期元大S&P石油,市,,,25.5,0.34,+1.35,68409,1752,25.16,25.92,25.92,25.42,1.99,,0.9938,,,,,
00645,富邦日本,市,,,50.55,-0.35,-0.69,540,27.5,50.9,50.65,51,50.5,0.98,,0.9966,,,,,
00646,元大S&P500,市,,,67.1,0.0,0,1540,103,67.1,67.1,67.25,67.05,0.3,,1.0033,,,,,
00648R,元大S&P500反1,市,,,4.5,0.02,+0.45,3838,17.2,4.48,4.49,4.5,4.47,0.67,,0.9978,,,,,
00651R,復華香港反1,市,,,5.32,-0.01,-0.19,162,0.86,5.33,5.35,5.38,5.31,1.31,,0.9852,,,,,
00652,富邦印度,市,,,33.5,-0.5,-1.47,822,27.6,34,33.84,33.84,33.44,1.18,,1.0063,,,,,
00662,富邦NASDAQ,市,,,100.8,-0.5,-0.49,1877,189,101.3,100.95,101.05,100.75,0.3,,1,,,,,
00663L,國泰臺灣加權正2,市,,,60.75,-0.7,-1.14,14545,878,61.45,59.8,61.5,59.3,3.58,,1.0231,,,,,
00664R,國泰臺灣加權反1,市,,,2.3,0.01,+0.44,20071,46.3,2.29,2.32,2.33,2.29,1.75,,0.9871,,,,,
00665L,富邦恒生國企正2,市,,,10,0.19,+1.94,14836,148,9.81,9.78,10.05,9.78,2.75,,1.0121,,,,,
00669R,國泰美國道瓊反1,市,,,5.89,0.02,+0.34,1913,11.3,5.87,5.88,5.9,5.87,0.51,,0.9933,,,,,
00670L,富邦NASDAQ正2,市,,,148.85,-2.1,-1.39,1293,193,150.95,149.4,149.8,148.6,0.79,,1.0072,,,,,
00675L,富邦臺灣加權正2,市,,,184.65,-1.75,-0.94,4236,775,186.4,181.3,186.5,179.95,3.51,,1.002,,,,,
00676R,富邦臺灣加權反1,市,,,7.8,0.02,+0.26,6019,47.2,7.78,7.89,7.91,7.77,1.8,,0.9987,,,,,
00679B,元大美債20年,櫃,,,27.34,0.06,+0.22,32196,880,27.28,27.28,27.37,27.28,0.33,,1.001,,,,,
00681R,元大美債20反1,市,,,20.92,0.02,+0.1,19,0.41,20.9,20.88,20.92,20.88,0.19,,0.997,,,,,
00683L,期元大美元指正2,市,,,21.45,0.13,+0.61,328,7.02,21.32,21.39,21.47,21.34,0.61,,0.9876,,,,,
00684R,期元大美元指反1,市,,,15.27,0.0,0,42,0.64,15.27,15.31,15.31,15.23,0.52,,0.9987,,,,,
00686R,群益臺灣加權反1,市,,,1.4,0.01,+0.72,6846,9.63,1.39,1.42,1.42,1.4,1.44,,1,,,,,
00687B,國泰20年美債,櫃,,,28.68,0.04,+0.14,23345,670,28.64,28.69,28.73,28.65,0.28,,1.001,,,,,
00689R,國泰20年美債反1,市,,,21.85,0.05,+0.23,202,4.4,21.8,21.78,21.85,21.78,0.32,,0.9981,,,,,
00690,兆豐藍籌30,市,,,52.05,-0.55,-1.05,279,14.6,52.6,52.3,52.75,51.55,2.28,,1,,,,,
00693U,期街口S&P黃豆,市,,,23.16,0.09,+0.39,1705,39.5,23.07,23.16,23.18,23.06,0.52,,1.0078,,,,,
00694B,富邦美債1-3,櫃,,,42.2,0.08,+0.19,633,26.7,42.12,41.97,42.21,41.97,0.57,,0.9978,,,,,
00695B,富邦美債7-10,櫃,,,36.02,0.06,+0.17,553,19.9,35.96,36,36.05,36,0.14,,0.9982,,,,,
00697B,元大美債7-10,櫃,,,36.57,0.03,+0.08,583,21.3,36.54,36.53,36.62,36.53,0.25,,1.0001,,,,,
00712,復華富時不動產,市,,,9.1,-0.03,-0.33,41497,375,9.13,9.02,9.1,9.02,0.88,,1.0134,,,,,
00714,群益道瓊美國地產,市,,,21,0.22,+1.06,156,3.28,20.78,20.9,21.03,20.9,0.63,,1.0024,,,,,
00719B,元大美債1-3,櫃,,,31.42,0.07,+0.22,2947,92.5,31.35,31.35,31.43,31.35,0.26,,0.9992,,,,,
00720B,元大投資級公司債,櫃,,,33.06,-0.06,-0.18,9248,306,33.12,33.05,33.12,33.02,0.3,,0.9972,,,,,
00725B,國泰投資級公司債,櫃,,,35.16,-0.04,-0.11,5047,177,35.2,35.16,35.18,35.11,0.2,,1.0001,,,,,
00730,富邦臺灣優質高息,市,,,22.82,-0.18,-0.78,185,4.22,23,22.76,22.91,22.63,1.22,,0.9983,,,,,
