代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
0056,元大高股息,市,,,37.74,-1.39,-3.55,172988,6566,39.13,38.5,38.55,37.7,2.17,,1.0032,,,,,
0061,元大寶滬深,市,,,23.1,-0.77,-3.23,542,12.6,23.87,23.6,23.6,23.09,2.14,,0.9872,,,,,
006203,元大MSCI台灣,市,,,136.35,-6.2,-4.35,14,1.89,142.55,136.4,138.05,136.35,1.19,,1.0035,,,,,
006207,復華滬深,市,,,30.94,-1.03,-3.22,522,16.2,31.97,31.18,31.25,30.88,1.16,,0.9841,,,,,
00632R,元大台灣50反1,市,,,14.5,0.62,+4.47,223646,3206,13.88,14.13,14.5,14.13,2.67,,0.9979,,,,,
00634R,富邦上証反1,市,,,3.37,0.13,+4.01,705,2.35,3.24,3.27,3.37,3.27,3.09,,1.003,,,,,
00636,國泰中國A50,市,,,25.84,-0.96,-3.58,8167,211,26.8,26.5,26.5,25.79,2.65,,0.9844,,,,,
00641R,富邦日本反1,市,,,4.28,0.18,+4.39,5566,23.7,4.1,4.21,4.31,4.2,2.68,,1.0023,,,,,
00645,富邦日本,市,,,50.75,-2.4,-4.52,1472,74.9,53.15,51.6,51.6,50.5,2.07,,0.9984,,,,,
00648R,元大S&P500反1,市,,,4.43,0.04,+0.91,2682,11.8,4.39,4.39,4.43,4.39,0.91,,1.0023,,,,,
00651R,復華香港反1,市,,,5.49,0.24,+4.57,2255,12.3,5.25,5.34,5.49,5.34,2.86,,1.0073,,,,,
00654R,富邦印度反1,市,,,6.76,0.07,+1.05,233,1.57,6.69,6.73,6.77,6.73,0.6,,1.006,,,,,
00655L,國泰中國A50正2,市,,,30.45,-2.26,-6.91,9439,294,32.71,32.01,32.01,30.4,4.92,,0.9807,,,,,
00656R,國泰中國A50反1,市,,,6.47,0.29,+4.69,700,4.49,6.18,6.34,6.47,6.34,2.1,,1.0109,,,,,
