代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
0050,元大台灣50,市,,,77.8,1.15,+1.5,78000,6064,76.65,77.75,78.05,77.45,0.78,,1.0005,,,,,
0052,富邦科技,市,,,46.45,0.77,+1.69,35483,1647,45.68,46.42,46.63,46.21,0.92,,1.0002,,,,,
0056,元大高股息,市,,,39.42,0.29,+0.74,32295,1274,39.13,39.42,39.58,39.35,0.59,,0.996,,,,,
006203,元大MSCI台灣,市,,,141.8,2.45,+1.76,11,1.57,139.35,141.7,141.8,140.65,0.83,,1.0025,,,,,
006207,復華滬深,市,,,31.59,-0.5,-1.56,121,3.83,32.09,31.59,31.66,31.53,0.41,,0.9832,,,,,
00631L,元大台灣50正2,市,,,496.05,16.35,+3.41,6631,3275,479.7,494.3,497.2,488,1.92,,1.0003,,,,,
00633L,富邦上証正2,市,,,47.09,-1.2,-2.48,2234,106,48.29,48.2,48.2,46.92,2.65,,0.9922,,,,,
00635U,期元大S&P黃金,市,,,52.8,-0.65,-1.22,6935,367,53.45,53,53.15,52.75,0.75,,1,,,,,
00639,富邦深100,市,,,15.75,-0.21,-1.32,651,10.3,15.96,15.9,15.9,15.72,1.13,,0.9813,,,,,
00640L,富邦日本正2,市,,,90.05,3.35,+3.86,598,53.5,86.7,88.45,90.25,88.45,2.08,,0.9979,,,,,
00641R,富邦日本反1,市,,,4.17,-0.09,-2.11,960,4.02,4.26,4.2,4.2,4.16,0.94,,1,,,,,
00642U,期元大S&P石油,市,,,24.98,-0.67,-2.61,30138,762,25.65,25.55,25.6,24.97,2.46,,0.9819,,,,,
00643,群益深証中小,市,,,18.28,-0.23,-1.24,3077,56.2,18.51,18.47,18.47,18.19,1.51,,0.9913,,,,,
00645,富邦日本,市,,,51.8,1.0,+1.97,267,13.8,50.8,51.35,51.95,51.35,1.18,,0.9965,,,,,
00650L,復華香港正2,市,,,17.78,-0.11,-0.61,3909,69.2,17.89,17.8,17.84,17.57,1.51,,0.9994,,,,,
00653L,富邦印度正2,市,,,46.98,0.87,+1.89,418,19.5,46.11,46.23,46.98,46.23,1.63,,1.0015,,,,,
00654R,富邦印度反1,市,,,6.92,-0.08,-1.14,75,0.52,7,6.94,6.97,6.92,0.71,,0.9971,,,,,
00655L,國泰中國A50正2,市,,,32.63,-0.95,-2.83,1100,36.2,33.58,33.37,33.37,32.56,2.41,,0.9882,,,,,
00663L,國泰臺灣加權正2,市,,,64.75,2.1,+3.35,14050,906,62.65,64.5,64.95,63.75,1.92,,0.9951,,,,,
00664R,國泰臺灣加權反1,市,,,2.23,-0.04,-1.76,16363,36.5,2.27,2.23,2.25,2.22,1.32,,1.009,,,,,
00665L,富邦恒生國企正2,市,,,10.24,-0.14,-1.35,17934,184,10.38,10.34,10.34,10.15,1.83,,0.9971,,,,,
00669R,國泰美國道瓊反1,市,,,5.83,-0.05,-0.85,1304,7.63,5.88,5.88,5.88,5.83,0.85,,0.9966,,,,,
00671R,富邦NASDAQ反1,市,,,2.91,-0.03,-1.02,4180,12.2,2.94,2.91,2.92,2.9,0.68,,1,,,,,
00674R,期元大S&P黃金反1,市,,,4.98,0.04,+0.81,1238,6.16,4.94,4.99,5,4.96,0.81,,0.996,,,,,
00675L,富邦臺灣加權正2,市,,,196.2,6.1,+3.21,3161,618,190.1,196,196.9,193.25,1.92,,0.9968,,,,,
00681R,元大美債20反1,市,,,20.73,-0.14,-0.67,672,13.9,20.87,20.78,20.79,20.71,0.38,,1.0002,,,,,
00683L,期元大美元指正2,市,,,21.35,-0.29,-1.34,399,8.56,21.64,21.48,21.54,21.35,0.88,,0.9944,,,,,
00684R,期元大美元指反1,市,,,15.34,0.11,+0.72,378,5.78,15.23,15.23,15.34,15.23,0.72,,0.998,,,,,
00685L,群益臺灣加權正2,市,,,176.75,5.7,+3.33,1077,190,171.05,176.35,177.55,174,2.08,,0.9982,,,,,
00686R,群益臺灣加權反1,市,,,1.36,-0.03,-2.16,3492,4.75,1.39,1.37,1.37,1.35,1.44,,1.0074,,,,,
00687B,國泰20年美債,櫃,,,28.58,0.18,+0.63,18626,532,28.4,28.53,28.62,28.49,0.46,,0.9978,,,,,
00689R,國泰20年美債反1,市,,,21.6,-0.22,-1.01,55,1.19,21.82,21.6,21.6,21.6,0.0,,0.9973,,,,,
00697B,元大美債7-10,櫃,,,36.69,0.07,+0.19,559,20.5,36.62,36.62,36.71,36.62,0.25,,0.999,,,,,
00701,國泰股利精選30,市,,,29.09,0.1,+0.34,527,15.3,28.99,29.12,29.32,29,1.1,,0.9942,,,,,
00712,復華富時不動產,市,,,8.85,0.05,+0.57,63964,566,8.99,8.84,8.88,8.82,0.68,,1.0091,,,,,
00714,群益道瓊美國地產,市,,,21.17,0.21,+1,178,3.78,20.96,21.17,21.17,21.1,0.33,,1.0009,,,,,
00715L,期街口布蘭特正2,市,,,51.4,-1.1,-2.1,26596,1387,52.5,52.7,53.25,51.25,3.81,,0.9683,,,,,
00731,復華富時高息低波,市,,,71.95,0.25,+0.35,616,44.3,71.7,72.15,72.2,71.75,0.63,,0.9927,,,,,
00735,國泰臺韓科技,市,,,71.45,2.15,+3.1,3447,245,69.3,70.5,71.45,70.5,1.37,,1.0003,,,,,
00753L,中信中國50正2,市,,,11.27,-0.2,-1.74,12925,146,11.47,11.4,11.43,11.17,2.27,,0.9947,,,,,
00761B,國泰A級公司債,櫃,,,34.85,0.33,+0.96,139,4.83,34.52,34.67,34.9,34.67,0.67,,1.0013,,,,,
00762,元大全球AI,市,,,84.4,1.15,+1.38,418,35.2,83.25,84,84.5,84,0.6,,1.0009,,,,,
00770,國泰北美科技,市,,,52.35,0.65,+1.26,361,18.9,51.7,52.15,52.35,52.1,0.48,,1.0048,,,,,
00788B,元大10年IG電能債,櫃,,,30.31,0.2,+0.66,140,4.23,30.11,30.24,30.31,30.24,0.23,,0.9968,,,,,
00792B,群益A級公司債,櫃,,,31.85,0.35,+1.11,170,5.41,31.5,31.74,31.85,31.74,0.35,,1.0045,,,,,
00830,國泰費城半導體,市,,,55.85,0.85,+1.55,6095,340,55,55.7,55.9,55.6,0.55,,1.0079,,,,,
00836B,永豐10年A公司債,櫃,,,29.25,0.31,+1.07,116,3.39,28.94,29.16,29.27,29.14,0.45,,1.0031,,,,,
