代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
0050,元大台灣50,市,,,76.85,-0.55,-0.71,151612,11638,77.4,76.8,77.3,76.3,1.29,,1.002,,,,,
0052,富邦科技,市,,,45.6,-0.25,-0.55,44815,2043,45.85,45.4,45.92,45.35,1.24,,1.0015,,,,,
0061,元大寶滬深,市,,,23.6,-0.03,-0.13,171,4.03,23.63,23.65,23.65,23.43,0.93,,0.9945,,,,,
006203,元大MSCI台灣,市,,,138.15,-1.05,-0.75,4,0.59,139.2,138.45,138.45,138.15,0.22,,0.9949,,,,,
006207,復華滬深,市,,,31.5,-0.09,-0.28,356,11.2,31.59,31.33,31.5,31.31,0.6,,0.9887,,,,,
00633L,富邦上証正2,市,,,45.66,-0.21,-0.46,1869,85,45.87,45.46,45.76,45.02,1.61,,0.9961,,,,,
00634R,富邦上証反1,市,,,3.31,0.01,+0.3,228,0.75,3.3,3.31,3.33,3.3,0.91,,0.997,,,,,
00637L,元大滬深300正2,市,,,18.79,-0.11,-0.58,18853,352,18.9,18.75,18.84,18.54,1.59,,0.9947,,,,,
00638R,元大滬深300反1,市,,,7.15,0.01,+0.14,44,0.32,7.14,7.19,7.21,7.14,0.98,,0.9986,,,,,
00642U,期元大S&P石油,市,,,21,0.59,+2.89,45972,959,20.41,20.83,21.03,20.66,1.81,,0.9864,,,,,
00645,富邦日本,市,,,51.95,-0.1,-0.19,668,34.6,52.05,51.55,52.05,51.2,1.63,,0.9998,,,,,
00646,元大S&P500,市,,,68.2,-0.05,-0.07,2619,179,68.25,68.25,68.3,68.05,0.37,,1.004,,,,,
00648R,元大S&P500反1,市,,,4.39,0.02,+0.46,752,3.29,4.37,4.38,4.4,4.37,0.69,,0.9977,,,,,
00651R,復華香港反1,市,,,5.32,-0.05,-0.93,404,2.16,5.37,5.41,5.44,5.3,2.61,,0.9944,,,,,
00652,富邦印度,市,,,35.24,-0.03,-0.09,515,18.2,35.27,35.34,35.42,35.22,0.57,,1.0026,,,,,
00662,富邦NASDAQ,市,,,102.05,0.15,+0.15,1964,200,101.9,102.05,102.25,101.9,0.34,,1.0032,,,,,
00663L,國泰臺灣加權正2,市,,,62.5,0.15,+0.24,8696,541,62.35,61.7,63.3,61.15,3.45,,1.001,,,,,
00664R,國泰臺灣加權反1,市,,,2.28,0.0,0,15288,35,2.28,2.31,2.31,2.27,1.75,,0.9956,,,,,
00665L,富邦恒生國企正2,市,,,9.8,0.27,+2.83,19284,186,9.53,9.4,9.84,9.36,5.04,,1.0041,,,,,
00669R,國泰美國道瓊反1,市,,,5.73,0.04,+0.7,1778,10.2,5.69,5.74,5.76,5.73,0.53,,0.9948,,,,,
00670L,富邦NASDAQ正2,市,,,155.25,0.4,+0.26,950,147,154.85,154.85,155.5,154.6,0.58,,1.0028,,,,,
00675L,富邦臺灣加權正2,市,,,189.6,0.05,+0.03,2482,468,189.55,186.95,191.8,185.45,3.35,,0.9992,,,,,
