代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
0050,元大台灣50,市,,,76.6,-1.6,-2.05,131519,10108,78.2,77.1,77.6,76.35,1.6,,1.0007,,,,,
0052,富邦科技,市,,,45.65,-0.81,-1.74,46457,2128,46.46,45.99,46.27,45.58,1.49,,1.0018,,,,,
0061,元大寶滬深,市,,,23.74,-0.15,-0.63,228,5.44,23.89,23.89,23.97,23.74,0.96,,0.9851,,,,,
006203,元大MSCI台灣,市,,,139.4,-2.0,-1.41,3,0.46,141.4,140.8,140.8,139.4,0.99,,1.0035,,,,,
006207,復華滬深,市,,,31.8,-0.2,-0.62,134,4.27,32,32,32.11,31.79,1.0,,0.9851,,,,,
00633L,富邦上証正2,市,,,46.28,-0.81,-1.72,1255,58.5,47.09,47.05,47.2,46.21,2.1,,0.988,,,,,
00634R,富邦上証反1,市,,,3.29,0.03,+0.92,220,0.72,3.26,3.25,3.29,3.25,1.23,,1,,,,,
00637L,元大滬深300正2,市,,,19.1,-0.3,-1.55,24996,482,19.4,19.31,19.47,19.09,1.96,,0.9861,,,,,
00638R,元大滬深300反1,市,,,7.12,0.09,+1.28,159,1.13,7.03,7.06,7.12,7.04,1.14,,1.0028,,,,,
00642U,期元大S&P石油,市,,,25.16,2.96,+13.3,77127,1929,22.2,24.84,25.62,24.48,5.14,,1.0207,,,,,
00645,富邦日本,市,,,50.9,-1.1,-2.12,332,16.9,52,51.3,51.3,50.6,1.35,,0.9975,,,,,
00646,元大S&P500,市,,,67.1,-0.85,-1.25,5125,344,67.95,67.4,67.4,67,0.59,,0.9903,,,,,
00648R,元大S&P500反1,市,,,4.48,0.08,+1.82,3063,13.7,4.4,4.45,4.48,4.45,0.68,,1.0045,,,,,
00651R,復華香港反1,市,,,5.33,0.08,+1.52,169,0.9,5.25,5.3,5.34,5.27,1.33,,1.0019,,,,,
00652,富邦印度,市,,,34,-0.55,-1.59,869,29.6,34.55,34.51,34.53,33.84,2.0,,1.0027,,,,,
00662,富邦NASDAQ,市,,,101.3,-0.65,-0.64,4535,459,101.95,101.35,101.45,100.9,0.54,,0.9942,,,,,
00663L,國泰臺灣加權正2,市,,,61.45,-1.95,-3.08,14795,914,63.4,62,63,60.85,3.39,,0.9892,,,,,
00664R,國泰臺灣加權反1,市,,,2.29,0.04,+1.78,22728,51.9,2.25,2.27,2.3,2.26,1.78,,1.0088,,,,,
00665L,富邦恒生國企正2,市,,,9.81,-0.15,-1.51,15042,149,9.96,9.88,10.08,9.81,2.71,,0.983,,,,,
