代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持張 ＞600 ≦800 (萬張),＞600 ≦800 增減 (張),＞600 ≦800 增減 (%),持張 ＞800 ≦1千 (萬張),＞800 ≦1千 增減 (張),＞800 ≦1千 增減 (%),持張 ＞1千 (萬張),＞1千 增減 (張),＞1千 增減 (%)
3443,創意,2185.0,60.0,2.82,26W01,01/02,0.47,-3361.0,-41.8,0.35,827.0,31.2,7.3,1113.0,1.55
3450,聯鈞,273.0,3.0,1.11,26W01,01/02,0.34,1120.0,48.7,0.26,-875.0,-25.2,3.14,2107.0,7.19
3479,安勤,92.0,0.6,0.66,26W01,01/02,0.2,-57.2,-2.73,0.17,0.0,0.0,2.41,20.0,0.08
3483,力致,93.3,-0.9,-0.96,26W01,01/02,0.33,-1563.0,-32.0,0.37,842.0,29.8,1.11,291.0,2.68
3491,昇達科,701.0,22.0,3.24,26W01,01/02,0.82,767.0,10.4,0.18,-956.0,-34.5,1.39,109.0,0.79
3504,揚明光,52.0,1.4,2.77,26W01,01/02,0.27,-51.0,-1.88,0.08,0.0,0.0,6.62,493.0,0.75
3508,位速,24.0,0.1,0.42,26W01,01/02,0.29,25.0,0.88,0.17,0.0,0.0,3.02,136.0,0.45
3512,皇龍,21.85,-0.05,-0.23,26W01,01/02,0.13,27.0,2.05,0.36,0.0,0.0,7.2,12.0,0.02
3518,柏騰,21.55,0.3,1.41,26W01,01/02,0.36,4.0,0.11,0.27,-872.0,-24.4,3.03,6113.0,25.3
3526,凡甲,243.0,-1.0,-0.41,26W01,01/02,0.35,37.0,1.06,0.19,28.0,1.48,2.15,5.18,0.02
3531,先益,21.8,0.0,0.0,26W01,01/02,0.57,5.0,0.09,0.17,0.0,0.0,3.71,8.0,0.02
3543,州巧,42.65,0.9,2.16,26W01,01/02,0.46,-132.0,-2.78,0.08,-1801.0,-68.1,3.5,765.0,2.24
3546,宇峻,78.5,0.9,1.16,26W01,01/02,0.26,-5.0,-0.19,0.0,0.0,,1.45,24.8,0.17
3548,兆利,90.0,-0.1,-0.11,26W01,01/02,0.2,2.0,0.1,0.19,0.0,0.0,1.57,59.2,0.38
3563,牧德,519.0,-9.0,-1.7,26W01,01/02,0.21,-575.0,-21.4,0.18,32.5,1.8,2.54,1408.0,5.87
3591,艾笛森,18.45,0.05,0.27,26W01,01/02,0.27,-135.0,-4.81,0.18,30.0,1.69,6.86,178.0,0.26
3594,磐儀,37.75,0.0,0.0,26W01,01/02,0.29,110.0,3.97,0.37,0.0,0.0,4.01,9.0,0.02
3596,智易,174.5,0.5,0.29,26W01,01/02,0.55,-1273.0,-18.9,0.79,4.0,0.05,13.7,1127.0,0.83
3622,洋華,62.8,0.8,1.29,26W01,01/02,0.34,-20.6,-0.6,0.28,3.0,0.11,8.16,59.0,0.07
3624,光頡,64.2,5.8,9.93,26W01,01/02,0.21,1432.0,223.0,0.17,-94.2,-5.16,5.46,3092.0,6.0
3645,達邁,53.0,1.1,2.12,26W01,01/02,0.54,1353.0,33.2,0.46,-857.0,-15.8,3.95,12.5,0.03
3652,精聯,29.05,0.25,0.87,26W01,01/02,0.07,0.0,0.0,0.1,0.0,0.0,5.07,9.0,0.02
3653,健策,2590.0,-155.0,-5.65,26W01,01/02,0.57,173.0,3.13,0.18,0.0,0.0,8.88,342.0,0.39
3666,光耀,32.85,-0.1,-0.3,26W01,01/02,0.07,699.0,,0.0,-898.0,-100.0,11.0,34055.0,44.6
3673,TPK-KY,40.4,0.0,0.0,26W01,01/02,0.8,-1323.0,-14.2,0.36,-57.0,-1.57,15.7,1047.0,0.67
3680,家登,371.0,15.0,4.21,26W01,01/02,0.29,-1392.0,-32.4,0.36,53.3,1.49,3.94,1957.0,5.23
3689,湧德,127.0,11.5,9.96,26W01,01/02,0.06,-1466.0,-70.0,0.44,-175.0,-3.82,2.0,3747.0,23.1
3691,碩禾,78.7,-1.6,-1.99,26W01,01/02,0.07,-618.0,-47.4,0.09,-979.0,-52.1,4.99,1056.0,2.16
3693,營邦,279.0,-0.5,-0.18,26W01,01/02,0.0,0.0,,0.25,-11.8,-0.46,1.58,10.0,0.06
3694,海華,61.9,1.6,2.65,26W01,01/02,0.2,-95.0,-4.5,0.09,7.0,0.8,9.42,318.0,0.34
3706,神達,90.9,4.5,5.21,26W01,01/02,1.02,111.0,1.1,1.14,-1173.0,-9.32,64.0,10285.0,1.63
3707,漢磊,54.0,2.2,4.25,26W01,01/02,0.58,1544.0,36.2,0.53,-156.0,-2.88,16.2,350.0,0.22
3708,上緯投控,111.5,0.5,0.45,26W01,01/02,0.29,-629.0,-17.6,0.18,-1.0,-0.06,4.29,66.9,0.16
3710,連展投控,5.97,0.07,1.19,26W01,01/02,0.89,-67.0,-0.75,0.35,0.0,0.0,5.63,297.0,0.53
3711,日月光投控,258.0,7.5,2.99,26W01,01/02,6.36,-1911.0,-2.92,5.57,911.0,1.66,377.0,9883.0,0.26
3715,定穎投控,127.0,-0.5,-0.39,26W01,01/02,0.89,-1384.0,-13.4,0.72,1032.0,16.8,10.8,5097.0,4.94
