stock_code,stock_name,shares,weight,date
2330,台積電,3146000,9.68,2025-12-26
2383,台光電,2037000,6.81,2025-12-26
3017,奇鋐,2136000,6.61,2025-12-26
2368,金像電,4237000,6.02,2025-12-26
6669,緯穎,683000,5.98,2025-12-26
2345,智邦,2357000,5.83,2025-12-26
6223,旺矽,1077000,5.18,2025-12-26
2308,台達電,2532000,4.93,2025-12-26
3665,貿聯-KY,1532848,4.83,2025-12-26
6274,台燿,4737000,4.81,2025-12-26
3653,健策,677000,3.78,2025-12-26
2317,鴻海,7423000,3.41,2025-12-26
2454,聯發科,1168000,3.3,2025-12-26
6805,富世達,939000,3.07,2025-12-26
8210,勤誠,1453000,2.88,2025-12-26
8299,群聯,965000,2.58,2025-12-26
3661,世芯-KY,333000,2.18,2025-12-26
5274,信驊,134000,1.89,2025-12-26
2449,京元電子,4024000,1.83,2025-12-26
2059,川湖,232000,1.74,2025-12-26
2404,漢唐,786000,1.51,2025-12-26
2313,華通,4685000,0.94,2025-12-26
8358,金居,1668000,0.91,2025-12-26
5536,聖暉*,512000,0.83,2025-12-26
6191,精成科,3088000,0.73,2025-12-26
3533,嘉澤,252000,0.66,2025-12-26
3715,定穎投控,2198960,0.55,2025-12-26
1303,南亞,4519000,0.53,2025-12-26
4958,臻鼎-KY,1738000,0.51,2025-12-26
3231,緯創,1550000,0.46,2025-12-26
3515,華擎,854000,0.44,2025-12-26
2354,鴻準,3209000,0.4,2025-12-26
3211,順達,555000,0.37,2025-12-26
1319,東陽,1574000,0.31,2025-12-26
6515,穎崴,48000,0.28,2025-12-26
5347,世界,1368000,0.27,2025-12-26
3711,日月光投控,318000,0.16,2025-12-26
3217,優群,306000,0.1,2025-12-26
3044,健鼎,143000,0.09,2025-12-26
6510,精測,2000,0.01,2025-12-26
2357,華碩,1000,0.0,2025-12-26
8996,高力,1000,0.0,2025-12-26
2439,美律,1000,0.0,2025-12-26
3008,大立光,1000,0.0,2025-12-26
3045,台灣大,1000,0.0,2025-12-26
6139,亞翔,1000,0.0,2025-12-26
3081,聯亞,1000,0.0,2025-12-26
2327,國巨*,1000,0.0,2025-12-26
2884,玉山金,1010,0.0,2025-12-26
3583,辛耘,1000,0.0,2025-12-26
2330,台積電,3146000,9.67,2025-12-29
2383,台光電,2037000,6.86,2025-12-29
3017,奇鋐,2136000,6.63,2025-12-29
6669,緯穎,683000,5.97,2025-12-29
2368,金像電,4237000,5.94,2025-12-29
2345,智邦,2357000,5.76,2025-12-29
2308,台達電,2532000,4.9,2025-12-29
6223,旺矽,1077000,4.83,2025-12-29
6274,台燿,4737000,4.78,2025-12-29
3665,貿聯-KY,1532848,4.64,2025-12-29
3653,健策,704000,3.86,2025-12-29
2317,鴻海,8100000,3.76,2025-12-29
2454,聯發科,1168000,3.33,2025-12-29
6805,富世達,939000,3.05,2025-12-29
8210,勤誠,1453000,2.88,2025-12-29
8299,群聯,965000,2.6,2025-12-29
3661,世芯-KY,362000,2.47,2025-12-29
2449,京元電子,4024000,1.98,2025-12-29
5274,信驊,134000,1.91,2025-12-29
2059,川湖,232000,1.76,2025-12-29
2404,漢唐,786000,1.46,2025-12-29
8358,金居,1668000,0.91,2025-12-29
2313,華通,4685000,0.91,2025-12-29
5536,聖暉*,512000,0.8,2025-12-29
6191,精成科,3088000,0.69,2025-12-29
3533,嘉澤,252000,0.66,2025-12-29
1303,南亞,5173000,0.61,2025-12-29
3715,定穎投控,2198960,0.53,2025-12-29
4958,臻鼎-KY,1738000,0.5,2025-12-29
3231,緯創,1550000,0.45,2025-12-29
3515,華擎,854000,0.43,2025-12-29
2354,鴻準,3209000,0.4,2025-12-29
3211,順達,555000,0.38,2025-12-29
1319,東陽,1574000,0.31,2025-12-29
6515,穎崴,48000,0.27,2025-12-29
5347,世界,957000,0.18,2025-12-29
3711,日月光投控,318000,0.16,2025-12-29
3217,優群,306000,0.1,2025-12-29
3044,健鼎,143000,0.09,2025-12-29
3008,大立光,1000,0.01,2025-12-29
6510,精測,2000,0.01,2025-12-29
2357,華碩,1000,0.0,2025-12-29
8996,高力,1000,0.0,2025-12-29
2439,美律,1000,0.0,2025-12-29
3045,台灣大,1000,0.0,2025-12-29
6139,亞翔,1000,0.0,2025-12-29
3081,聯亞,1000,0.0,2025-12-29
2327,國巨*,1000,0.0,2025-12-29
2884,玉山金,1010,0.0,2025-12-29
3583,辛耘,1000,0.0,2025-12-29
2330,台積電,3146000,9.69,2025-12-31
2383,台光電,2037000,6.66,2025-12-31
3017,奇鋐,2136000,6.41,2025-12-31
6669,緯穎,693000,6.17,2025-12-31
2368,金像電,4237000,5.78,2025-12-31
2345,智邦,2357000,5.55,2025-12-31
2308,台達電,2532000,4.84,2025-12-31
6223,旺矽,1077000,4.81,2025-12-31
6274,台燿,4827000,4.74,2025-12-31
3665,貿聯-KY,1532848,4.63,2025-12-31
3653,健策,743000,4.05,2025-12-31
2317,鴻海,8100000,3.71,2025-12-31
2454,聯發科,1168000,3.32,2025-12-31
6805,富世達,996000,3.21,2025-12-31
8210,勤誠,1478000,2.95,2025-12-31
3661,世芯-KY,408000,2.84,2025-12-31
8299,群聯,965000,2.78,2025-12-31
2449,京元電子,4024000,1.98,2025-12-31
5274,信驊,134000,1.93,2025-12-31
2059,川湖,232000,1.73,2025-12-31
2404,漢唐,786000,1.48,2025-12-31
8358,金居,1668000,0.92,2025-12-31
2313,華通,4685000,0.87,2025-12-31
5536,聖暉*,512000,0.79,2025-12-31
6191,精成科,3088000,0.69,2025-12-31
3533,嘉澤,252000,0.65,2025-12-31
1303,南亞,5173000,0.62,2025-12-31
3715,定穎投控,1982960,0.5,2025-12-31
4958,臻鼎-KY,1738000,0.49,2025-12-31
3231,緯創,1550000,0.46,2025-12-31
3515,華擎,854000,0.42,2025-12-31
2354,鴻準,3209000,0.39,2025-12-31
3211,順達,555000,0.37,2025-12-31
1319,東陽,1574000,0.3,2025-12-31
6515,穎崴,48000,0.27,2025-12-31
5347,世界,957000,0.18,2025-12-31
3217,優群,306000,0.1,2025-12-31
3044,健鼎,143000,0.09,2025-12-31
6510,精測,2000,0.01,2025-12-31
2357,華碩,1000,0.0,2025-12-31
8996,高力,1000,0.0,2025-12-31
2439,美律,1000,0.0,2025-12-31
3008,大立光,1000,0.0,2025-12-31
3045,台灣大,1000,0.0,2025-12-31
6139,亞翔,1000,0.0,2025-12-31
3081,聯亞,1000,0.0,2025-12-31
2327,國巨*,1000,0.0,2025-12-31
2884,玉山金,1010,0.0,2025-12-31
3583,辛耘,1000,0.0,2025-12-31
3711,日月光投控,1000,0.0,2025-12-31
2330,台積電,3176000,9.8,2026-01-02
2383,台光電,2077000,6.43,2026-01-02
6669,緯穎,710000,6.19,2026-01-02
3017,奇鋐,2166000,6.14,2026-01-02
2345,智邦,2377000,5.3,2026-01-02
2368,金像電,4078000,5.11,2026-01-02
2308,台達電,2602000,5.04,2026-01-02
6223,旺矽,1103000,4.85,2026-01-02
3665,貿聯-KY,1562848,4.64,2026-01-02
6274,台燿,4877000,4.57,2026-01-02
2317,鴻海,8470000,3.83,2026-01-02
3653,健策,758000,3.82,2026-01-02
2454,聯發科,1238000,3.54,2026-01-02
3661,世芯-KY,446000,3.16,2026-01-02
8299,群聯,1085000,3.05,2026-01-02
6805,富世達,1016000,3.04,2026-01-02
8210,勤誠,1498000,2.78,2026-01-02
2449,京元電子,4104000,2.14,2026-01-02
5274,信驊,142000,2.01,2026-01-02
2059,川湖,232000,1.56,2026-01-02
2404,漢唐,806000,1.51,2026-01-02
8358,金居,1668000,0.94,2026-01-02
2313,華通,4735000,0.87,2026-01-02
5536,聖暉*,513000,0.76,2026-01-02
6191,精成科,3138000,0.68,2026-01-02
3533,嘉澤,253000,0.64,2026-01-02
1303,南亞,5323000,0.59,2026-01-02
6139,亞翔,470000,0.52,2026-01-02
3715,定穎投控,2002960,0.5,2026-01-02
4958,臻鼎-KY,1739000,0.48,2026-01-02
3211,順達,570000,0.37,2026-01-02
3515,華擎,717000,0.35,2026-01-02
2354,鴻準,2567000,0.31,2026-01-02
1319,東陽,1575000,0.3,2026-01-02
6515,穎崴,51000,0.29,2026-01-02
3231,緯創,550000,0.17,2026-01-02
5347,世界,958000,0.17,2026-01-02
2327,國巨*,339000,0.16,2026-01-02
3217,優群,326000,0.1,2026-01-02
8996,高力,51000,0.06,2026-01-02
3008,大立光,3000,0.02,2026-01-02
6510,精測,2000,0.01,2026-01-02
3044,健鼎,1000,0.0,2026-01-02
2357,華碩,2000,0.0,2026-01-02
2439,美律,2000,0.0,2026-01-02
3045,台灣大,2000,0.0,2026-01-02
3081,聯亞,1000,0.0,2026-01-02
2884,玉山金,2010,0.0,2026-01-02
3583,辛耘,2000,0.0,2026-01-02
3711,日月光投控,2000,0.0,2026-01-02
2330,台積電,3176000,10.24,2026-01-05
6669,緯穎,710000,6.22,2026-01-05
2383,台光電,1973000,6.17,2026-01-05
3017,奇鋐,2166000,6.06,2026-01-05
2345,智邦,2377000,5.44,2026-01-05
2308,台達電,2602000,5.07,2026-01-05
2368,金像電,3885000,4.76,2026-01-05
3665,貿聯-KY,1562848,4.75,2026-01-05
6274,台燿,4877000,4.47,2026-01-05
6223,旺矽,1069000,4.44,2026-01-05
2454,聯發科,1383000,4.07,2026-01-05
2317,鴻海,8470000,3.84,2026-01-05
3653,健策,758000,3.79,2026-01-05
8299,群聯,1294000,3.67,2026-01-05
3661,世芯-KY,446000,3.14,2026-01-05
6805,富世達,1016000,2.92,2026-01-05
8210,勤誠,1498000,2.77,2026-01-05
5274,信驊,142000,1.95,2026-01-05
2404,漢唐,806000,1.54,2026-01-05
50,元大台灣50,10871000,1.46,2026-01-05
2059,川湖,232000,1.44,2026-01-05
2449,京元電子,2133000,1.08,2026-01-05
8358,金居,1668000,0.88,2026-01-05
5536,聖暉*,513000,0.79,2026-01-05
6139,亞翔,627000,0.72,2026-01-05
52,富邦科技,9274000,0.72,2026-01-05
6191,精成科,3138000,0.66,2026-01-05
3533,嘉澤,253000,0.62,2026-01-05
1303,南亞,5323000,0.57,2026-01-05
2313,華通,2651000,0.48,2026-01-05
2327,國巨*,985000,0.46,2026-01-05
3715,定穎投控,2002960,0.46,2026-01-05
3211,順達,570000,0.34,2026-01-05
1319,東陽,1575000,0.3,2026-01-05
6515,穎崴,51000,0.3,2026-01-05
3515,華擎,585000,0.28,2026-01-05
2354,鴻準,1507000,0.18,2026-01-05
5347,世界,958000,0.17,2026-01-05
3217,優群,326000,0.1,2026-01-05
8996,高力,51000,0.06,2026-01-05
3008,大立光,3000,0.01,2026-01-05
6510,精測,2000,0.01,2026-01-05
3044,健鼎,1000,0.0,2026-01-05
2357,華碩,2000,0.0,2026-01-05
2439,美律,2000,0.0,2026-01-05
4958,臻鼎-KY,1000,0.0,2026-01-05
3045,台灣大,2000,0.0,2026-01-05
3081,聯亞,1000,0.0,2026-01-05
3231,緯創,1000,0.0,2026-01-05
2884,玉山金,2010,0.0,2026-01-05
3583,辛耘,2000,0.0,2026-01-05
3711,日月光投控,2000,0.0,2026-01-05
