代號,名稱,市 場,股價 日期,成交,漲跌 價,漲跌 幅,成交 張數,營收 月份,單月 營收 (億),單月 營收 歷月 排名,單月 營收 創紀錄 月數,單月 營收 連增減 月數,單月 營收 歷年 排名,單月 營收 創紀錄 年數,累月 營收 (億),累月 營收 歷年 排名,累月 營收 創紀錄 年數,累月 營收 連增減 年數
2383,台光電,市,01/05,1620.0,30.0,1.89,4266,25M12,87.0,2,4個月高,連3增,1.0,29年高,942.0,1.0,29年高,連7增
2408,南亞科,市,01/05,208.0,1.0,0.48,114428,25M11,102.0,1,323個月高,連2增,1.0,27年高,546.0,5.0,4年高,連2增
2419,仲琦,市,01/05,23.5,-0.75,-3.09,1597,25M12,13.0,3,36個月高,連2增,2.0,3年高,88.8,8.0,8年低,連3減
2472,立隆電,市,01/05,110.0,-7.5,-6.38,14479,25M11,10.1,3,7個月高,nan,1.0,28年高,103.0,1.0,28年高,連2增
2476,鉅祥,市,01/05,89.3,-1.7,-1.87,2267,25M11,6.62,3,nan,2減→增,1.0,29年高,67.2,1.0,29年高,連2增
2548,華固,市,01/05,114.0,-1.0,-0.87,837,25M11,116.0,1,227個月高,nan,1.0,19年高,179.0,2.0,6年高,nan
2597,潤弘,市,01/05,170.0,2.5,1.49,531,25M11,28.2,3,nan,nan,1.0,19年高,275.0,1.0,19年高,連2增
2633,台灣高鐵,市,01/05,27.85,-0.15,-0.54,5055,25M12,49.0,3,nan,nan,1.0,23年高,546.0,1.0,23年高,連4增
2641,正德,櫃,01/05,19.7,-0.35,-1.75,3598,25M11,1.97,3,nan,2減→增,1.0,15年高,21.6,1.0,15年高,連2增
2643,捷迅,櫃,01/05,73.1,-0.9,-1.22,56,25M11,8.01,1,147個月高,連2增,1.0,13年高,76.4,1.0,13年高,連2增
2645,長榮航太,市,01/05,144.0,0.5,0.35,1793,25M11,16.8,2,11個月高,nan,1.0,5年高,166.0,1.0,5年高,連4增
2753,八方雲集,市,01/05,189.0,-1.0,-0.53,264,25M11,7.68,1,88個月高,連2增,1.0,8年高,80.2,1.0,8年高,連8增
2755,揚秦,櫃,01/05,116.5,-0.5,-0.43,56,25M11,2.66,3,nan,nan,1.0,7年高,27.6,1.0,7年高,連7增
2756,聯發國際,櫃,01/05,76.8,-5.4,-6.57,245,25M11,1.11,2,3個月高,連2增,1.0,6年高,10.6,1.0,6年高,3減→增
2762,世界健身-KY,市,01/05,76.0,-0.5,-0.65,33,25M11,9.6,2,nan,nan,1.0,3年高,100.0,1.0,3年高,連3增
2812,台中銀,市,01/05,20.9,0.0,0.0,7072,25M11,18.3,3,3個月高,連2增,1.0,29年高,188.0,1.0,29年高,連5增
2885,元大金,市,01/05,39.3,-0.35,-0.88,52422,25M11,132.0,1,286個月高,連6增,1.0,24年高,1159.0,1.0,24年高,連3增
2887,台新新光金,市,01/05,21.0,0.6,2.94,102245,25M11,205.0,1,286個月高,nan,1.0,24年高,1286.0,1.0,24年高,連9增
2916,滿心,櫃,01/05,49.0,-0.1,-0.2,35,25M11,2.29,3,10個月高,連2增,1.0,24年高,17.8,1.0,24年高,連4增
2937,集雅社,櫃,01/05,43.5,0.5,1.16,17,25M11,5.77,1,120個月高,連2增,1.0,10年高,45.5,1.0,10年高,連10增
2949,欣新網,櫃,01/05,65.4,-2.1,-3.11,7,25M11,8.5,1,39個月高,連4增,1.0,4年高,52.3,1.0,4年高,連4增
3004,豐達科,市,01/05,112.0,2.0,1.82,2017,25M12,4.05,1,312個月高,連5增,1.0,26年高,40.6,1.0,26年高,連4增
3006,晶豪科,市,01/05,139.0,9.5,7.34,53407,25M12,21.7,3,51個月高,連2增,1.0,24年高,146.0,4.0,3年高,連2增
3013,晟銘電,市,01/05,130.0,0.0,0.0,3177,25M11,10.4,3,11個月高,nan,1.0,24年高,93.4,1.0,24年高,連4增
3017,奇鋐,市,01/05,1450.0,-5.0,-0.34,4412,25M11,174.0,1,279個月高,連11增,1.0,24年高,1257.0,1.0,24年高,連14增
3019,亞光,市,01/05,142.0,-1.5,-1.05,3045,25M11,25.1,3,nan,nan,1.0,28年高,243.0,1.0,28年高,連2增
3044,健鼎,市,01/05,312.0,-0.5,-0.16,3517,25M11,63.8,3,nan,nan,1.0,27年高,670.0,1.0,27年高,連2增
3045,台灣大,市,01/05,107.0,-1.0,-0.93,7811,25M11,231.0,1,335個月高,nan,1.0,28年高,1807.0,2.0,nan,18增→減
3131,弘塑,櫃,01/05,1765.0,160.0,9.97,2720,25M11,5.66,2,nan,nan,1.0,18年高,55.1,1.0,18年高,連2增
3135,凌航,市,01/05,90.0,1.0,1.12,12330,25M11,7.52,2,nan,nan,1.0,5年高,65.3,1.0,5年高,連3增
3158,嘉實,櫃,01/05,91.5,-1.4,-1.51,19,25M11,0.98,2,11個月高,連3增,1.0,11年高,9.09,1.0,11年高,連11增
3162,精確,櫃,01/05,59.0,-3.1,-4.99,4231,25M11,7.11,1,275個月高,連3增,1.0,23年高,70.2,1.0,23年高,連8增
