代號,名稱,市 場,股價 日期,成交,漲跌 價,漲跌 幅,成交 張數,營收 月份,單月 營收 (億),單月 營收 歷月 排名,單月 營收 創紀錄 月數,單月 營收 連增減 月數,單月 營收 歷年 排名,單月 營收 創紀錄 年數,累月 營收 (億),累月 營收 歷年 排名,累月 營收 創紀錄 年數,累月 營收 連增減 年數
5289,宜鼎,櫃,01/05,592.0,-3.0,-0.5,6826,25M11,16.0,1,160個月高,連11增,1.0,14年高,124.0,1.0,14年高,連2增
5309,系統電,櫃,01/05,67.0,0.3,0.45,11100,25M12,3.16,1,343個月高,連2增,1.0,29年高,33.9,2.0,3年高,2減→增
5312,寶島科,櫃,01/05,99.7,-1.3,-1.29,94,25M11,3.76,1,342個月高,連2增,1.0,29年高,37.9,1.0,29年高,連4增
5314,世紀*,櫃,01/05,94.1,-3.7,-3.78,5963,25M11,4.45,1,342個月高,nan,1.0,29年高,26.4,1.0,29年高,連3增
5434,崇越,市,01/05,299.0,2.5,0.84,733,25M11,57.4,3,nan,nan,1.0,28年高,611.0,1.0,28年高,連2增
5439,高技,櫃,01/05,305.0,-4.0,-1.29,3223,25M11,10.1,3,nan,nan,1.0,28年高,88.9,1.0,28年高,nan
5493,三聯,櫃,01/05,88.8,-2.2,-2.42,196,25M11,4.66,3,nan,nan,1.0,27年高,49.0,1.0,27年高,連2增
5522,遠雄,市,01/05,72.5,-1.6,-2.16,1711,25M11,112.0,1,335個月高,連2增,1.0,28年高,274.0,2.0,4年高,連2增
5548,安倉,櫃,01/05,24.1,-0.2,-0.82,23,25M11,2.74,1,41個月高,nan,1.0,4年高,22.5,1.0,4年高,連3增
6112,邁達特,市,01/05,46.15,-1.45,-3.05,777,25M12,19.5,3,6個月高,2減→增,1.0,27年高,218.0,1.0,27年高,nan
6139,亞翔,市,01/05,595.0,30.0,5.31,8137,25M11,85.1,3,nan,nan,2.0,nan,672.0,1.0,26年高,連5增
6177,達麗,市,01/05,51.9,-0.7,-1.33,2816,25M12,62.0,1,312個月高,連2增,1.0,26年高,95.3,4.0,3年低,連2減
6179,亞通,櫃,01/05,28.95,-0.3,-1.03,2125,25M11,4.89,3,11個月高,nan,1.0,26年高,37.2,1.0,26年高,nan
6213,聯茂,市,01/05,119.0,2.5,2.15,15986,25M12,31.7,1,312個月高,連2增,1.0,26年高,331.0,1.0,26年高,連2增
6217,中探針,櫃,01/05,49.0,-1.9,-3.73,5756,25M11,3.56,1,311個月高,nan,1.0,26年高,33.4,1.0,26年高,連2增
6223,旺矽,櫃,01/05,2150.0,-110.0,-4.87,1589,25M11,12.9,1,311個月高,連2增,1.0,26年高,120.0,1.0,26年高,連8增
6257,矽格,市,01/05,113.0,-4.0,-3.42,16712,25M12,18.0,1,278個月高,連5增,1.0,24年高,196.0,1.0,24年高,連2增
6274,台燿,櫃,01/05,475.0,-6.5,-1.35,10301,25M11,30.2,1,299個月高,連3增,1.0,25年高,271.0,1.0,25年高,連2增
6279,胡連,櫃,01/05,125.0,-2.0,-1.57,413,25M11,10.4,1,275個月高,連5增,1.0,23年高,88.5,1.0,23年高,連5增
6282,康舒,市,01/05,42.15,-1.65,-3.77,40203,25M11,32.0,3,26個月高,nan,1.0,23年高,284.0,2.0,nan,7增→減
6414,樺漢,市,01/05,283.0,-3.0,-1.05,719,25M11,132.0,2,11個月高,nan,1.0,14年高,1276.0,2.0,nan,13增→減
6438,迅得,市,01/05,142.5,1.0,0.71,1617,25M12,5.81,3,5個月高,連2增,1.0,13年高,65.3,1.0,13年高,nan
6446,藥華藥,市,01/05,490.5,-4.5,-0.91,1371,25M12,19.2,1,145個月高,連4增,1.0,13年高,156.0,1.0,13年高,連8增
6449,鈺邦,市,01/05,175.5,2.0,1.15,1719,25M11,4.11,1,143個月高,連4增,1.0,12年高,40.2,1.0,12年高,連3增
6465,威潤,櫃,01/05,35.1,-3.35,-8.71,851,25M11,0.5,1,139個月高,連2增,1.0,12年高,2.14,5.0,nan,nan
6486,互動,櫃,01/05,82.9,-1.3,-1.54,215,25M12,7.77,1,136個月高,連2增,1.0,12年高,26.9,1.0,12年高,連5增
6531,愛普*,市,01/05,479.0,20.5,4.47,8542,25M12,8.13,1,129個月高,連2增,1.0,11年高,56.4,2.0,4年高,3減→增
6541,泰福-KY,市,01/05,53.0,-2.3,-4.16,829,25M11,1.12,1,125個月高,nan,1.0,11年高,3.81,1.0,11年高,nan
6584,南俊國際,櫃,01/05,322.0,-4.5,-1.38,951,25M12,2.43,2,53個月高,連4增,1.0,10年高,24.3,1.0,10年高,連2增
6629,泰金-KY,櫃,01/05,123.0,-4.5,-3.53,85,25M11,2.21,1,80個月高,連5增,1.0,7年高,15.8,1.0,7年高,連2增
6664,群翊,櫃,01/05,313.5,6.5,2.12,1948,25M11,2.47,1,99個月高,連3增,1.0,9年高,23.2,1.0,9年高,連5增
6667,信紘科,櫃,01/05,265.0,-3.5,-1.3,1070,25M11,6.39,2,5個月高,nan,1.0,9年高,57.8,1.0,9年高,連2增
6669,緯穎,市,01/05,4540.0,60.0,1.34,1504,25M11,969.0,1,98個月高,連2增,1.0,9年高,8464.0,1.0,9年高,連2增
6683,雍智科技,櫃,01/05,414.0,-5.5,-1.31,564,25M12,1.89,3,3個月低,連2減,1.0,8年高,21.4,1.0,8年高,連2增
6690,安碁資訊,櫃,01/05,171.0,-1.0,-0.58,48,25M11,2.32,1,90個月高,nan,1.0,8年高,21.7,1.0,8年高,連7增
6693,廣閎科,櫃,01/05,80.3,-1.8,-2.19,319,25M11,1.35,1,90個月高,連6增,1.0,8年高,12.5,1.0,8年高,連2增
6703,軒郁,櫃,01/05,106.0,-1.0,-0.93,27,25M11,5.34,1,88個月高,連2增,1.0,8年高,30.1,2.0,nan,5增→減
6712,長聖,櫃,01/05,168.5,0.5,0.3,554,25M12,1.28,1,88個月高,連11增,1.0,8年高,10.3,1.0,8年高,連7增
6733,博晟生醫,櫃,01/05,38.65,0.05,0.13,188,25M11,0.2,3,4個月高,nan,1.0,7年高,1.99,1.0,7年高,連7增
6739,竹陞科技,櫃,01/05,782.0,-11.0,-1.39,733,25M12,0.88,1,79個月高,連19增,1.0,7年高,8.06,1.0,7年高,連4增
6741,91APP*-KY,櫃,01/05,73.0,-0.9,-1.22,244,25M11,2.1,1,57個月高,nan,1.0,5年高,16.1,1.0,5年高,連5增
6752,叡揚,櫃,01/05,123.0,-4.0,-3.15,134,25M11,2.0,1,76個月高,連3增,1.0,7年高,18.2,1.0,7年高,連7增
6763,綠界科技*,櫃,01/05,56.9,-1.6,-2.74,624,25M11,1.55,3,nan,nan,1.0,7年高,15.7,1.0,7年高,連7增
6776,展碁國際,市,01/05,53.9,0.0,0.0,2452,25M11,26.0,3,nan,2增→減,1.0,6年高,266.0,1.0,6年高,連2增
6781,AES-KY,市,01/05,1290.0,-10.0,-0.77,805,25M12,15.4,1,60個月高,連11增,1.0,5年高,160.0,1.0,5年高,連2增
6782,視陽,市,01/05,173.0,-2.0,-1.14,129,25M11,4.01,3,nan,nan,1.0,6年高,38.8,1.0,6年高,連2增
6788,華景電,櫃,01/05,382.5,7.5,2.0,931,25M11,2.41,2,5個月高,連4增,1.0,6年高,23.4,1.0,6年高,連6增
6796,晉弘,市,01/05,93.7,-1.5,-1.58,72,25M11,0.73,2,11個月高,連4增,1.0,6年高,5.82,1.0,6年高,nan
6805,富世達,市,01/05,1490.0,-45.0,-2.93,1999,25M11,14.8,1,63個月高,連10增,1.0,6年高,112.0,1.0,6年高,連6增
6830,汎銓,市,01/05,180.0,1.0,0.56,1267,25M11,2.07,1,57個月高,nan,1.0,5年高,19.7,1.0,5年高,連5增
