代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
1104,環泥,市,01/26,,30.25,+0.35,+1.17,614,18.6,29.9,29.9,30.5,29.9,2.01,12.9,0.89,,,,,
1215,卜蜂,市,01/26,,151.5,+1.5,+1,788,118,150,150,151.5,148.5,2,14.8,3.84,,,,,
1231,聯華食,市,01/26,,95,+0.4,+0.42,278,26.5,94.6,94.9,95.7,94.6,1.16,26.3,4.19,,,,,
1264,德麥,櫃,01/26,,278,-1,-0.36,21,5.92,279,278,279.5,278,0.54,13.4,2.99,,,,,
1294,漢田生技,櫃,01/26,,77.5,+0.8,+1.04,19,1.51,76.7,77.7,77.8,77.5,0.39,17.7,2.96,,,,,
1295,生合,櫃,01/26,,88.1,+2.1,+2.44,92,8.04,86,85.7,88.2,85.7,2.91,18.6,2.39,,,,,
1316,上曜,市,01/26,,14.3,+0.15,+1.06,1672,23.9,14.15,14.2,14.4,14.15,1.77,,1.18,,,,,
1342,八貫,市,01/26,,95,-0.4,-0.42,135,12.8,95.4,95,95.9,94.4,1.57,17.4,3.17,,,,,
1402,遠東新,市,01/26,,29.05,+0.95,+3.38,14548,419,28.1,28.25,29.05,28.25,2.85,17.3,0.7,,,,,
1419,新紡,市,01/26,,79.8,+3,+3.91,741,58.2,76.8,77.7,79.9,76.4,4.56,17.9,1.38,,,,,
1439,雋揚,市,01/26,,29.8,+0.05,+0.17,15,0.45,29.75,29.9,29.9,29.65,0.84,10.7,0.96,,,,,
1503,士電,市,01/26,,228,+2,+0.88,7249,1646,226,229,234,221.5,5.53,36.2,3.27,,,,,
1504,東元,市,01/26,,87.2,-2.2,-2.46,28564,2497,89.4,89.6,89.7,86.5,3.58,34.3,2.33,,,,,
1513,中興電,市,01/26,,181,-3,-1.63,13620,2475,184,183,186.5,179,4.08,23.4,4.55,,,,,
1514,亞力,市,01/26,,139,-3.5,-2.46,15965,2215,142.5,144,144,135,6.32,46,6.27,,,,,
1519,華城,市,01/26,,1020,-10,-0.97,4393,4467,1030,1030,1050,1000,4.85,74.8,36.77,,,,,
1522,堤維西,市,01/26,,51.2,+0.8,+1.59,1429,71.9,50.4,50.7,51.2,49.65,3.08,44.1,1.82,,,,,
1560,中砂,市,01/26,,419.5,-10.5,-2.44,2413,1021,430,430,434,418.5,3.6,54.8,8.15,,,,,
1587,吉茂,市,01/26,,51.2,+0.4,+0.79,659,33.4,50.8,50.8,51.2,50,2.36,244,2.75,,,,,
1590,亞德客-KY,市,01/26,,1005,-15,-1.47,472,475,1020,1030,1030,997,3.24,25.5,4.2,,,,,
1593,祺驊,櫃,01/26,,30.1,+0.1,+0.33,14,0.42,30,30,30.45,30,1.5,15.3,0.94,,,,,
1603,華電,市,01/26,,42.7,0,0,1260,53.9,42.7,43.9,44.2,41.9,5.39,11.6,0.92,,,,,
1623,大東電,市,01/26,,295.5,-44.5,-13.1,2245,693,340,323,327.5,295.5,9.41,,6.57,,,,,
1734,杏輝,市,01/26,,31,-0.1,-0.32,190,5.89,31.1,31.05,31.15,30.9,0.8,17,1.78,,,,,
1736,喬山,市,01/26,,150.5,+3,+2.03,541,80.5,147.5,148.5,151,145.5,3.73,16.1,4.04,,,,,
1783,和康生,市,01/26,,46.9,+0.35,+0.75,157,7.34,46.55,46.4,46.9,46,1.93,18,2.85,,,,,
1784,訊聯,櫃,01/26,,99.5,-0.5,-0.5,301,30.1,100,102,103,98.9,4.1,71.6,3.98,,,,,
1786,科妍,市,01/26,,80.5,-0.1,-0.12,242,19.5,80.6,81,81.5,80.2,1.61,35.2,3.03,,,,,
1808,潤隆,市,01/26,,31.9,-0.9,-2.74,1511,48.5,32.8,32.8,32.9,31.8,3.35,,2.55,,,,,
2059,川湖,市,01/26,,3500,-70,-1.96,995,3481,3570,3595,3635,3435,5.6,39.3,13.62,,,,,
2248,華勝-KY,市,01/26,,49.25,-0.05,-0.1,22,1.09,49.3,49.3,49.8,49.25,1.12,9.97,1.57,,,,,
2308,台達電,市,01/26,,1230,-30,-2.38,13054,15947,1260,1220,1240,1205,2.78,64,13.27,,,,,
2317,鴻海,市,01/26,,224,+2.5,+1.13,39852,8882,221.5,222.5,225,220,2.26,16.3,1.91,,,,,
2327,國巨*,市,01/26,,287,-4.5,-1.54,24894,7169,291.5,293.5,294,285,3.09,28.6,3.75,,,,,
2344,華邦電,市,01/26,,113,+10,+9.71,59540,6653,103,107,113,107,5.83,,5.36,,,,,
2345,智邦,市,01/26,,1150,-25,-2.13,4774,5486,1175,1185,1185,1135,4.26,28.6,12.96,,,,,
2347,聯強,市,01/26,,66.5,-1,-1.48,3254,217,67.5,67.5,67.5,66.3,1.78,12.8,1.49,,,,,
2356,英業達,市,01/26,,46.55,-1.45,-3.02,57815,2705,48,48.25,48.5,46.15,4.9,18.5,2.38,,,,,
2357,華碩,市,01/26,,505,-10,-1.94,3842,1946,515,513,513,503,1.94,10.8,1.46,,,,,
2360,致茂,市,01/26,,1015,-10,-0.98,2093,2115,1025,1010,1025,1000,2.44,40.3,14.59,,,,,
2376,技嘉,市,01/26,,242,+3.5,+1.47,3115,749,238.5,239,242,238,1.68,13.4,2.92,,,,,
2382,廣達,市,01/26,,287,+7,+2.5,19072,5438,280,283,287,280.5,2.32,16.1,5.18,,,,,
2383,台光電,市,01/26,,1740,-60,-3.33,3270,5738,1800,1790,1825,1715,6.11,44.8,14.01,,,,,
2404,漢唐,市,01/26,,951,-34,-3.45,3682,3560,985,988,1005,951,5.48,21.4,11.45,,,,,
2408,南亞科,市,01/26,,286,+14.5,+5.34,112336,31970,271.5,279.5,295,274.5,7.55,,5.63,,,,,
2412,中華電,市,01/26,,134,0,0,5242,702,134,134,134,133.5,0.37,27.1,2.76,,,,,
2419,仲琦,市,01/26,,31.05,-0.45,-1.43,4452,139,31.5,31.8,32.3,30.75,4.92,,2.12,,,,,
2421,建準,市,01/26,,152.5,-0.5,-0.33,1625,247,153,153.5,154.5,150.5,2.61,21,5.13,,,,,
2423,固緯,市,01/26,,53.7,-1.3,-2.36,164,8.87,55,55,55.1,53.7,2.55,18.9,2.8,,,,,
2425,承啟,市,01/26,,30.5,-0.1,-0.33,208,6.37,30.6,30.75,31.1,30.5,1.96,,1.27,,,,,
2428,興勤,市,01/26,,174,-3,-1.69,619,108,177,177,177,172.5,2.54,15.1,2.14,,,,,
2432,倚天酷碁-創,市,01/26,,24.8,-0.15,-0.6,17,0.43,24.95,24.9,25,24.8,0.8,14.9,1.34,,,,,
2442,新美齊,市,01/26,,22.65,+0.1,+0.44,907,20.6,22.55,22.4,22.85,22.35,2.22,24.9,1.25,,,,,
2453,凌群,市,01/26,,59.4,-3.8,-6.01,8588,524,63.2,64.5,64.7,59,9.02,18.7,2.79,,,,,
2467,志聖,市,01/26,,234,-3,-1.27,1922,449,237,237.5,238,230.5,3.16,46.2,6.66,,,,,
2471,資通,市,01/26,,53.2,-0.7,-1.3,177,9.51,53.9,54,54.1,53.2,1.67,16.4,2.95,,,,,
2472,立隆電,市,01/26,,116.5,-1,-0.85,2920,338,117.5,117.5,117.5,114.5,2.55,16.1,2.39,,,,,
2476,鉅祥,市,01/26,,91.2,0,0,966,88.4,91.2,91.3,92.7,91,1.86,22.9,2.4,,,,,
2480,敦陽科,市,01/26,,139.5,-0.5,-0.36,200,28.1,140,140.5,141.5,139.5,1.43,17.6,4.52,,,,,
2493,揚博,市,01/26,,111,-4,-3.48,1018,114,115,116,116,110,5.22,25.1,4.58,,,,,
2501,國建,市,01/26,,22.7,+0.2,+0.89,1913,43.2,22.5,22.6,22.8,22.4,1.78,9.34,0.91,,,,,
2515,中工,市,01/26,,14.5,+1.3,+9.85,22829,326,13.2,13.85,14.5,13.8,5.3,35.4,1,,,,,
2543,皇昌,市,01/26,,64.7,+1.4,+2.21,1376,88.4,63.3,63.6,64.9,63.4,2.37,19.9,3.56,,,,,
2596,綠意,櫃,01/26,,34.95,-0.15,-0.43,250,8.62,35.1,34.9,34.95,34.1,2.42,17.3,1.73,,,,,
2597,潤弘,市,01/26,,171.5,-2,-1.15,330,56.8,173.5,174.5,175.5,170.5,2.88,16.2,6.79,,,,,
2610,華航,市,01/26,,22.5,+0.15,+0.67,29556,662,22.35,22.35,22.65,22,2.91,9.11,1.45,,,,,
2612,中航,市,01/26,,61.6,+1.1,+1.82,1243,75.6,60.5,60.5,61.7,59.7,3.31,8.59,0.95,,,,,
2613,中櫃,市,01/26,,24.15,+0.05,+0.21,277,6.67,24.1,24.15,24.3,23.95,1.45,28.8,1.02,,,,,
2617,台航,市,01/26,,31.25,+0.35,+1.13,637,19.8,30.9,30.9,31.3,30.6,2.27,10.1,0.77,,,,,
2618,長榮航,市,01/26,,38.5,-0.3,-0.77,24558,944,38.8,38.8,38.8,38.1,1.8,7.99,1.58,,,,,
