代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
1104,環泥,市,01/29,,30.05,+0.05,+0.17,651,19.6,30,30.05,30.2,29.9,1,12.8,0.89,,,,,
1215,卜蜂,市,01/29,,150.5,-1,-0.66,687,103,151.5,151.5,152,149.5,1.65,14.7,3.82,,,,,
1231,聯華食,市,01/29,,95.5,+1,+1.06,341,32.4,94.5,94.5,95.6,94,1.69,26.5,4.21,,,,,
1264,德麥,櫃,01/29,,279,0,0,35,9.6,279,278.5,279,277,0.72,13.4,3,,,,,
1294,漢田生技,櫃,01/29,,77.1,0,0,37,2.86,77.1,76.7,77.1,76.3,1.04,17.6,2.95,,,,,
1295,生合,櫃,01/29,,83.4,-2,-2.34,128,10.8,85.4,84.7,85.1,83.4,1.99,17.6,2.26,,,,,
1316,上曜,市,01/29,,14.05,-0.15,-1.06,2411,34,14.2,14.3,14.4,14,2.82,,1.15,,,,,
1342,八貫,市,01/29,,94.3,-0.2,-0.21,102,9.6,94.5,94.5,94.5,93.4,1.16,17.3,3.15,,,,,
1402,遠東新,市,01/29,,28.25,-0.05,-0.18,9169,259,28.3,28.3,28.5,28.15,1.24,16.8,0.68,,,,,
1419,新紡,市,01/29,,77,-0.9,-1.16,211,16.2,77.9,78.2,78.2,76.1,2.7,17.3,1.33,,,,,
1439,雋揚,市,01/29,,29.75,0,0,37,1.1,29.75,29.85,29.85,29.1,2.52,10.7,0.96,,,,,
1503,士電,市,01/29,,241.5,-4.5,-1.83,17311,4184,246,247,252,233.5,7.52,38.3,3.46,,,,,
1504,東元,市,01/29,,84.5,-3.2,-3.65,20066,1715,87.7,88.4,88.4,84.5,4.45,33.3,2.26,,,,,
1513,中興電,市,01/29,,178,-7.5,-4.04,14724,2656,185.5,185.5,186.5,177.5,4.85,23.1,4.48,,,,,
1514,亞力,市,01/29,,132.5,-6,-4.33,11597,1557,138.5,137.5,140,131.5,6.14,43.9,5.98,,,,,
1519,華城,市,01/29,,1015,-25,-2.4,4703,4745,1040,1050,1055,989,6.35,74.5,36.59,,,,,
1522,堤維西,市,01/29,,49.6,-0.3,-0.6,1506,74.9,49.9,49.95,50.1,49.3,1.6,42.8,1.76,,,,,
1560,中砂,市,01/29,,429,+1.5,+0.35,2027,872,427.5,430,438,423,3.51,56,8.34,,,,,
1587,吉茂,市,01/29,,47.5,-1.9,-3.85,1510,72.4,49.4,49.5,49.6,47,5.26,226,2.55,,,,,
1590,亞德客-KY,市,01/29,,1040,+15,+1.46,934,971,1025,1030,1065,1020,4.39,26.4,4.34,,,,,
1593,祺驊,櫃,01/29,,30.1,-0.35,-1.15,115,3.46,30.45,30.15,30.15,30,0.49,15.3,0.94,,,,,
1603,華電,市,01/29,,42.9,-0.05,-0.12,809,34.3,42.95,43.2,43.2,41.85,3.14,11.7,0.92,,,,,
1623,大東電,市,01/29,,262.5,-15.5,-5.58,1001,262,278,265,270,257,4.68,,5.84,,,,,
1734,杏輝,市,01/29,,31.2,-0.1,-0.32,289,9.03,31.3,31.3,31.55,31.15,1.28,17.1,1.79,,,,,
1736,喬山,市,01/29,,144.5,-2,-1.37,851,123,146.5,146,146,143,2.05,15.5,3.88,,,,,
1783,和康生,市,01/29,,46.7,-0.7,-1.48,107,4.97,47.4,47,47.05,46.4,1.37,18,2.84,,,,,
1784,訊聯,櫃,01/29,,98.6,+0.8,+0.82,281,27.7,97.8,98.5,100.5,97.5,3.07,70.9,3.95,,,,,
1786,科妍,市,01/29,,81.2,-1.1,-1.34,375,30.4,82.3,83.2,83.2,80.3,3.52,35.5,3.05,,,,,
1808,潤隆,市,01/29,,31.3,-0.05,-0.16,1335,41.9,31.35,31.45,31.75,31.05,2.23,,2.5,,,,,
2059,川湖,市,01/29,,3205,-175,-5.18,1712,5519,3380,3390,3415,3160,7.54,36,12.47,,,,,
2248,華勝-KY,市,01/29,,48,-0.6,-1.23,32,1.54,48.6,48.6,48.6,48,1.23,9.72,1.54,,,,,
2308,台達電,市,01/29,,1255,-25,-1.95,13505,17060,1280,1310,1315,1240,5.86,65.3,13.54,,,,,
2317,鴻海,市,01/29,,224,-1.5,-0.67,56613,12689,225.5,226.5,227.5,222,2.44,16.3,1.91,,,,,
2327,國巨*,市,01/29,,277,-8.5,-2.98,39012,10876,285.5,286,286,275,3.85,27.6,3.62,,,,,
2344,華邦電,市,01/29,,130,+3,+2.36,391188,51108,127,133,136,124,9.45,,6.17,,,,,
2345,智邦,市,01/29,,1170,0,0,4812,5623,1170,1165,1195,1135,5.13,29,13.19,,,,,
2347,聯強,市,01/29,,66.8,+0.1,+0.15,3089,206,66.7,66.6,67,66.1,1.35,12.9,1.5,,,,,
2356,英業達,市,01/29,,45.05,-1.05,-2.28,31967,1442,46.1,46.6,46.6,44.25,5.1,17.9,2.3,,,,,
2357,華碩,市,01/29,,507,-3,-0.59,3452,1754,510,510,513,505,1.57,10.8,1.46,,,,,
2360,致茂,市,01/29,,1015,-20,-1.93,2185,2215,1035,1025,1045,1000,4.35,40.3,14.59,,,,,
2376,技嘉,市,01/29,,237.5,-3,-1.25,3541,844,240.5,241.5,242.5,237.5,2.08,13.2,2.87,,,,,
2382,廣達,市,01/29,,283,-4,-1.39,11253,3196,287,287,288,281.5,2.26,15.9,5.11,,,,,
2383,台光電,市,01/29,,1790,-110,-5.79,4284,7798,1900,1925,1925,1785,7.37,46.1,14.41,,,,,
2404,漢唐,市,01/29,,950,-3,-0.31,3559,3416,953,967,978,948,3.15,21.3,11.44,,,,,
2408,南亞科,市,01/29,,297,0,0,128064,38544,297,306,313,287,8.75,,5.85,,,,,
2412,中華電,市,01/29,,133.5,0,0,10812,1447,133.5,133.5,134.5,133.5,0.75,27,2.75,,,,,
2419,仲琦,市,01/29,,30.8,-1.55,-4.79,7769,244,32.35,32.3,32.9,30.6,7.11,,2.1,,,,,
2421,建準,市,01/29,,152,+2.5,+1.67,2836,428,149.5,150.5,153,147,4.01,21,5.11,,,,,
2423,固緯,市,01/29,,50,-1.9,-3.66,210,10.6,51.9,51.8,53.3,49.9,6.55,17.6,2.6,,,,,
2425,承啟,市,01/29,,29.35,-0.8,-2.65,323,9.56,30.15,30.6,30.6,29.3,4.31,,1.22,,,,,
2428,興勤,市,01/29,,171,-2.5,-1.44,672,115,173.5,174,174,169,2.88,14.8,2.1,,,,,
2432,倚天酷碁-創,市,01/29,,24.65,-0.25,-1,25,0.61,24.9,24.8,24.9,24.6,1.2,14.8,1.33,,,,,
2442,新美齊,市,01/29,,21.4,-0.6,-2.73,1628,35,22,21.9,21.9,21.25,2.95,23.5,1.18,,,,,
2453,凌群,市,01/29,,58.7,+0.3,+0.51,1481,85.5,58.4,58.4,58.9,56.2,4.62,18.5,2.76,,,,,
2467,志聖,市,01/29,,257,+14,+5.76,3698,931,243,245.5,259,239.5,8.02,50.7,7.32,,,,,
2471,資通,市,01/29,,52,-0.8,-1.52,131,6.85,52.8,52.8,52.8,52,1.52,16,2.89,,,,,
2472,立隆電,市,01/29,,111.5,-3.5,-3.04,2658,299,115,115.5,116,111,4.35,15.4,2.28,,,,,
2476,鉅祥,市,01/29,,87.5,-2.5,-2.78,1926,170,90,90.1,91.2,87.4,4.22,22,2.3,,,,,
2480,敦陽科,市,01/29,,139,-1,-0.71,205,28.7,140,140,141,139,1.43,17.6,4.51,,,,,
2493,揚博,市,01/29,,112.5,0,0,763,86.4,112.5,113,116,111.5,4,25.4,4.64,,,,,
2501,國建,市,01/29,,22.55,+0.2,+0.89,920,20.7,22.35,22.4,22.65,22.2,2.01,9.28,0.9,,,,,
2515,中工,市,01/29,,14.05,-0.15,-1.06,16110,230,14.2,14.4,14.75,13.95,5.63,34.3,0.97,,,,,
2543,皇昌,市,01/29,,64.9,+0.2,+0.31,1458,94.8,64.7,65,65.5,64.3,1.85,20,3.57,,,,,
2596,綠意,櫃,01/29,,33.75,+0.4,+1.2,185,6.19,33.35,33.35,33.75,33.05,2.1,16.7,1.67,,,,,
2597,潤弘,市,01/29,,170.5,-0.5,-0.29,368,62.4,171,171,171,168,1.75,16.1,6.76,,,,,
2610,華航,市,01/29,,22.3,-0.2,-0.89,26619,595,22.5,22.5,22.65,22.2,2,9.03,1.44,,,,,
2612,中航,市,01/29,,62.9,-1.5,-2.33,4810,306,64.4,63.7,65.4,62.2,4.97,8.77,0.97,,,,,
2613,中櫃,市,01/29,,24.8,-0.1,-0.4,835,20.9,24.9,25.1,25.3,24.7,2.41,29.5,1.05,,,,,
2617,台航,市,01/29,,31.5,-0.5,-1.56,776,24.6,32,32.2,32.2,31.5,2.19,10.2,0.77,,,,,
2618,長榮航,市,01/29,,37.95,-0.15,-0.39,24690,935,38.1,38.1,38.15,37.6,1.44,7.87,1.56,,,,,
2633,台灣高鐵,市,01/29,,27.6,+0.4,+1.47,7456,204,27.2,27.2,27.6,27.2,1.47,24.4,2.18,,,,,
2634,漢翔,市,01/29,,55.4,+0.9,+1.65,12274,682,54.5,55.1,56.6,54.5,3.85,69.2,3.07,,,,,
2640,大車隊,櫃,01/29,,126.5,-0.5,-0.39,17,2.2,127,127,127,126.5,0.39,14,3.67,,,,,
2641,正德,櫃,01/29,,20.65,-0.3,-1.43,3736,77.6,20.95,21.15,21.15,20.6,2.63,10.6,0.89,,,,,
2643,捷迅,櫃,01/29,,72.9,+0.6,+0.83,34,2.43,72.3,72,72.9,72,1.24,10.9,1.35,,,,,
2645,長榮航太,市,01/29,,169.5,+2.5,+1.5,7359,1258,167,167.5,175.5,165.5,5.99,32,4.85,,,,,
2646,星宇航空,市,01/29,,23.05,-0.05,-0.22,5042,116,23.1,23.1,23.1,22.95,0.65,256,2.14,,,,,
2706,第一店,市,01/29,,12.9,0,0,52,0.66,12.9,12.9,12.9,12.85,0.39,22.2,0.66,,,,,
2739,寒舍,市,01/29,,34,+0.1,+0.29,82,2.79,33.9,34,34.3,33.85,1.33,19.9,2.07,,,,,
2751,王座,櫃,01/29,,60,-0.5,-0.83,20,1.2,60.5,60.1,60.5,60,0.83,13.6,2.9,,,,,
