代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
1104,環泥,市,02/05,,29.8,-0.05,-0.17,202,6.01,29.85,29.85,29.9,29.65,0.84,12.7,0.88,,,,,
1215,卜蜂,市,02/05,,149,-0.5,-0.33,385,57.4,149.5,150,150.5,148.5,1.34,14.6,3.78,,,,,
1231,聯華食,市,02/05,,94.4,+0.3,+0.32,281,26.6,94.1,94.1,95.5,94.1,1.49,26.1,4.17,,,,,
1264,德麥,櫃,02/05,,280,+1,+0.36,8,2.34,279,279,280,279,0.36,13.4,3.01,,,,,
1294,漢田生技,櫃,02/05,,79,-0.9,-1.13,23,1.79,79.9,79.9,80.4,78.1,2.88,18,3.02,,,,,
1295,生合,櫃,02/05,,77.9,-1.5,-1.89,67,5.26,79.4,78.3,79.1,77.9,1.51,16.4,2.11,,,,,
1316,上曜,市,02/05,,13.95,-0.15,-1.06,2536,35.9,14.1,14,14.45,13.95,3.55,,1.15,,,,,
1342,八貫,市,02/05,,96.9,+1.4,+1.47,195,18.9,95.5,95.5,97,95.5,1.57,17.8,3.23,,,,,
1402,遠東新,市,02/05,,28.6,+0.4,+1.42,9329,266,28.2,28.2,28.6,28.2,1.42,17,0.69,,,,,
1419,新紡,市,02/05,,68.8,-1.5,-2.13,135,9.37,70.3,70,71,68.6,3.41,15.4,1.19,,,,,
1439,雋揚,市,02/05,,29.85,0,0,20,0.6,29.85,29.9,30,29.4,2.01,10.7,0.96,,,,,
1503,士電,市,02/05,,211.5,-10,-4.51,3580,766,221.5,218,223,209.5,6.09,33.6,3.03,,,,,
1504,東元,市,02/05,,79.8,-2.9,-3.51,9202,742,82.7,82.1,82.2,79.6,3.14,31.4,2.13,,,,,
1513,中興電,市,02/05,,164.5,-6,-3.52,5811,964,170.5,168,170.5,163.5,4.11,21.3,4.14,,,,,
