代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
1104,環泥,市,02/02,,29.4,-0.25,-0.84,606,17.7,29.65,29.6,29.6,29.1,1.69,12.5,0.87,,,,,
1215,卜蜂,市,02/02,,148,-0.5,-0.34,411,60.8,148.5,148.5,149,146.5,1.68,14.5,3.75,,,,,
1231,聯華食,市,02/02,,93.5,-0.6,-0.64,515,47.9,94.1,93.9,93.9,92.3,1.7,25.9,4.13,,,,,
1264,德麥,櫃,02/02,,279,0,0,25,6.85,279,279,287,277,3.58,13.4,3,,,,,
1294,漢田生技,櫃,02/02,,75.5,-0.4,-0.53,28,2.12,75.9,75,76.4,73.6,3.69,17.2,2.89,,,,,
1295,生合,櫃,02/02,,79.5,-2.1,-2.57,99,7.87,81.6,81.6,81.6,78,4.41,16.8,2.16,,,,,
1316,上曜,市,02/02,,13.7,-0.2,-1.44,1789,24.6,13.9,13.9,13.9,13.6,2.16,,1.13,,,,,
1342,八貫,市,02/02,,93.9,+0.6,+0.64,226,21.1,93.3,93,94.1,91.7,2.57,17.2,3.13,,,,,
1402,遠東新,市,02/02,,27.75,-0.05,-0.18,8766,241,27.8,27.8,27.8,27.25,1.98,16.5,0.67,,,,,
1419,新紡,市,02/02,,67.1,-7,-9.45,548,38.2,74.1,72.6,72.6,67.1,7.42,15,1.16,,,,,
1439,雋揚,市,02/02,,29.9,-0.05,-0.17,17,0.52,29.95,30,30,29.65,1.17,10.7,0.96,,,,,
1503,士電,市,02/02,,216,-13,-5.68,6545,1424,229,224.5,226,212.5,5.9,34.3,3.1,,,,,
1504,東元,市,02/02,,79.1,-2.7,-3.3,23397,1853,81.8,80.5,81.3,78,4.03,31.1,2.11,,,,,
1513,中興電,市,02/02,,163.5,-5,-2.97,8637,1413,168.5,165.5,167,161,3.56,21.2,4.11,,,,,
1514,亞力,市,02/02,,121.5,-2,-1.62,6219,749,123.5,120,122,118.5,2.83,40.2,5.48,,,,,
1519,華城,市,02/02,,942,-28,-2.89,3699,3492,970,950,961,931,3.09,69.1,33.96,,,,,
1522,堤維西,市,02/02,,48.2,-1.1,-2.23,986,47.9,49.3,49.1,49.3,48.05,2.54,41.6,1.71,,,,,
1560,中砂,市,02/02,,415,+8.5,+2.09,2164,886,406.5,400,417.5,399.5,4.43,54.2,8.06,,,,,
1587,吉茂,市,02/02,,44.1,-2.05,-4.44,1004,44.9,46.15,45.2,45.75,43.8,4.23,210,2.37,,,,,
1590,亞德客-KY,市,02/02,,1170,+30,+2.63,2157,2502,1140,1135,1195,1130,5.7,29.7,4.89,,,,,
1593,祺驊,櫃,02/02,,29.25,-0.3,-1.02,20,0.59,29.55,29.1,29.25,29,0.85,14.8,0.91,,,,,
1603,華電,市,02/02,,40.65,-0.5,-1.22,952,38.9,41.15,41.25,41.75,40.2,3.77,11.1,0.87,,,,,
1623,大東電,市,02/02,,232,-14,-5.69,465,109,246,240,244,230.5,5.49,,5.16,,,,,
1734,杏輝,市,02/02,,30.85,-0.2,-0.64,271,8.33,31.05,30.95,30.95,30.55,1.29,17,1.77,,,,,
1736,喬山,市,02/02,,145.5,-2.5,-1.69,641,93.9,148,147,148,144.5,2.36,15.6,3.9,,,,,
1783,和康生,市,02/02,,45.9,-0.3,-0.65,80,3.68,46.2,46.15,46.15,45.5,1.41,17.7,2.79,,,,,
1784,訊聯,櫃,02/02,,94.8,-1.6,-1.66,297,28.1,96.4,96,96,93.5,2.59,68.2,3.8,,,,,
1786,科妍,市,02/02,,76.5,-2,-2.55,201,15.4,78.5,77.3,77.6,76.5,1.4,33.4,2.88,,,,,
1808,潤隆,市,02/02,,32.35,+1,+3.19,1296,41.6,31.35,31.75,32.35,31.7,2.07,,2.58,,,,,
2059,川湖,市,02/02,,3065,-75,-2.39,696,2148,3140,3120,3150,3050,3.18,34.4,11.93,,,,,
2248,華勝-KY,市,02/02,,47.55,-0.45,-0.94,9,0.43,48,48,48,47.1,1.87,9.63,1.52,,,,,
2308,台達電,市,02/02,,1175,-45,-3.69,13451,15815,1220,1185,1200,1160,3.28,61.1,12.68,,,,,
2317,鴻海,市,02/02,,214.5,-6,-2.72,65660,14146,220.5,219.5,220,213.5,2.95,15.6,1.83,,,,,
2327,國巨*,市,02/02,,258,-19.5,-7.03,42685,11132,277.5,267,270,255.5,5.23,25.7,3.37,,,,,
2344,華邦電,市,02/02,,116,-12.5,-9.73,166068,19560,128.5,121.5,122.5,116,5.06,,5.5,,,,,
2345,智邦,市,02/02,,1140,+25,+2.24,4368,4977,1115,1100,1160,1100,5.38,28.3,12.85,,,,,
2347,聯強,市,02/02,,65.5,0,0,3822,250,65.5,65.7,66.2,64.8,2.14,12.6,1.47,,,,,
