代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
1268,漢來美食,櫃,03/16,,159.5,+1,+0.63,20,3.11,158.5,159.5,159.5,158,0.95,15.8,2.92,,,,,
1472,三洋實業,市,03/16,,92,+0.7,+0.77,190,17.4,91.3,91.8,92.2,91.5,0.77,14.4,2.1,,,,,
1560,中砂,市,03/16,,453.5,-6.5,-1.41,1505,685,460,463,463,450.5,2.72,48.9,8.2,,,,,
1815,富喬,櫃,03/16,,110,+2.5,+2.33,9947,1094,107.5,112.5,112.5,107.5,4.65,102,7.15,,,,,
2059,川湖,市,03/16,,3320,-45,-1.34,356,1186,3365,3385,3385,3280,3.12,32.2,11.29,,,,,
2344,華邦電,市,03/16,,117,+8,+7.34,201277,23380,109,113.5,118,113,4.59,133,4.88,,,,,
2360,致茂,市,03/16,,1450,-80,-5.23,2102,3099,1530,1520,1530,1450,5.23,52.3,19.26,,,,,
2368,金像電,市,03/16,,909,-26,-2.78,7396,6848,935,956,956,907,5.24,46.7,13.72,,,,,
2376,技嘉,市,03/16,,236.5,+3.5,+1.5,5148,1218,233,237,239,232,3,13,2.68,,,,,
2382,廣達,市,03/16,,289,0,0,14729,4272,289,290,292,287.5,1.56,14.9,4.58,,,,,
2383,台光電,市,03/16,,2585,-120,-4.44,4463,11862,2705,2785,2785,2575,7.76,62,18.36,,,,,
2408,南亞科,市,03/16,,261.5,+23.5,+9.87,93491,23973,238,247,261.5,245.5,6.72,123,4.76,,,,,
2425,承啟,市,03/16,,31.05,+0.4,+1.31,461,14.3,30.65,30.65,31.6,30.25,4.4,-,1.24,,,,,
2646,星宇航空,市,03/16,,21.65,+0.15,+0.7,3902,84.1,21.5,21.65,21.8,21.3,2.33,241,2.07,,,,,
2727,王品,市,03/16,,225.5,-2.5,-1.1,289,65.3,228,228.5,228.5,225.5,1.32,14.1,3.97,,,,,
2729,瓦城,櫃,03/16,,166.5,-0.5,-0.3,74,12.4,167,167,168.5,166,1.5,21.2,2.93,,,,,
2731,雄獅,市,03/16,,172.5,-1,-0.58,612,106,173.5,174.5,175.5,172,2.02,9.86,3.25,,,,,
