代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
1216,統一,市,03/04,,71.6,-2.3,-3.11,12206,878,73.9,73,73.4,71.6,2.44,20.6,3.19,,,,,
1232,大統益,市,03/04,,150.5,-1.5,-0.99,140,21.2,152,151,151.5,150,0.99,18.2,4.08,,,,,
1264,德麥,櫃,03/04,,278.5,-1.5,-0.54,27,7.46,280,280,280,278,0.71,13.4,3,,,,,
1268,漢來美食,櫃,03/04,,159.5,-1,-0.62,71,11.2,160.5,159.5,159.5,157,1.56,15.9,3.04,,,,,
1294,漢田生技,櫃,03/04,,78.8,+0.1,+0.13,164,12.9,78.7,79,81,78,3.81,17.9,3.01,,,,,
1307,三芳,市,03/04,,32.85,-2.25,-6.41,2217,73.4,35.1,34.6,34.6,32.3,6.55,11.1,1.38,,,,,
1316,上曜,市,03/04,,12.7,-0.6,-4.51,3708,47.6,13.3,13.3,13.3,12.7,4.51,-,1.04,,,,,
1342,八貫,市,03/04,,96.1,-3.9,-3.9,903,87.8,100,98.8,98.8,96.1,2.7,17.1,3.13,,,,,
1419,新紡,市,03/04,,64.5,-1.7,-2.57,443,28.7,66.2,65.3,66.1,64.1,3.02,14.5,1.12,,,,,
1472,三洋實業,市,03/04,,89.5,-1,-1.1,24,2.17,90.5,89,91,88.9,2.32,13.9,2.12,,,,,
1503,士電,市,03/04,,198.5,-16,-7.46,4796,971,214.5,208,211.5,198.5,6.06,31.5,2.85,,,,,
1560,中砂,市,03/04,,464,-33.5,-6.73,4761,2250,497.5,492.5,495.5,461,6.93,60.6,9.02,,,,,
1587,吉茂,市,03/04,,38.85,-2.8,-6.72,1132,44.7,41.65,40.1,40.7,38.65,4.92,185,2.09,,,,,
1609,大亞,市,03/04,,37.65,-2.25,-5.64,7648,291,39.9,39.05,39.3,37.5,4.51,20.2,1.77,,,,,
1623,大東電,市,03/04,,204.5,-13,-5.98,436,88.8,217.5,208,210.5,200,4.83,-,4.55,,,,,
1718,中纖,市,03/04,,6.96,-0.25,-3.47,7419,52.1,7.21,7.22,7.22,6.95,3.74,-,0.42,,,,,
1726,永記,市,03/04,,76.2,-1.3,-1.68,34,2.58,77.5,77.1,77.1,76.2,1.16,13.3,1.23,,,,,
1788,杏昌,櫃,03/04,,136.5,0,0,18,2.43,136.5,136.5,136.5,136,0.37,17.4,2.05,,,,,
1799,易威,櫃,03/04,,28.25,-1.3,-4.4,227,6.47,29.55,29,29,28.25,2.54,-,5.26,,,,,
1815,富喬,櫃,03/04,,103.5,-9,-8,80932,8536,112.5,109,111.5,102,8.44,95.8,6.73,,,,,
2022,聚亨,市,03/04,,8.63,-0.42,-4.64,888,7.75,9.05,9,9,8.62,4.2,-,0.87,,,,,
2059,川湖,市,03/04,,3170,-110,-3.35,587,1864,3280,3200,3260,3085,5.34,30.7,10.78,,,,,
2103,台橡,市,03/04,,19,-0.65,-3.31,11301,213,19.65,19.15,19.45,18.4,5.34,146,0.82,,,,,
2207,和泰車,市,03/04,,524,-26,-4.73,639,339,550,543,543,524,3.45,16,3.69,,,,,
2236,百達-KY,市,03/04,,109.5,-4,-3.52,427,46.7,113.5,111.5,112,105,6.17,20.1,3.31,,,,,
2327,國巨*,市,03/04,,259,-21.5,-7.66,42761,11244,280.5,270,275,256,6.77,25.8,3.39,,,,,
2330,台積電,市,03/04,,1865,-70,-3.62,84647,159499,1935,1895,1910,1865,2.33,28.1,8.92,,,,,
2344,華邦電,市,03/04,,104,-8.5,-7.56,182140,19099,112.5,106,109.5,102,6.67,118,4.34,,,,,
2360,致茂,市,03/04,,1340,-55,-3.94,4740,6137,1395,1300,1350,1260,6.45,53.2,19.26,,,,,
2368,金像電,市,03/04,,709,-57,-7.44,9464,6792,766,748,759,697,8.09,43.7,13.16,,,,,
2376,技嘉,市,03/04,,214,-15,-6.55,10610,2304,229,219.5,224,214,4.37,11.8,2.58,,,,,
2377,微星,市,03/04,,93.8,-2.2,-2.29,7814,735,96,94.5,95.4,92,3.54,17.3,1.52,,,,,
2379,瑞昱,市,03/04,,445,-18,-3.89,4367,1961,463,454.5,456,445,2.38,15.5,4.39,,,,,
2382,廣達,市,03/04,,281,-13.5,-4.58,32155,9129,294.5,289,289.5,281,2.89,-,4.46,,,,,
2383,台光電,市,03/04,,2190,-130,-5.6,3829,8514,2320,2255,2295,2180,4.96,56.4,17.64,,,,,
2395,研華,市,03/04,,311.5,-18.5,-5.61,4359,1382,330,324.5,325,311.5,4.09,25.4,4.91,,,,,
2408,南亞科,市,03/04,,234.5,-22,-8.58,106986,25342,256.5,238,246.5,231,6.04,-,4.62,,,,,
2414,精技,市,03/04,,41.2,-0.8,-1.9,297,12.3,42,41.7,41.7,41.05,1.55,13.3,2.15,,,,,
2421,建準,市,03/04,,134.5,-8.5,-5.94,3860,526,143,138.5,139.5,133,4.55,18.6,4.52,,,,,
2427,三商電,市,03/04,,24.85,-1.4,-5.33,1278,32.3,26.25,26.1,26.2,24.55,6.29,16.2,1.53,,,,,
2428,興勤,市,03/04,,168.5,-10.5,-5.87,872,149,179,178,179,168,6.15,14.6,2.07,,,,,
2436,偉詮電,市,03/04,,54.7,-3.1,-5.36,4726,261,57.8,57.2,57.2,54.1,5.36,28.5,2.78,,,,,
2449,京元電子,市,03/04,,278,-27,-8.85,21867,6191,305,291.5,296.5,276,6.72,31.5,7.22,,,,,
2451,創見,市,03/04,,199,-3.5,-1.73,5719,1133,202.5,197.5,205,191.5,6.67,31.1,4.37,,,,,
2467,志聖,市,03/04,,365,-23,-5.93,6226,2287,388,374,383.5,351,8.38,72,10.39,,,,,
2476,鉅祥,市,03/04,,75.9,-4.5,-5.6,2140,164,80.4,80,80,75.3,5.85,19.1,2,,,,,
2480,敦陽科,市,03/04,,141.5,-2.5,-1.74,487,68.8,144,142,143,140,2.08,17.7,4.27,,,,,
2515,中工,市,03/04,,16.65,-0.85,-4.86,28365,476,17.5,17.3,17.4,16.25,6.57,40.6,1.15,,,,,
2535,達欣工,市,03/04,,70.5,-1.9,-2.62,515,36.4,72.4,71.4,71.5,70.1,1.93,11.6,1.87,,,,,
2597,潤弘,市,03/04,,166,-4.5,-2.64,527,87.7,170.5,168.5,169.5,165,2.64,15.7,6.58,,,,,
2613,中櫃,市,03/04,,26.1,-1.65,-5.95,14269,402,27.75,29.45,30,25.65,15.7,31.1,1.1,,,,,
2640,大車隊,櫃,03/04,,124,0,0,77,9.51,124,123,124,122.5,1.21,13.7,3.6,,,,,
2641,正德,櫃,03/04,,20.1,-0.85,-4.06,10307,211,20.95,21.1,21.25,20,5.97,10.3,0.86,,,,,
2645,長榮航太,市,03/04,,164.5,-6.5,-3.8,3466,580,171,171,173.5,163.5,5.85,31.1,4.7,,,,,
2646,星宇航空,市,03/04,,21.9,-0.6,-2.67,9973,219,22.5,22.3,22.35,21.85,2.22,243,2.04,,,,,
2727,王品,市,03/04,,215.5,-3.5,-1.6,550,119,219,218,218.5,214.5,1.83,14.1,4.15,,,,,
2748,雲品,市,03/04,,39.6,-1.4,-3.41,265,10.6,41,40.2,40.35,39.6,1.83,17.2,1.45,,,,,
2752,豆府,櫃,03/04,,207,-2.5,-1.19,13,2.74,209.5,208,208,207,0.48,13.2,4.3,,,,,
2753,八方雲集,市,03/04,,181,-3.5,-1.9,294,53.4,184.5,184,184,180.5,1.9,15.4,3.49,,,,,
2755,揚秦,櫃,03/04,,135,+3.5,+2.66,249,32.8,131.5,127.5,136.5,127,7.22,22.7,5.11,,,,,
2762,世界健身-KY,市,03/04,,77.8,-0.7,-0.89,100,7.71,78.5,78,78,76.2,2.29,20.7,2.94,,,,,
