代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
1216,統一,市,03/02,,73.6,+1.1,+1.52,15888,1167,72.5,73.5,73.8,72.8,1.38,21.1,3.28,,,,,
1232,大統益,市,03/02,,153,+1.5,+0.99,191,28.9,151.5,151,153.5,149.5,2.64,18.5,4.15,,,,,
1264,德麥,櫃,03/02,,284,+1.5,+0.53,42,11.9,282.5,282,284,280,1.42,13.6,3.06,,,,,
1268,漢來美食,櫃,03/02,,160.5,0,0,21,3.41,160.5,160,160.5,160,0.31,16,3.06,,,,,
1294,漢田生技,櫃,03/02,,78.6,-0.1,-0.13,24,1.83,78.7,77.1,78.6,77.1,1.91,17.9,3.01,,,,,
1307,三芳,市,03/02,,34.1,-1.15,-3.26,1219,41.9,35.25,34.5,35.1,34,3.12,11.5,1.44,,,,,
1316,上曜,市,03/02,,13.4,-0.25,-1.83,4387,62,13.65,13.1,13.6,13.1,3.66,-,1.1,,,,,
1342,八貫,市,03/02,,101.5,0,0,466,47.5,101.5,100,102.5,100,2.46,18.1,3.3,,,,,
1419,新紡,市,03/02,,67.4,-0.4,-0.59,132,8.92,67.8,67.6,67.8,66.7,1.62,15.1,1.17,,,,,
1472,三洋實業,市,03/02,,88.9,-2.1,-2.31,41,3.62,91,85.8,90.4,85.8,5.05,13.8,2.1,,,,,
1503,士電,市,03/02,,226,-10,-4.24,5710,1302,236,225,233,225,3.39,35.9,3.24,,,,,
1560,中砂,市,03/02,,506,-18,-3.44,2517,1278,524,495,522,495,5.15,66.1,9.83,,,,,
1587,吉茂,市,03/02,,43.45,+0.15,+0.35,576,24.8,43.3,43,43.45,42.45,2.31,207,2.33,,,,,
1590,亞德客-KY,市,03/02,,1245,+40,+3.32,1067,1314,1205,1135,1265,1135,10.8,31.6,5.2,,,,,
1609,大亞,市,03/02,,41.1,+0.3,+0.74,5380,219,40.8,39.8,41.4,39.55,4.53,22.1,1.93,,,,,
1623,大東電,市,03/02,,225,-8,-3.43,233,52.4,233,224.5,230,217,5.58,-,5.01,,,,,
1718,中纖,市,03/02,,7.1,-0.04,-0.56,5233,37.4,7.14,7.16,7.25,7.08,2.38,-,0.43,,,,,
1726,永記,市,03/02,,77.5,-0.3,-0.39,15,1.13,77.8,77.8,77.8,76.8,1.29,13.5,1.25,,,,,
1788,杏昌,櫃,03/02,,137,0,0,22,3.05,137,136,137,136,0.73,17.4,2.06,,,,,
1799,易威,櫃,03/02,,31.3,-0.6,-1.88,186,5.84,31.9,32,32,31.1,2.82,-,5.83,,,,,
1815,富喬,櫃,03/02,,107.5,-3,-2.71,63575,6784,110.5,103.5,110,102.5,6.79,99.5,6.99,,,,,
2022,聚亨,市,03/02,,9.14,+0.01,+0.11,905,8.27,9.13,9.1,9.24,9.02,2.41,-,0.92,,,,,
2059,川湖,市,03/02,,3420,-25,-0.73,806,2769,3445,3395,3520,3350,4.93,33.1,11.63,,,,,
2103,台橡,市,03/02,,18.9,-1.6,-7.8,22810,446,20.5,20.6,20.65,18.8,9.02,145,0.82,,,,,
2207,和泰車,市,03/02,,575,-10,-1.71,473,269,585,575,575,558,2.91,17.5,4.05,,,,,
2236,百達-KY,市,03/02,,113.5,-1.5,-1.3,192,21.8,115,113,116,112.5,3.04,20.8,3.43,,,,,
2327,國巨*,市,03/02,,292,-6,-2.01,30120,8778,298,282,297.5,282,5.2,29.1,3.82,,,,,
2330,台積電,市,03/02,,1975,-20,-1,57405,113190,1995,1940,1995,1940,2.76,29.8,9.45,,,,,
2344,華邦電,市,03/02,,124.5,+2,+1.63,155982,19106,122.5,115,127,115,9.8,141,5.19,,,,,
2360,致茂,市,03/02,,1515,+135,+9.78,10659,15855,1380,1420,1515,1385,9.42,60.2,21.77,,,,,
2368,金像電,市,03/02,,787,-39,-4.72,7951,6319,826,784,806,781,3.03,48.5,14.61,,,,,
2376,技嘉,市,03/02,,236.5,-3,-1.25,4246,1004,239.5,234.5,239.5,232,3.13,13.1,2.86,,,,,
2377,微星,市,03/02,,98.6,+4.3,+4.56,19799,1936,94.3,93.9,99.8,93,7.21,18.2,1.6,,,,,
2379,瑞昱,市,03/02,,477.5,-4,-0.83,3127,1491,481.5,481.5,481.5,472,1.97,16.6,4.72,,,,,
2382,廣達,市,03/02,,301,+9.5,+3.26,45426,13552,291.5,291.5,302,289,4.46,16.9,5.43,,,,,
2383,台光電,市,03/02,,2380,-60,-2.46,3331,7929,2440,2280,2435,2280,6.35,61.3,19.17,,,,,
2395,研華,市,03/02,,336.5,0,0,5796,1946,336.5,340,342.5,331,3.42,27.5,5.3,,,,,
2408,南亞科,市,03/02,,285,-0.5,-0.18,53402,15059,285.5,268,291,267.5,8.23,-,5.61,,,,,
2414,精技,市,03/02,,42.2,-0.9,-2.09,252,10.7,43.1,43.1,43.1,42,2.55,13.7,2.2,,,,,
2421,建準,市,03/02,,154.5,+2,+1.31,10379,1600,152.5,155,157,149.5,4.92,21.3,5.2,,,,,
2427,三商電,市,03/02,,26.45,-0.3,-1.12,847,22.4,26.75,26.65,26.65,26.2,1.68,17.3,1.63,,,,,
2428,興勤,市,03/02,,187.5,-2,-1.06,559,104,189.5,182,188.5,181.5,3.69,16.2,2.3,,,,,
2436,偉詮電,市,03/02,,59.8,-2.4,-3.86,4208,255,62.2,60,61.8,59.6,3.54,31.1,3.04,,,,,
2449,京元電子,市,03/02,,316,-11,-3.36,13137,4161,327,313.5,322,308,4.28,35.8,8.21,,,,,
2451,創見,市,03/02,,218.5,+8.5,+4.05,4894,1049,210,202,222,201,10,34.1,4.79,,,,,
