代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,今年 累計 漲跌價,今年 累計 漲跌幅,3個月 累計 漲跌價,3個月 累計 漲跌幅,半年 累計 漲跌價,半年 累計 漲跌幅,1年 累計 漲跌價,1年 累計 漲跌幅,2年 累計 漲跌價,2年 累計 漲跌幅
4989,榮科,54.3,1.8,3.43,40316,01/02,1.8,3.43,24.85,84.4,38.3,239.0,35.9,195.0,28.45,110.0
5234,達興材料,381.5,34.5,9.94,1980,01/02,34.5,9.94,-4.5,-1.17,127.0,49.9,186.5,95.6,280.0,276.0
5263,智崴,113.5,10.0,9.66,2158,01/02,10.0,9.66,26.0,29.7,20.0,21.4,-29.5,-20.6,-1.0,-0.87
5288,豐祥-KY,147.0,5.0,3.52,749,01/02,5.0,3.52,29.5,25.1,2.0,1.38,-55.0,-27.2,-34.5,-19.0
5289,宜鼎,595.0,19.0,3.3,6594,01/02,19.0,3.3,255.5,75.3,352.5,145.0,382.0,179.0,296.0,99.0
5351,鈺創,55.8,5.0,9.84,34121,01/02,5.0,9.84,20.95,60.1,28.7,106.0,19.95,55.6,4.6,8.98
5386,青雲,93.0,1.5,1.64,6556,01/02,1.5,1.64,30.0,47.6,20.7,28.6,14.4,18.3,37.8,68.5
5443,均豪,94.0,8.5,9.94,4583,01/02,8.5,9.94,-16.0,-14.5,7.3,8.42,-13.0,-12.1,63.3,206.0
5452,佶優,30.9,2.7,9.57,11361,01/02,2.7,9.57,6.75,28.0,5.6,22.1,-0.8,-2.52,5.65,22.4
5483,中美晶,110.5,4.0,3.76,11530,01/02,4.0,3.76,-7.5,-6.36,14.2,14.7,-24.0,-17.8,-82.5,-42.7
6116,彩晶,7.99,0.19,2.44,21863,01/02,0.19,2.44,-0.04,-0.5,0.84,11.7,-0.06,-0.75,-3.51,-30.5
6126,信音,31.8,1.05,3.41,1481,01/02,1.05,3.41,4.8,17.8,9.75,44.2,2.9,10.0,1.95,6.53
6127,九豪,37.5,3.4,9.97,19083,01/02,3.4,9.97,13.0,53.1,17.8,90.4,10.15,37.1,10.15,37.1
6147,頎邦,54.6,0.7,1.3,4634,01/02,0.7,1.3,-0.5,-0.91,-0.4,-0.73,-9.0,-14.2,-19.7,-26.5
6150,撼訊,67.7,2.7,4.15,861,01/02,2.7,4.15,-16.2,-19.3,1.5,2.27,-2.4,-3.42,-23.5,-25.8
6155,鈞寶,48.45,4.4,9.99,10917,01/02,4.4,9.99,24.55,103.0,25.65,112.0,22.55,87.1,22.15,84.2
6173,信昌電,70.3,2.9,4.3,21066,01/02,2.9,4.3,17.2,32.4,33.45,90.8,27.95,66.0,22.7,47.7
6175,立敦,54.9,3.4,6.6,9015,01/02,3.4,6.6,15.2,38.3,20.25,58.4,16.25,42.0,18.35,50.2
6187,萬潤,372.5,8.5,2.34,2615,01/02,8.5,2.34,-2.5,-0.67,-27.0,-6.76,-28.5,-7.11,233.0,167.0
6192,巨路,111.5,4.0,3.72,833,01/02,4.0,3.72,10.0,9.85,11.6,11.6,0.0,0.0,23.4,26.6
6196,帆宣,276.0,1.0,0.36,2127,01/02,1.0,0.36,30.5,12.4,87.0,46.0,128.5,87.1,138.0,100.0
6197,佳必琪,152.5,13.5,9.71,2036,01/02,13.5,9.71,-10.0,-6.15,8.5,5.9,6.5,4.45,70.1,85.1
6204,艾華,85.0,6.0,7.59,639,01/02,6.0,7.59,16.9,24.8,21.8,34.5,26.0,44.1,-45.0,-34.6
6207,雷科,49.65,2.0,4.2,930,01/02,2.0,4.2,-8.35,-14.4,4.8,10.7,-4.35,-8.06,16.45,49.5
6213,聯茂,116.5,3.0,2.64,9450,01/02,3.0,2.64,13.5,13.1,31.6,37.2,37.8,48.0,31.3,36.7
6224,聚鼎,44.2,1.2,2.79,259,01/02,1.2,2.79,-2.35,-5.05,-2.1,-4.54,-11.8,-21.1,-13.9,-23.9
6239,力成,183.5,10.5,6.07,20225,01/02,10.5,6.07,31.5,20.7,49.0,36.4,64.5,54.2,48.0,35.4
6257,矽格,117.0,0.5,0.43,27541,01/02,0.5,0.43,27.2,30.3,33.3,39.8,48.9,71.8,52.0,80.0
6265,方土昶,33.45,1.3,4.04,67288,01/02,1.3,4.04,21.3,175.0,24.35,268.0,22.95,219.0,23.05,222.0
6270,倍微,22.5,0.1,0.45,817,01/02,0.1,0.45,0.35,1.58,1.3,6.13,-2.75,-10.9,-3.8,-14.4
6282,康舒,43.8,1.5,3.55,61038,01/02,1.5,3.55,13.45,44.3,18.2,71.1,13.0,42.2,3.7,9.23
6284,佳邦,83.9,2.0,2.44,3769,01/02,2.0,2.44,9.3,12.5,13.2,18.7,0.3,0.36,5.5,7.02
6461,益得,19.55,1.75,9.83,582,01/02,1.75,9.83,1.65,9.22,2.15,12.4,-6.8,-25.8,-10.65,-35.3
6485,點序,86.1,7.8,9.96,5787,01/02,7.8,9.96,22.3,35.0,33.8,64.6,43.1,100.0,-24.4,-22.1
6531,愛普*,458.5,10.5,2.34,7411,01/02,10.5,2.34,96.5,26.7,174.0,61.2,148.5,47.9,-13.5,-2.86
6640,均華,653.0,22.0,3.49,780,01/02,22.0,3.49,-43.0,-6.18,-22.0,-3.26,49.0,8.11,499.0,324.0
6658,聯策,60.9,2.3,3.92,1765,01/02,2.3,3.92,2.9,5.0,-27.0,-30.7,-12.9,-17.5,18.3,43.0
6693,廣閎科,82.1,1.1,1.36,324,01/02,1.1,1.36,20.2,32.6,23.8,40.8,-1.3,-1.56,16.3,24.8
6698,旭暉應材,33.9,3.05,9.89,688,01/02,3.05,9.89,-0.45,-1.31,5.35,18.7,-5.4,-13.7,3.75,12.4
6770,力積電,42.1,2.55,6.45,352858,01/02,2.55,6.45,14.9,54.8,24.45,139.0,26.4,168.0,14.0,49.8
6776,展碁國際,53.9,0.2,0.37,3129,01/02,0.2,0.37,1.4,2.67,-6.3,-10.5,-7.1,-11.6,-3.4,-5.93
6834,天二科技,29.75,1.25,4.39,710,01/02,1.25,4.39,0.75,2.59,-0.6,-1.98,-0.95,-3.09,5.4,22.2
6903,巨漢,246.0,9.0,3.8,4901,01/02,9.0,3.8,108.5,78.9,139.0,130.0,118.0,92.2,,
6937,天虹,250.5,9.5,3.94,1432,01/02,9.5,3.94,-6.0,-2.34,27.5,12.3,-106.5,-29.8,35.5,16.5
7714,創泓科技,183.0,16.5,9.91,661,01/02,16.5,9.91,45.0,32.6,87.6,91.8,,,,
7728,光焱科技,607.0,55.0,9.96,814,01/02,55.0,9.96,257.0,73.4,342.0,129.0,,,,
7734,印能科技,998.0,41.0,4.28,357,01/02,41.0,4.28,-52.0,-4.95,-122.0,-10.9,,,,
8027,鈦昇,113.0,3.5,3.2,4750,01/02,3.5,3.2,27.6,32.3,28.9,34.4,26.7,30.9,43.9,63.5
8028,昇陽半導體,186.5,8.5,4.78,21388,01/02,8.5,4.78,6.0,3.32,54.0,40.8,49.0,35.6,135.4,265.0
8038,長園科,49.0,1.15,2.4,1362,01/02,1.15,2.4,0.25,0.51,9.75,24.8,22.1,82.2,12.55,34.4
8064,東捷,48.45,1.15,2.43,14705,01/02,1.15,2.43,5.65,13.2,8.2,20.4,-5.35,-9.94,29.45,155.0
8069,元太,201.0,3.0,1.52,9677,01/02,3.0,1.52,-32.0,-13.7,-26.0,-11.5,-62.0,-23.6,11.5,6.07
8084,巨虹,66.3,1.0,1.53,334,01/02,1.0,1.53,21.15,46.8,30.5,85.2,0.3,0.45,-16.5,-19.9
8088,品安,46.75,0.55,1.19,8351,01/02,0.55,1.19,8.5,22.2,14.45,44.7,26.85,135.0,0.6,1.3
8110,華東,62.3,5.1,8.92,12471,01/02,5.1,8.92,41.05,193.0,49.0,368.0,48.4,348.0,47.7,327.0
8131,福懋科,66.7,2.0,3.09,62201,01/02,2.0,3.09,34.7,108.0,38.8,139.0,39.05,141.0,27.85,71.7
8150,南茂,48.6,1.45,3.08,30167,01/02,1.45,3.08,18.2,59.9,21.6,80.0,17.4,55.8,6.75,16.1
8358,金居,290.0,13.0,4.69,56451,01/02,13.0,4.69,56.5,24.2,232.8,407.0,232.0,400.0,230.7,389.0
8422,可寧衛*,32.5,0.9,2.85,200746,01/02,0.9,2.85,-170.0,-84.0,-155.5,-82.7,-147.5,-81.9,-146.5,-81.8
8431,匯鑽科,74.1,6.6,9.78,11829,01/02,6.6,9.78,29.1,64.7,33.1,80.7,12.5,20.3,19.9,36.7
8438,昶昕,46.05,4.15,9.9,2520,01/02,4.15,9.9,15.8,52.2,16.0,53.2,14.95,48.1,19.75,75.1
8940,新天地,22.25,1.85,9.07,636,01/02,1.85,9.07,2.15,10.7,1.1,5.2,-2.2,-9.0,-7.4,-25.0
9946,三發地產,19.45,0.25,1.3,326,01/02,0.25,1.3,1.45,8.06,-0.75,-3.71,-3.4,-14.9,-1.45,-6.94
9958,世紀鋼,145.5,6.0,4.3,2454,01/02,6.0,4.3,-23.0,-13.6,-75.0,-34.0,-17.5,-10.7,-32.0,-18.0
